2a,
Time (min),Intensity (a.u.)
0.004166667,168.5854645
0.147500008,169.0799408
0.290062487,169.3055115
0.434229165,169.2169952
0.576729119,169.4545135
0.720895827,169.1564941
0.862562478,169.3563232
1.005062461,169.1879425
1.147562504,169.0476379
1.290916681,169.5867462
1.433416605,169.8414917
1.575916648,169.2362213
1.718416691,169.5056763
1.861750007,169.4611511
2.003479242,169.9586182
2.145979166,169.9924011
2.290145874,169.1502533
2.433479071,169.9395142
2.576812506,170.4045715
2.720166683,169.7624359
2.863479137,170.0034637
3.006833315,169.8011017
3.150145769,170.2030487
3.293479204,169.5830994
3.436833382,169.8712769
3.579333305,170.2711182
3.724333525,169.9973755
3.869333506,170.126709
4.014333248,170.333847
4.159333229,170.3170166
4.302645683,171.0753174
4.445979118,170.1841583
4.588479042,170.8899384
4.731833458,170.1950989
4.875145912,170.5336761
5.019333363,170.7839813
5.161833286,159.2503662
5.305145741,150.297226
5.447646141,145.0294342
5.590979099,141.5265503
5.735146046,139.070694
5.878479004,136.3625183
6.021000385,135.9768219
6.163499832,135.0418396
6.306833267,134.2356262
6.449333191,134.0306854
6.592666626,133.2033691
6.73516655,132.7940369
6.879333496,132.1910095
7.023499966,132.0310669
7.165999889,131.7149811
7.307666302,131.1692505
7.450166702,131.0536499
7.59349966,130.6292877
7.737666607,130.5149231
7.880166531,130.0908661
8.023500443,130.2264862
8.167666435,129.7484741
8.310166359,129.7178345
8.452666283,129.8100128
8.59516716,129.6711578
8.737667084,129.5054016
8.880999565,129.5214844
9.025187492,129.3230591
9.168520927,129.6345978
9.311020851,129.0786438
9.455187798,129.0728912
9.597687721,128.6090088
9.740187645,128.2154846
9.881854057,128.9710541
