2b,
Time (min),Intensity (a.u.)
0.045000002,142.9118652
0.1875,143.7593994
0.330062479,143.8442993
0.474229187,143.7111359
0.61672914,143.5712128
0.760895848,143.6642456
0.903395832,144.0195313
1.045062542,143.610733
1.188395858,143.6635284
1.330979109,144.2582245
1.473416686,143.814682
1.616750002,144.2778778
1.759250045,144.7955322
1.901812434,144.0286255
2.044312477,144.2192535
2.185979128,144.5251312
2.330145836,144.6130219
2.474312544,144.1929626
2.617666721,144.4393311
2.760166645,144.6819916
2.903479338,144.4915924
3.046833277,144.1036987
3.190145969,143.8976746
3.333479166,144.354187
3.476833344,144.5128174
3.620166779,143.8229828
3.765145779,144.3413391
3.91014576,144.6491699
4.055145741,144.2325439
4.200145721,144.3817444
4.343479633,144.3020325
4.48597908,144.670578
4.629333496,144.4420319
4.77264595,144.2654266
4.915145874,144.2854156
5.059333324,144.4845886
5.202645779,144.7522583
5.345145702,135.3250885
5.488479137,126.7659073
5.630979538,122.2608871
5.775979042,119.697258
5.918499947,117.892746
6.061812401,116.4570541
6.204312801,115.504715
6.346833229,114.4170609
6.490166664,113.498703
6.632666588,113.428093
6.775166988,113.0874023
6.920166492,112.7036209
7.063499928,112.0209122
7.205999851,111.9208603
7.348500252,111.7997208
7.490999699,111.1872711
7.633500099,111.4052811
7.77850008,111.4236374
7.921000004,110.7012711
8.063500404,110.7780457
8.207666397,111.0544434
8.350999832,110.336647
8.493499756,110.7238541
8.63599968,109.9146194
8.778500557,110.1883621
8.921020508,109.9897461
9.066020966,109.5839157
9.208520889,109.8953476
9.351021767,109.902092
9.496020317,109.4943161
9.637686729,109.4688187
9.780187607,109.4753418
9.922687531,109.74189
