2,,
Time (min),Intensity (a.u.),
0.004166666884,3.552472353,
0.01250000019,3.562108755,
0.02083333395,3.603908777,
0.02916666679,3.58618021,
0.03750000149,3.625026464,
0.04583333433,3.619354725,
0.05416666716,3.656775713,
0.0625,3.640593529,
0.07083333284,3.629723787,
0.07916666567,3.603416443,
0.08749999851,3.635491848,
0.09583333135,3.620687246,
0.1041666642,3.649485111,
0.112499997,3.654632807,
0.1208333299,3.687042236,
0.1291666627,3.65708065,
0.137500003,3.574530125,
0.1458333284,3.573131561,
0.1541666687,3.596522093,
0.162499994,3.607934713,
0.1708333343,3.65755105,
0.1791666597,3.653313875,
0.1875,3.593969345,
0.1958333403,3.665674448,
0.2041666657,3.620253325,
0.212500006,3.563716888,
0.2208333313,3.622667074,
0.2291666716,3.619156361,
0.237499997,3.582530737,
0.2458333373,3.548772573,
0.2541666627,3.626547813,
0.2624999881,3.574109316,
0.2708333433,3.620860577,
0.2791666687,3.566275358,
0.287499994,3.63458252,
0.2958333194,3.597515821,
0.3041666746,3.633737326,
0.3125,3.632463455,
0.3208333254,3.648725748,
0.3291666806,3.612483501,
0.337500006,3.596053839,
0.3458333313,3.673929214,
0.3541666567,3.650696039,
0.3625000119,3.613912821,
0.3708333373,3.61259985,
0.3791666627,3.579701662,
0.3874999881,3.621322632,
0.3958333433,3.562541246,
0.4041666687,3.626991749,
0.412499994,3.629692078,
0.4208333194,3.633129597,
0.4291666746,3.630545139,
0.4375,3.666091681,
0.4458333254,3.663707018,
0.4541666806,3.622202873,
0.462500006,3.584754705,
0.4708333313,3.611363649,
0.4791666567,3.654198885,
0.4875000119,3.656434774,
0.4958333373,3.580991745,
0.5041666627,3.566075087,
0.5124999881,3.535037279,
0.5208333135,3.643046856,
0.5291666389,3.685903311,
0.5375000238,3.609734058,
0.5458333492,3.632151842,
0.5541666746,3.593893051,
0.5625,3.569622278,
0.5708333254,3.589346886,
0.5791666508,3.597986698,
0.5874999762,3.475280285,
0.5958333611,3.582486153,
0.6041666865,3.655134916,
0.6125000119,3.614715099,
0.6208333373,3.600888491,
0.6291666627,3.566520691,
0.6374999881,3.578809261,
0.6458333135,3.629163265,
0.6541666389,3.600891113,
0.6625000238,3.614878654,
0.6708333492,3.581417799,
0.6791666746,3.563143969,
0.6875,3.627959251,
0.6958333254,3.557469845,
0.7041666508,3.587241411,
0.7124999762,3.551290274,
0.7208333611,3.567396879,
0.7291666865,3.612010002,
0.7375000119,3.545763493,
0.7458333373,3.565590858,
0.7541666627,3.576958656,
0.7624999881,3.565722942,
0.7708333135,3.566043615,
0.7791666389,3.610022545,
0.7875000238,3.625485182,
0.7958333492,3.618607759,
0.8041666746,3.588665247,
0.8125,3.571154118,
0.8208333254,3.536365747,
0.8291666508,3.609651804,
0.8374999762,3.581974268,
0.8458333611,3.641030312,
0.8541666865,3.621802092,
0.8625000119,3.552841902,
0.8708333373,3.56897068,
0.8791666627,3.585318089,
0.8874999881,3.593973398,
0.8958333135,3.535110474,
0.9041666389,3.551298141,
0.9125000238,3.588406324,
0.9208333492,3.574866295,
0.9291666746,3.617923975,
0.9375,3.584496021,
0.9458333254,3.546175241,
0.9541666508,3.559557915,
0.9624999762,3.602625847,
0.9708333611,3.5612216,
