2a,
Time (min),Intensity (a.u.)
0.004166667,154.2378082
0.0125,154.0641785
0.020833334,154.1375122
0.029166667,153.8557129
0.037500001,154.33078
0.045833334,154.4211884
0.054166667,154.454895
0.0625,153.8595123
0.070833333,154.4565887
0.079166666,154.1800537
0.087499999,154.7718353
0.095833331,154.5215759
0.104166664,154.4758453
0.112499997,154.6639709
0.12083333,154.1878204
0.129166663,154.4292297
0.137500003,154.2962646
0.145833328,154.5631256
0.154166669,154.1265259
0.162499994,154.4254456
0.170833334,154.4979858
0.17916666,154.289566
0.1875,154.337265
0.19583334,154.2625122
0.204166666,154.3155823
0.212500006,154.0594788
0.220833331,154.0814362
0.229166672,154.3175659
0.237499997,154.5443878
0.245833337,153.5461273
0.254166663,154.400528
0.262499988,154.3780823
0.270833343,153.9578857
0.279166669,154.5205383
0.287499994,154.2684631
0.295833319,154.2944183
0.304166675,154.2232819
0.3125,154.2546539
0.320833325,154.478775
0.329166681,154.3654327
0.337500006,154.5547485
0.345833331,154.1198578
0.354166657,154.7366333
0.362500012,154.4894257
0.370833337,154.341156
0.379166663,155.0974579
0.387499988,155.1087494
0.395833343,154.7219696
0.404166669,154.5330505
0.412499994,154.9751892
0.420833319,154.1204529
0.429166675,154.531601
0.4375,154.3808136
0.445833325,154.0658417
0.454166681,154.2955322
0.462500006,154.3921661
0.470833331,154.3778229
0.479166657,154.6014709
0.487500012,154.8266754
0.495833337,155.1861725
0.504166663,154.8663177
0.512499988,154.1266174
0.520833314,154.2944794
0.529166639,154.1847534
0.537500024,154.3226318
0.545833349,154.5609589
0.554166675,154.3505554
0.5625,154.6703949
0.570833325,154.5802155
0.579166651,154.4554596
0.587499976,154.2185211
0.595833361,154.1603241
0.604166687,154.3016968
0.612500012,154.5183563
0.620833337,154.7952118
0.629166663,155.1448059
0.637499988,154.9972534
0.645833314,155.2705078
0.654166639,155.3065186
0.662500024,154.8674927
0.670833349,155.2907104
0.679166675,155.1207886
0.6875,154.6039886
0.695833325,154.4759369
0.704166651,154.6402588
0.712499976,154.6066132
0.720833361,154.5328064
0.729166687,154.6688538
0.737500012,155.1308441
0.745833337,154.904129
0.754166663,154.6291809
0.762499988,154.3688354
0.770833314,154.973053
0.779166639,154.8435364
0.787500024,154.346405
0.795833349,154.980957
0.804166675,154.9300995
0.8125,155.2922974
0.820833325,155.7158508
0.829166651,155.4126129
0.837499976,154.9042358
0.845833361,155.6272736
0.854166687,154.7938995
0.862500012,155.3492279
0.870833337,155.2450714
0.879166663,154.6416168
0.887499988,154.6911011
0.895833314,155.0583801
0.904166639,154.7995148
0.912500024,154.9765167
0.920833349,155.3324432
0.929166675,154.7419739
0.9375,154.5806274
0.945833325,155.1183624
0.954166651,155.3653107
0.962499976,155.1065216
0.970833361,154.7719879
0.979166687,154.9347839
0.987500012,154.703476
0.995833337,154.9011841
1.004166722,155.2841034
1.012500048,155.3140106
1.020833373,155.2565918
1.029166698,155.3976898
1.037500024,155.4707794
1.045833349,155.1737976
1.054166675,155.1929932
1.0625,155.2577972
1.070833325,155.6217346
1.079166651,155.1755371
1.087499976,155.245636
1.095833302,155.130127
1.104166627,154.8677216
1.112499952,154.9510345
1.120833278,155.1302185
1.129166722,154.905899
1.137500048,154.9717255
1.145833373,154.975769
1.154166698,154.6882477
1.162500024,154.9647369
1.170833349,155.041214
1.179166675,155.5411835
1.1875,154.8026581
1.195833325,155.3136139
1.204166651,155.1161194
1.212499976,155.0323792
1.220833302,155.247406
1.229166627,154.6663361
1.237499952,155.0375977
1.245833278,155.0127106
1.254166722,154.8876953
1.262500048,155.6822205
1.270833373,155.7425385
1.279166698,155.0746613
1.287500024,155.2819672
1.295833349,154.6954346
1.304166675,154.928772
1.3125,154.7932892
1.320833325,155.4887238
1.329166651,155.692627
1.337499976,155.1523285
1.345833302,155.1636963
1.354166627,154.8668823
1.362499952,155.1696167
1.370833278,154.9309387
1.379166722,155.2021027
1.387500048,154.9935455
1.395833373,154.8400269
1.404166698,155.3245697
1.412500024,154.8813782
1.420833349,155.6034088
1.429166675,155.1737518
1.4375,155.528717
1.445833325,155.5892792
1.454166651,155.51091
1.462499976,155.9807281
1.470833302,155.5707855
1.479166627,155.5644379
1.487499952,155.400528
1.495833278,155.219635
1.504166722,155.5860291
1.512500048,155.372406
1.520833373,155.5263977
1.529166698,155.4249573
1.537500024,155.3888245
1.545833349,155.1672058
1.554166675,154.9963837
1.5625,155.4858093
1.570833325,155.6022186
1.579166651,155.2304382
1.587499976,155.4618988
1.595833302,155.7534637
1.604166627,155.6068726
1.612499952,155.7382355
1.620833278,155.0862579
1.629166722,155.8111572
1.637500048,155.6750488
1.645833373,155.7153168
1.654166698,155.4219666
1.662500024,155.2282257
1.670833349,155.373291
1.679166675,155.4550781
1.6875,155.4790649
1.695833325,155.6267395
1.704166651,155.4881897
1.712499976,155.6255341
1.720833302,155.4365234
1.729166627,155.5964966
1.737499952,155.5580902
1.745833278,155.7549591
1.754166722,156.0271606
1.762500048,155.5569916
1.770833373,155.4628601
1.779166698,155.5694275
1.787500024,155.9673157
1.795833349,155.2989197
1.804166675,155.4169464
1.8125,155.3871765
1.820833325,155.4981079
1.829166651,155.8557434
1.837499976,155.9136963
1.845833302,155.5684052
1.854166627,155.8011322
1.862499952,155.508728
1.870833278,155.8753357
1.879166722,155.4813385
1.887500048,155.1808777
1.895833373,155.3350983
1.904166698,155.0453949
1.912500024,155.3549652
1.920833349,155.4440765
1.929166675,155.6712036
1.9375,155.1728973
1.945833325,155.2616425
1.954166651,155.355484
1.962499976,155.2844238
1.970833302,155.4454651
1.979166627,156.0262146
1.987499952,155.7962494
1.995833278,155.2680511
2.004166603,155.5077209
2.012500048,155.6456299
2.020833254,155.7370148
2.029166698,155.0704193
2.037499905,155.2404022
2.045833349,155.4908905
2.054166555,155.8251343
2.0625,155.3730469
2.070833445,155.2895813
2.079166651,155.2285156
