2b,
Time (min),Intensity (a.u.)
0.044166669,148.0442047
0.1875,147.9432678
0.331708342,148.3337708
0.47506249,148.028244
0.617562473,148.4365845
0.761708319,148.156662
0.905062497,148.0609436
1.04756248,148.3967285
1.190062404,148.0853729
1.333395839,147.5597534
1.475895762,147.4508972
1.618395925,147.9854126
1.763395786,147.2064362
1.905895829,147.3888245
2.048395872,147.6941833
2.190895796,147.998291
2.333395958,147.0387726
2.475895882,147.5339508
2.619229078,148.1551056
2.76172924,148.0067444
2.904229164,148.250824
3.049229145,148.2870941
3.191729307,147.6428375
3.334229231,147.3507843
3.475895882,147.445694
3.62006259,147.7016907
3.762562513,147.6550598
3.905916691,147.324585
4.048416615,148.1241302
4.190916538,147.4539642
4.333416939,148.1286316
4.477583408,147.6248016
4.620083332,147.7998352
4.761749744,148.0020752
4.904250145,148.0939636
5.046750069,147.6302643
5.190958023,147.7262726
5.334291458,147.4352722
5.476791859,147.1678467
5.619291782,143.7510986
5.761791706,143.3501587
5.90429163,142.412674
6.046791553,141.4063873
6.188458443,140.6581116
6.331791878,140.0042419
6.474312305,139.6584167
6.616812706,138.7966309
6.760979176,137.9498749
6.904312611,138.0694122
7.046812534,137.3019562
7.188541889,136.4830933
7.331875324,136.1455688
7.474374771,135.868042
7.617708206,135.2389679
7.761041641,135.3210449
7.904396057,134.7616272
8.047728539,134.3625336
8.191896439,133.7429352
8.334395409,133.3887177
8.477708817,133.1194916
8.621062279,132.4103699
8.764374733,132.5325165
8.906874657,132.3594818
9.050208092,131.8219299
9.195208549,131.6083374
9.338562012,131.1037445
9.481062889,131.0784607
9.624375343,130.5234985
9.769374847,130.2128906
9.911895752,129.7666931
10.05520821,129.9840698
10.19854164,129.5681763
10.34187508,129.289917
10.48520851,128.9073029
10.62772942,129.0949097
10.77189541,128.1622467
10.91522884,128.3674316
11.05772877,128.0927582
11.20104122,127.6523895
11.34354115,127.9461517
11.48604107,127.4007416
11.63106251,127.6296844
11.77356243,126.9068756
11.91772842,127.2848816
12.06106281,126.4265213
12.20356274,126.1150665
12.34606266,125.9240646
12.48772907,125.8907471
12.63189602,125.8248672
12.77689648,125.164566
12.9193964,125.487793
13.06189537,124.88414
13.20522881,124.9780502
13.34606266,124.4324722
13.48856163,124.4662094
13.63272953,124.5825653
13.7752285,123.9036331
13.9193964,123.4031372
14.06358337,124.1190338
14.20858383,123.3739929
14.35108376,123.6224289
14.49358273,123.1737366
14.63858318,123.3016891
14.78108311,123.5531158
14.92358303,123.5405426
15.06608391,123.2790604
15.20858383,122.9121017
15.35112476,122.5461197
15.49362469,122.829155
15.63695908,122.4635239
15.779459,122.1599884
15.92195797,121.7915268
16.06695938,121.4141769
16.20862579,121.7444763
16.35279083,122.1291656
16.49529266,121.608429
16.63781166,121.2087021
16.78197861,121.7946014
16.92531204,121.0926285
17.06781197,120.929245
17.2103138,121.0043945
17.35287476,120.6196671
17.49539566,120.2955017
17.6378746,120.7254486
17.78037453,120.8759232
17.92372894,120.1482391
18.0687294,120.2383728
18.21206284,119.7864914
18.35539627,120.3076324
18.4987278,120.0636902
18.64206314,120.0947723
18.78541756,120.0222549
18.92874908,119.7562714
19.07206154,119.4996567
19.21539497,119.7078018
19.35787582,118.9846191
19.50122833,119.1444321
19.64454079,119.1832809
19.78787422,119.0878372
19.93123055,118.7938156
20.07372856,119.2932358
20.2170639,118.6984634
20.36037636,118.8036728
20.50287437,118.7838287
20.6462307,118.4954147
20.78954315,118.3743515
20.93206215,118.4640121
21.07539749,118.5319061
21.21789551,118.2055359
21.36039543,117.9831085
21.50539589,118.4174347
21.64789581,117.7213745
21.79039574,117.9340286
21.93539619,117.8451538
22.07789421,118.4054565
22.22122955,117.7222137
22.36372948,117.4981232
22.5062294,117.7741699
22.64872932,117.3147964
22.79122925,117.5123978
22.93372917,117.7180939
23.07706261,117.2461777
23.21956253,117.3396225
23.36206245,116.9640656
23.5062294,117.1580582
23.64956284,117.2597046
23.79122925,117.6471786
23.93539619,116.8853455
24.07789421,116.8623505
24.22039604,117.0231781
24.36291695,116.7190704
24.5079155,116.5915604
24.65041733,116.1634903
24.79291534,116.766983
24.93708229,116.7092819
25.08041573,115.9615555
25.22291756,117.0522614
25.36541748,116.9043045
25.5079155,116.1114502
25.65045738,116.3096771
25.79545975,116.0349045
25.93795776,116.5590897
26.08045769,116.100296
26.22462654,115.6071701
26.36712456,115.9594345
26.5112915,115.9938889
26.65379143,115.4921646
26.79629135,115.8321228
26.93881226,115.8421173
27.08131218,115.7563248
27.22631264,115.6249771
27.36881256,115.5576248
27.51131248,115.1982346
27.65389633,115.1146393
27.79637527,115.4632492
27.94054222,115.201355
28.08387375,115.2797241
28.22887611,115.4940491
28.37387466,115.281662
28.51806259,114.9480743
28.66137505,114.9220428
28.80470848,115.3558502
28.94970894,114.8918457
29.09472847,115.181221
29.23804092,114.7050171
29.38137436,115.4367065
29.5247097,115.2516327
29.66720772,114.5943604
29.81054115,114.8167419
29.9538765,114.9600906
30.09720802,114.6159668
30.24056244,114.6844635
