2c,
Time (min),Intensity (a.u.)
0.085000001,131.9291382
0.230000004,132.9858398
0.372562498,133.9170227
0.515062511,134.3549652
0.660062492,134.0315247
0.802562535,133.3462067
0.945062518,134.4072266
1.087562561,134.1549683
1.230895877,134.1216431
1.373395801,133.5023041
1.515895844,133.8959351
1.660895824,133.5709534
1.803395867,133.4756165
1.94589591,133.1102142
2.088395834,133.4680481
2.230895758,133.4204102
2.373395681,133.064682
2.516729116,133.8574066
2.659229279,133.4358826
2.801728964,133.6393127
2.946729183,133.5432587
3.089229107,133.7844543
3.231729031,133.4385223
3.374229193,133.2378998
3.518395662,133.3430634
3.660895824,133.7486877
3.803416729,133.7094269
3.945916653,133.4163513
4.088416576,133.2187958
4.2309165,133.0552063
4.375916481,133.0898743
4.51758337,133.3877869
4.660083294,133.4197235
4.801750183,133.1703796
4.944250107,133.4708405
5.089250088,132.8309784
5.231791496,132.3707123
5.37429142,132.8474121
5.516791821,126.3024979
5.660125256,132.7582092
5.801791668,132.5266876
5.944291592,101.1373749
6.086791515,129.8443451
6.229291916,128.3234711
6.371791363,128.0921936
6.514312744,127.2068481
6.659312248,126.7741013
6.801812649,125.8634033
6.944312572,125.6147308
7.086874962,125.3782196
7.229375362,124.278244
7.371874809,124.0379333
7.514374733,123.4188766
7.657708168,123.2766953
7.801041603,122.64328
7.945208073,122.1717758
8.088541985,121.7806396
8.232707977,121.0052948
8.37439537,120.8671036
8.518541336,120.7897263
8.661062241,120.2749329
8.804375648,120.4560165
8.94770813,119.9579315
9.092708588,119.4055023
9.235208511,119.0358047
9.378541946,118.8090363
9.521875381,118.2346649
9.666874886,118.2155457
9.809374809,117.8518982
9.952708244,117.5902252
10.09606266,117.7273331
10.2385416,117.4244766
10.38187504,116.9635849
10.52520847,116.919426
10.67020893,116.6167297
10.81272888,116.5601501
10.95522881,116.1125336
11.09854126,115.8100967
11.24104214,115.3172226
11.38354206,115.389801
11.52854252,115.1230087
11.67106247,114.6988831
11.81606197,115.2226181
11.9585619,114.8721695
12.10106182,114.4216003
12.2435627,114.3220215
12.38606262,113.7036667
12.53022861,113.7954636
12.67439556,113.8880005
12.81689548,113.3036499
12.95939541,113.2725067
13.10272884,113.2972336
13.24522877,113.3477249
13.38689613,112.3112106
13.53106308,112.4992828
13.67272949,112.7523346
13.817729,112.3030243
13.96189594,112.036911
14.10608292,112.2525101
14.24858284,111.7626114
14.39108372,111.8879929
14.53608322,111.4421692
14.6785841,111.4061356
14.82108402,111.5852509
14.96358299,111.2776718
15.10608292,111.0703583
15.24858284,110.9539566
15.39112568,111.0156708
15.53445816,110.7157288
15.67695808,110.6800919
15.81945801,110.5820236
15.96445847,110.0577316
16.10695839,110.4269714
16.25112534,110.0104218
16.39279175,109.999794
16.53529167,109.9396973
16.6803112,109.7128754
16.82281303,110.2143173
16.96531296,109.7144547
17.10781288,109.555069
17.25031281,109.3042679
17.39287567,109.4222336
17.5353756,109.097496
17.67787552,108.638176
17.82037544,109.3100891
17.96620941,109.3298798
18.10956192,108.9744186
18.25287437,108.928566
18.3962307,108.7092209
18.53956223,108.4637604
18.68287468,108.3360901
18.8262291,108.915329
18.96954155,108.6378098
19.11206245,108.6708755
19.25539589,108.5332336
19.39872932,108.5393829
19.54206276,108.3462067
19.68539619,108.1190186
19.82872963,108.3276825
19.97122955,107.95327
20.11372948,108.1228333
20.25787544,107.7334137
20.40037346,107.4388046
20.54372978,107.7743225
20.6862278,107.7763672
20.82956314,107.407074
20.97206306,107.6436386
21.11539459,107.5869141
21.25789642,107.6727676
21.40289497,107.3476715
21.5453968,106.9325104
21.68789673,106.9516907
21.83289528,107.322197
21.97539711,107.0983505
22.11789513,107.1371078
22.26122856,106.7198563
22.40372849,107.3000107
22.54623032,107.276474
22.68872833,106.8481064
22.83123016,106.9420319
22.97372818,106.9918365
23.11706352,106.5515747
23.25956154,107.0756073
23.4045639,106.5043945
23.54706192,106.703537
23.68956375,106.2847214
23.8337307,106.225296
23.97539711,106.6922455
24.11789513,106.1533051
24.26039696,105.8751526
24.40541649,106.1761932
24.54791641,106.1022034
24.69041824,106.0806961
24.83541679,106.0783615
24.97791672,105.9533615
25.12041664,105.9008331
25.26291656,105.9515991
25.40541649,105.8053207
25.54791641,105.7253494
25.69295883,105.5434952
25.83545685,105.696373
25.97795868,105.5284271
26.12295723,105.2605057
26.26545906,105.5598297
26.40962601,105.7230453
26.55129242,105.3653488
26.69379044,105.3338547
26.83629227,105.3403015
26.97887611,105.0786362
27.12381172,105.0642166
27.26631355,105.0229034
27.40881348,104.6607513
27.55214691,104.8999863
27.69470787,104.7197723
27.83887482,104.7048111
27.98137474,104.729187
28.1263752,104.7830048
28.27137375,104.4817886
28.41470718,105.1237793
28.55806351,104.8675842
28.70220757,104.5435257
28.84720802,104.6581116
28.99220848,104.465538
29.13554001,104.4322052
29.27804184,104.7698669
29.42137527,104.8249588
29.5647068,104.7109985
29.70804214,104.6423874
29.85139656,104.5185318
29.99470901,104.3671646
30.13806152,104.4512329
30.28056145,104.5381622
