5,,
Time (min),Intensity (a.u.),
0.004166666884,77.84634399,
0.01250000019,78.10900116,
0.02083333395,78.11553955,
0.02916666679,78.33348846,
0.03750000149,77.93226624,
0.04583333433,77.83773804,
0.05416666716,78.0663147,
0.0625,77.98408508,
0.07083333284,78.00006104,
0.07916666567,77.77324677,
0.08749999851,77.89716339,
0.09583333135,77.98027039,
0.1041666642,77.9801712,
0.112499997,78.12166595,
0.1208333299,77.84746552,
0.1291666627,77.82013702,
0.137500003,77.78514099,
0.1458333284,77.78164673,
0.1541666687,77.98660278,
0.162499994,77.66410065,
0.1708333343,77.89128876,
0.1791666597,78.49407196,
0.1875,78.48064423,
0.1958333403,77.99773407,
0.2041666657,77.91947174,
0.212500006,77.6545105,
0.2208333313,78.15820313,
0.2291666716,78.1674118,
0.237499997,78.03317261,
0.2458333373,77.85807037,
0.2541666627,77.97597504,
0.2624999881,78.01752472,
0.2708333433,77.76091003,
0.2791666687,78.03678894,
0.287499994,77.82765961,
0.2958333194,77.88822937,
0.3041666746,77.83628082,
0.3125,78.07501984,
0.3208333254,77.98928833,
0.3291666806,77.79289246,
0.337500006,77.86775208,
0.3458333313,78.19548035,
0.3541666567,78.11220551,
0.3625000119,78.16791534,
0.3708333373,78.05699158,
0.3791666627,77.91764832,
0.3874999881,77.95069885,
0.3958333433,78.11302185,
0.4041666687,77.72053528,
0.412499994,77.7434845,
0.4208333194,77.96324158,
0.4291666746,77.79998016,
0.4375,77.81063843,
0.4458333254,77.67744446,
0.4541666806,77.84909821,
0.462500006,77.78240967,
0.4708333313,78.11772919,
0.4791666567,77.63690948,
0.4875000119,78.05156708,
0.4958333373,78.60762787,
0.5041666627,78.30989838,
0.5124999881,78.24434662,
0.5208333135,78.07050323,
0.5291666389,77.97432709,
0.5375000238,78.2036972,
0.5458333492,77.85048676,
0.5541666746,77.70596313,
0.5625,77.88137054,
0.5708333254,78.02220917,
0.5791666508,78.09879303,
0.5874999762,77.82589722,
0.5958333611,77.86608124,
0.6041666865,77.94882202,
0.6125000119,77.99507904,
0.6208333373,78.04088593,
0.6291666627,77.73938751,
0.6374999881,78.26397705,
0.6458333135,78.02232361,
0.6541666389,78.45549011,
0.6625000238,77.89474487,
0.6708333492,78.30782318,
0.6791666746,78.5528717,
0.6875,77.98992157,
0.6958333254,77.65816498,
0.7041666508,77.69761658,
0.7124999762,77.91138458,
0.7208333611,78.02941132,
0.7291666865,77.97151947,
0.7375000119,77.7544632,
0.7458333373,77.82752228,
0.7541666627,77.75725555,
0.7624999881,77.47399139,
0.7708333135,77.75013733,
0.7791666389,77.67982483,
0.7875000238,77.87499237,
0.7958333492,78.16906738,
0.8041666746,77.82987213,
0.8125,78.26023102,
0.8208333254,77.84690857,
0.8291666508,77.88945007,
0.8374999762,77.95851898,
0.8458333611,78.1710434,
0.8541666865,77.66555786,
0.8625000119,77.8108902,
0.8708333373,77.80617523,
0.8791666627,77.7432251,
0.8874999881,77.89730835,
0.8958333135,77.62960815,
0.9041666389,77.91835785,
0.9125000238,77.26922607,
0.9208333492,78.00485992,
0.9291666746,77.62400055,
0.9375,77.84385681,
0.9458333254,77.92420959,
0.9541666508,78.2237854,
0.9624999762,77.8024292,
0.9708333611,77.90559387,
0.9791666865,77.71768188,
0.9875000119,78.02179718,
0.9958333373,77.75979614,
1.004166722,77.8738327,
1.012500048,77.70595551,
1.020833373,78.13892365,
1.029166698,78.3468399,
1.037500024,78.24723816,
1.045833349,78.18429565,
1.054166675,77.92521667,
1.0625,77.8616333,
1.070833325,77.89589691,
1.079166651,77.8453064,
1.087499976,77.74629974,
1.095833302,78.06650543,
1.104166627,77.84803009,
1.112499952,77.78145599,
1.120833278,77.59212494,
1.129166722,77.9050293,
1.137500048,77.64616394,
1.145833373,77.77287292,
1.154166698,77.76233673,
1.162500024,77.59931946,
1.170833349,77.81697845,
1.179166675,77.75595093,
1.1875,78.12008667,
1.195833325,78.1399231,
1.204166651,77.92549896,
1.212499976,78.05017853,
1.220833302,77.82436371,
1.229166627,77.94424438,
1.237499952,77.84501648,
1.245833278,77.64155579,
1.254166722,78.05462646,
1.262500048,77.68567657,
1.270833373,77.69532013,
1.279166698,77.79000854,
1.287500024,77.72647095,
1.295833349,77.96028137,
1.304166675,77.85601807,
1.3125,77.69637299,
1.320833325,78.10678101,
1.329166651,77.68254089,
1.337499976,77.59120178,
1.345833302,77.74680328,
1.354166627,77.67350006,
1.362499952,77.88273621,
1.370833278,77.7673645,
1.379166722,77.55516815,
1.387500048,77.5605545,
