5a,
Time (min),Intensity (a.u.)
0.004166667,177.6634827
0.085000001,177.7861938
0.165895835,177.9666748
0.246729165,178.1142426
0.327541679,178.3526764
0.408395827,177.9500732
0.489208341,177.7836761
0.571708381,177.9814148
0.654208303,178.0054321
0.736708343,177.9449463
0.816708326,178.3892975
0.897541702,177.8567657
0.97839582,178.1166382
1.059208393,178.2691956
1.140062451,178.2909851
1.220875025,178.0000763
1.301708341,177.5598755
1.384229183,177.7686462
1.466708422,178.5528564
1.546708345,178.0089722
1.627562404,178.1208649
1.708395839,178.5523071
1.789229155,178.7024994
1.87006247,178.030365
1.950895786,178.1638184
2.031729221,178.39534
2.114229202,178.5692902
2.194291592,178.5612335
2.275062561,178.5418549
2.355895758,178.1010437
2.435895681,178.2006989
2.516729116,178.2541046
2.596729279,178.5184326
2.677562475,178.2006683
2.760062456,177.8767548
2.84006238,178.1040039
2.920895815,178.4845276
3.001729012,177.9229736
3.082562447,178.0546112
3.163395882,177.9623108
3.244229078,177.7125854
3.325062513,177.9713593
3.40589571,178.2592163
3.486729145,178.3145142
3.56756258,177.9753571
3.647562504,178.1517639
3.728395939,177.8994751
3.810895681,177.8210907
3.890895844,178.6591797
3.970896006,177.6995544
4.051729202,178.1617279
4.132562637,178.2861938
4.212562561,178.2327118
4.293395996,178.3981171
4.374249935,178.2411041
4.45508337,178.4755554
4.535916805,178.4515839
4.615916252,177.7366943
4.696749687,178.4496765
4.777583122,178.3880463
4.858416557,178.5827789
4.939249992,178.3779755
5.019249916,177.988327
5.09924984,180.5155334
5.180083275,174.0561371
5.260083675,174.1732178
5.340916634,173.024353
5.420916557,172.4489899
5.501749992,171.2225494
5.582624912,170.659668
5.663458347,170.2994385
5.744291782,169.5899048
5.825125217,169.368576
5.905125141,168.3263397
5.985958576,168.1667633
6.066792011,167.9633789
6.147625446,166.8091278
6.227624893,166.4162903
6.308458328,165.8930817
6.388541698,165.5301361
6.469291687,165.5677948
6.549291611,164.7883606
6.630125046,164.3119507
6.710125446,164.1804047
6.790957928,163.3810272
6.871812344,163.6807861
6.952645779,162.7964172
7.032645702,162.651825
7.113479137,162.4986267
7.194312572,162.2117157
7.275146008,161.5952148
7.355979443,161.2364502
7.435979366,160.6893311
7.516875267,161.1781158
7.596875191,160.1698761
7.677708626,160.209259
7.757708073,160.1607971
7.84020853,159.761322
7.920208454,159.4786835
8.001041412,158.9878082
8.084375381,158.7894135
8.165228844,159.4073944
8.248541832,159.0115662
8.329375267,158.7131348
8.410228729,158.3861389
8.491062164,158.2167664
8.574375153,157.5589142
8.655228615,157.4726257
8.736875534,157.5952148
8.817728996,157.270874
8.899374962,157.0408783
8.980228424,156.9059296
9.063541412,156.7047424
9.14604187,156.5930634
9.226874352,156.4132385
9.307728767,156.3543396
9.389374733,155.6325989
9.470229149,155.9429626
9.551041603,155.8421783
9.631896019,155.9248657
9.715208054,154.8570709
9.796062469,155.4501038
9.876874924,155.0603333
9.957708359,155.4199219
10.03870869,155.1309662
10.12037468,154.955658
10.2012291,154.7627869
10.28204155,154.5763245
10.36287498,154.3839111
10.4437294,154.2377472
10.52456284,154.2570648
10.60537529,154.1275024
10.68622971,153.7866516
10.76704216,154.1677094
10.84789658,153.634491
10.92870808,153.3908386
11.00954151,152.9758301
11.09039593,153.4786224
11.17120838,153.2605133
11.25204182,153.2107239
11.33289623,152.9177704
11.41370869,152.6516571
11.49454117,152.5758667
11.57539558,152.4201355
11.65620804,152.3495331
11.73704147,152.4060822
11.81954098,152.1024475
11.90204144,152.1436462
11.98289585,152.2838593
12.06289577,152.3421478
12.14372921,152.0306702
12.22456264,152.5436554
12.30539513,151.9254761
12.38622952,151.7052002
12.467062,151.8264313
12.54789639,151.7659302
12.62872887,151.7063751
12.71122932,151.517746
12.79122925,151.441864
12.87372971,151.6528168
12.95372963,151.478241
13.03622913,151.1173401
13.11622906,150.9630737
13.19706249,151.1507721
13.27789593,151.4483337
13.35872936,151.1532288
13.4395628,151.1683044
13.5220623,150.741684
13.60289574,150.5133972
13.68289566,150.865036
13.7637291,150.9564972
13.84456253,150.7157593
13.92539597,150.6440125
14.0062294,150.3887939
14.08706284,150.5575104
14.16706276,150.4816742
14.24789619,150.2693939
14.32872963,150.1003113
14.41122913,150.594162
14.49129105,149.9737091
14.57208347,149.8587494
14.65291691,150.0523376
14.73375034,149.6717682
14.81458378,149.6589813
14.89708328,149.7327118
14.97708321,150.0457153
15.05795765,149.5959778
15.13875008,149.752655
15.21958351,148.9992371
15.30041695,149.3399963
15.38041687,149.1061096
15.46124935,149.3290863
15.54208374,148.7533875
15.62208366,148.7437592
15.70291615,148.8535767
15.78375053,149.1307068
15.86462498,148.4959869
15.94545841,148.896637
16.0262928,148.7668457
16.10712433,148.3693085
16.18712425,148.9569244
16.26795769,148.3679047
16.34879112,148.544342
16.42962456,148.5219879
16.51045799,148.2435913
16.59045792,148.2826385
16.67129135,148.14505
16.75212479,147.94133
16.83212471,148.3333282
16.91295815,148.2631073
16.99379158,148.1801605
17.07462502,147.6521454
17.15464592,147.8598938
17.23547935,147.8630981
17.31631279,148.5680084
17.39714622,147.3195038
17.47797775,147.3898163
17.5588131,147.9499664
17.63964653,147.6720886
17.72047997,147.8577423
17.80131149,147.5504913
17.88220787,147.1367188
17.9622097,147.0085144
18.04470825,147.6433868
18.12470818,146.8493805
18.20720863,147.2546997
18.28722954,147.0421448
18.37054253,147.1844177
18.45139503,147.3267365
18.53220749,146.9496002
18.61387444,146.8383942
18.69472885,146.6188049
18.77804184,146.8813629
18.85887527,146.8378601
18.94222832,147.0227203
19.02304077,146.5629883
19.10387611,146.4416656
19.18554115,146.599411
19.26639557,146.3981781
19.34970856,146.3058777
19.43054199,146.6340485
19.5113945,146.0750427
19.59222794,146.2327118
19.67554092,146.1079712
19.75639725,146.2282562
19.83970833,146.2481537
19.92054176,146.00383
20.00504112,146.1527863
20.08589745,146.467392
20.16670799,145.884079
20.24756241,145.9787292
20.32920647,145.8468323
20.41004181,145.6783447
20.49089622,145.8486023
20.57170868,145.7314911
20.6525631,145.8586121
20.73339653,145.9386444
20.81420898,145.552597
20.89504242,145.4993286
20.97589493,145.6712952
21.05670738,145.3641052
21.13756371,145.673233
21.21837616,145.6795959
21.29920769,145.8739014
21.3800621,145.6378937
21.46087456,145.3234253
21.54170799,145.1490784
21.62256241,145.5404205
21.70337486,145.3480835
21.7842083,145.4347992
21.86504173,145.1178894
