5b,
Time (min),Intensity (a.u.)
0.044166669,156.6623688
0.125,157.4532623
0.205895841,157.0304413
0.286729187,156.5898285
0.367541671,156.8671722
0.448395819,156.7547302
0.529208362,157.0377655
0.611708343,157.2633972
0.694229186,156.7074738
0.776708365,156.9750519
0.85754168,156.9235077
0.938395798,156.9669037
1.019208312,156.89328
1.100062609,156.8067932
1.180062532,156.6883545
1.260895848,157.0397339
1.341708422,157.335022
1.424208283,156.933548
1.506708264,157.0748596
1.587562561,157.0204773
1.668395877,157.1690826
1.749229193,156.9963989
1.830062509,157.1373901
1.910062551,157.2597656
1.990895867,157.2689972
2.071729183,157.0410614
2.154229164,157.0527954
2.235062361,157.4656982
2.315895796,156.7711182
2.395895958,157.4271545
2.476729155,157.388443
2.556729078,157.22258
2.637562513,157.8151398
2.717562675,157.9279785
2.800083399,157.7821198
2.880895853,157.4737549
2.961729288,157.1604156
3.041729212,157.940918
3.123395681,157.5067749
3.203395844,158.251358
3.284229279,157.2748108
3.365062475,157.5362549
3.44589591,158.1187134
3.526729107,157.8451538
3.607562542,157.9447174
3.688395977,158.0953369
3.768395662,158.0882874
3.850895882,157.9412079
3.930895805,158.5818176
4.01172924,157.9416656
4.091729164,158.2434082
4.172562599,158.0840607
4.253396034,158.292038
4.334228992,158.5108643
4.414250374,158.6023865
4.495083332,158.7705536
4.575916767,158.9368286
4.656750202,159.000473
4.737583637,158.3474426
4.817583084,158.7621307
4.898416519,158.5563049
4.979249954,158.6586151
5.059249878,158.4825134
5.140083313,158.4867401
5.220083237,158.5567169
5.300083637,141.9571838
5.380917072,86.12251282
5.461749554,156.3171387
5.54262495,155.7005615
5.623458385,154.5345306
5.703458309,153.6428223
5.784291744,152.9348145
5.865125179,152.6314392
5.945958614,151.6925507
6.026792049,151.4413757
6.106791496,150.1220245
6.187624931,149.8952789
6.268458366,149.5301666
6.34845829,148.6068573
6.428458214,148.2953796
6.509291649,147.6476898
6.589292049,147.5238495
6.670125008,147.1190338
6.750958443,146.7505188
6.830958366,146.297348
6.911812305,145.9316406
6.992645741,145.1710663
7.073479176,144.9789734
7.154312611,145.0669098
7.234312534,144.7902222
7.315145969,143.783905
7.395979404,143.7272034
7.476874828,143.3682404
7.556895733,143.1105347
7.637708664,143.0732727
7.717708111,142.0682831
7.797708035,142.2389679
7.880208492,142.2813721
7.961062431,141.7025909
8.041874886,141.9284058
8.12439537,141.6580505
8.206041336,140.9854889
8.288541794,141.0055389
8.370228767,140.6327972
8.451041222,140.3880615
8.531874657,140.1152496
8.615229607,140.0732117
8.696042061,140.1592407
8.776874542,139.5953369
8.858541489,139.5802002
8.939374924,139.3968048
9.02104187,139.3443298
9.103542328,138.9602661
9.186040878,139.0712433
9.266875267,138.7523804
9.34854126,138.4785767
9.429375648,138.1784973
9.510229111,138.2605896
9.591895103,138.2816772
9.672708511,138.1628723
9.755208015,137.7462311
9.836062431,137.6278229
9.917708397,137.6627502
9.998562813,137.379715
10.07956219,137.5384674
10.16039658,137.4055328
10.24122906,136.8918457
10.32204151,136.8394623
10.40372944,136.5962372
10.48454189,136.7874146
10.56537437,136.5484772
10.64622879,136.3197937
10.72704124,136.1287231
10.80789566,136.5764465
10.88870811,135.9588928
10.96954155,136.0621643
11.05039597,135.6456604
11.13120842,135.7737885
11.2120409,135.7658081
11.29289532,135.841568
11.37370777,135.6918945
11.45454216,135.348587
11.53539658,135.2522583
11.6153965,135.0866241
11.69620895,135.2053375
11.77704144,135.4797363
11.85954189,135.0548096
11.94204235,134.8548584
12.02289677,134.6756134
12.10372925,134.5834503
12.18456173,134.7376404
12.26539612,134.9531097
12.34539604,134.8969574
12.42706299,134.412262
12.50706291,134.4541016
12.58789539,134.3141327
12.66872978,134.3342285
12.75122929,134.4570313
12.83122921,133.704071
12.91372871,134.2686157
12.99372959,133.7071686
13.0762291,133.864212
13.15706253,133.6028137
13.23789597,133.6651154
13.31789589,133.6965027
13.39872932,133.464798
13.47956276,133.547348
13.56206226,133.2732849
13.6428957,133.2633667
13.72372913,133.3193359
13.80456257,133.0885162
13.885396,133.0306854
13.96622944,132.6669922
14.04622936,133.3840485
14.1270628,132.8196564
14.20789623,133.0026703
14.28789616,132.629776
14.36872959,132.9416504
14.4512291,132.5153503
14.53206253,132.9041748
14.61289597,132.447113
14.69375038,132.6147766
14.77374935,132.1472473
14.85458374,132.3143616
14.93708324,132.4435425
15.01791668,132.3494873
15.09875011,132.0585022
15.17958355,132.2471619
15.25958347,131.7653809
15.34041691,132.161026
15.42125034,132.307373
15.50125027,132.0593109
15.58208275,132.1838074
15.66291714,131.4374084
15.74374962,131.595871
15.8237915,131.8453827
15.90462589,131.2893372
15.98545837,131.5927429
16.06629181,131.88237
16.14712524,131.4833679
16.22795868,131.3877563
16.30879211,131.6190643
16.38962555,131.5525055
16.47045708,131.5142822
16.55045891,131.4651642
16.63129234,131.2037048
16.71129227,131.6103668
16.7921257,131.4750366
16.87295914,131.3720398
16.95295906,131.7410278
17.0337925,131.2888794
17.11462402,131.1509857
17.19547844,130.9372559
17.27631187,131.2076416
17.35714531,131.1756744
17.43714523,130.9745636
17.51881218,130.918808
17.5988121,131.0995789
17.67964745,130.9691162
17.76054001,130.6479797
17.84131241,130.3586273
17.92222977,130.4082947
18.00222969,130.7739716
18.08470917,130.5574646
18.16470718,131.108551
18.24722862,130.723938
