11a,
Time (min),Intensity (a.u.)
0.000833333,289.1063538
0.0025,288.6888733
0.004166667,286.3122864
0.005833333,288.6140137
0.0075,288.2468262
0.009166667,288.8088074
0.010833334,288.3357239
0.0125,288.8828125
0.014166667,289.6595459
0.015833333,287.5689697
0.017500002,287.7603149
0.019166667,288.2053528
0.020833334,289.5997314
0.022500001,288.5299683
0.024166668,288.2242737
0.025833335,289.0107117
0.0275,288.7781982
0.029166667,286.9536438
0.030833334,288.6574707
0.032500003,288.9293213
0.034166668,288.1579895
0.035833336,288.432312
0.037500001,288.1954956
0.03916667,287.4488831
0.040833335,287.9051514
0.0425,289.2020264
0.044166669,288.6514282
0.045833334,287.9711609
0.047500003,288.7829285
0.049166668,289.2125244
0.050833333,288.0738831
0.052500002,287.0491028
0.054166667,287.1690979
0.055833336,288.5430298
0.057500001,287.9376221
0.059166666,289.641571
0.060833335,288.8003235
0.0625,287.7623596
0.064166673,287.7279053
0.065833338,288.5205688
0.067500003,289.7395935
0.069166668,288.2283936
0.070833333,287.8214722
0.072499998,286.7670288
0.07416667,288.0554199
0.075833336,287.7586975
0.077500001,288.1594543
0.079166666,288.6809692
0.080833331,288.2492371
0.082500003,289.5774231
0.084166668,288.0891113
0.085833333,288.1550293
0.087499999,289.3856812
0.089166664,286.8226318
0.090833336,288.8075562
0.092500001,288.749176
0.094166666,288.8018188
0.095833331,290.0319519
0.097499996,289.5711975
0.099166669,289.1295776
0.100833334,287.5827026
0.102499999,288.4512329
0.104166664,288.5545654
0.105833329,287.7748108
0.107500002,287.5505066
0.109166667,287.4731445
0.110833332,288.4669495
0.112499997,288.4082031
0.114166662,288.741272
0.115833335,289.0085449
0.1175,289.7236023
0.119166665,288.1860962
0.12083333,288.2402649
0.122499995,290.0754395
0.124166675,286.6765747
0.125833333,288.0177612
0.127499998,287.9978333
0.129166663,288.3464661
0.130833328,287.2246704
0.132500008,289.5202942
0.134166673,290.046936
0.135833338,289.1098328
0.137500003,288.6925354
0.139166668,289.0608826
0.140833333,289.1237183
0.142499998,287.2742615
0.144166678,291.0684509
0.145833328,288.5125427
0.147500008,288.4592285
0.149166659,288.9790344
0.150833339,290.5563354
0.152500004,289.7046814
0.154166669,291.211792
0.155833334,289.1573792
0.157499999,288.6116333
0.159166664,287.4489441
0.160833344,288.1764221
0.162499994,288.7766113
0.164166674,288.4172363
0.165833324,288.0186462
0.167500004,288.7178955
0.169166669,289.5373535
0.170833334,288.8234863
0.172499999,291.354187
0.174166665,287.6153259
0.17583333,289.877533
0.17750001,289.4292297
0.17916666,288.1610413
0.18083334,288.8182068
0.18249999,288.2052612
0.18416667,288.3701782
0.18583335,289.6968384
0.1875,289.1625977
0.18916668,289.7823486
0.19083333,287.8460693
0.19250001,288.1687012
0.194166675,289.2814331
0.19583334,289.6175537
0.197500005,288.8432312
0.19916667,289.5615234
0.200833336,289.1531677
0.202500016,288.411438
0.204166666,286.8383484
0.205833346,289.477417
0.207499996,289.0750427
0.209166676,287.6909485
0.210833341,288.5180969
0.212500006,288.4642334
0.214166671,288.236084
0.215833336,287.4480896
0.217500001,289.6109314
0.219166681,288.3177185
0.220833331,288.5510254
0.222500011,290.0999146
0.224166662,287.2234192
0.225833342,288.868042
0.227500007,288.1154785
0.229166672,289.5661926
0.230833337,288.8032837
0.232500002,288.7674255
0.234166667,288.1171875
0.235833347,288.6058044
0.237499997,290.0046082
0.239166677,288.9427795
0.240833327,287.8623047
0.242500007,286.1860657
0.244166672,288.4932251
0.245833337,286.3637695
0.247500002,285.5995789
0.249166668,288.3448486
0.250833333,289.590271
0.252499998,289.164856
0.254166663,288.3543091
0.255833328,289.3354187
0.257499993,286.4188538
0.259166658,289.0940552
0.260833353,289.3746643
0.262499988,288.2340698
0.264166683,288.4654236
0.265833318,287.4295959
0.267500013,287.5124817
0.269166648,288.8910828
0.270833343,288.5868835
0.272500008,286.7419128
0.274166673,290.896698
0.275833339,288.4634094
0.277500004,290.9737549
0.279166669,289.7705078
0.280833334,289.7745361
0.282499999,288.4989624
0.284166694,288.1947937
0.285833329,289.1630554
0.287499994,289.7328186
0.289166659,290.0516052
0.290833354,289.6662292
0.292500019,287.3256226
0.294166654,287.6614075
0.295833319,288.4665222
0.297500014,286.6821289
0.299166679,288.4763794
0.300833345,289.210083
0.30249998,288.4259338
0.304166675,289.1820679
0.30583334,288.6871643
0.307500005,288.5839539
0.3091667,288.9714661
0.310833335,288.5599976
0.3125,288.5311584
0.314166665,288.5080566
0.31583336,287.871582
0.317500025,289.3231201
0.31916666,285.9298706
0.320833325,287.6893921
0.32250002,289.8623962
0.324166685,288.8573914
0.32583335,287.561676
0.327499986,289.5405273
0.329166681,287.9544983
0.330833346,287.694397
0.332500011,289.4849854
0.334166676,289.0849915
0.335833341,288.6116333
0.337500006,288.7550964
0.339166671,289.2980957
0.340833336,288.6028442
0.342500031,288.1124268
0.344166666,288.7053223
0.345833331,288.7634888
0.347499996,288.0184021
0.349166691,290.2231445
0.350833356,288.7729492
0.352499992,288.4610901
0.354166657,288.2344055
0.355833352,288.4370422
0.357500017,288.7420044
0.359166682,291.7004395
0.360833317,288.3165894
0.362500012,287.8651428
0.364166677,289.2174072
0.365833342,289.718811
0.367500007,289.2183838
0.369166672,287.8094177
0.370833337,288.1253357
0.372500002,287.7063904
0.374166668,290.5765686
0.375833362,288.7414551
0.377499998,287.9369202
0.379166663,288.287323
0.380833328,287.5601807
0.382500023,288.3548584
0.384166688,290.0240479
0.385833323,288.4917908
0.387499988,288.6483154
0.389166683,290.3571472
0.390833348,290.1083679
0.392500013,289.6351318
0.394166648,288.8183899
0.395833343,288.8053589
0.397500008,288.6253357
0.399166673,288.4327698
0.400833339,287.9513855
0.402500004,288.4430542
0.404166669,287.628479
0.405833334,289.0608521
0.407499999,288.3283691
0.409166694,289.49646
0.410833329,288.2837524
0.412499994,288.4194336
0.414166659,287.4154663
0.415833354,287.5750732
