11a,
Time (min),Intensity (a.u.)
0.004166667,131.5639648
0.084125005,132.4437714
0.165020838,132.3005676
0.24499999,132.094986
0.325833321,131.9962006
0.405833334,132.5615845
0.486666679,132.2625427
0.568333328,132.3473663
0.649187446,132.5110474
0.730833292,132.6098175
0.81168747,132.0813599
0.895000041,132.48703
0.975833297,132.793045
1.059187531,132.5141754
1.139999986,132.5755005
1.220833302,132.4839478
1.304187536,132.5106049
1.38499999,133.1785583
1.465833306,132.6004181
1.546687484,133.0006561
1.629999995,132.8553467
1.710833311,132.7456818
1.791666627,133.2702942
1.875,132.7731628
1.955854177,132.6181793
2.036666632,132.9356537
2.117520809,133.2881927
2.200833321,133.2941437
2.281666517,133.0434875
2.362520933,133.3247833
2.445833445,133.1230316
2.528333187,133.2523346
2.610833168,132.1927185
2.691687584,127.2894745
2.772500038,123.8190384
2.853333235,120.3594055
2.934187651,118.1458435
3.014999866,115.5201263
3.095833302,113.6930084
3.176666737,112.0879974
3.257520914,110.1349792
3.338333368,108.7836456
3.419166565,107.7867813
3.500020742,106.8283157
3.582520723,105.4075394
3.663333416,104.4755554
3.744166613,103.437294
3.82502079,102.9242935
3.905833483,101.8276367
3.986666679,101.3075027
4.067521095,100.8066711
4.150021076,100.4127884
4.23083353,99.7880249
4.310833454,99.16096497
4.391666889,98.89390564
4.472520828,98.31824493
4.553354263,97.91738129
4.634187222,97.68464661
4.715020657,97.3120575
4.795854092,96.80506897
4.878354549,96.57015228
4.958353996,96.40710449
5.039187431,96.01692963
5.120020866,95.77572632
5.202520847,95.38832092
5.282521248,95.22900391
5.365020752,94.94087982
5.445021152,94.81266022
5.525854111,94.44203186
5.605854511,94.44888306
5.686687946,93.96937561
5.767520428,93.91905212
5.848353863,94.04807281
5.929187298,93.25067902
6.009187222,93.63399506
6.090020657,93.14896393
6.170854092,92.95912933
6.251687527,92.58023071
6.332520962,92.65283203
6.41335392,92.74809265
6.493354321,92.55354309
6.574187756,92.36435699
6.654187679,92.32154846
6.735021114,91.96844482
6.815041542,92.05186462
6.895853996,92.15363312
6.975874901,91.67055511
7.056687355,91.61102295
7.137541771,91.80132294
7.218375206,91.76890564
7.299208641,91.59985352
7.379208565,91.65665436
7.460042,91.19464874
7.540875435,91.0350647
7.621708393,90.93946075
7.702541828,91.00450897
7.782541752,90.84292603
7.86337471,90.93408203
7.943375111,90.42858124
8.023374557,90.577034
8.104207993,90.6231842
8.184207916,90.29824066
8.265041351,90.55548096
8.345874786,90.45037079
8.426750183,90.06620789
8.507582664,90.31465149
