11b,
Time (min),Intensity (a.u.)
0.044104166,118.8123398
0.124958329,119.5975037
0.204999998,119.4664001
0.285833329,119.4699402
0.365833342,119.2547913
0.446666658,119.2827835
0.527499974,118.9553452
0.609166682,119.8103714
0.689999998,119.3308334
0.771708369,119.5447159
0.852500022,119.4444656
0.935833335,119.5604553
1.016687512,119.4262314
1.099187493,119.3687592
1.18083334,119.7327652
1.261687517,119.6578445
1.344187498,119.4492111
1.425854087,119.3618011
1.506687522,119.8518448
1.587499976,119.711853
1.669999957,119.5729904
1.751666665,119.6412125
1.832499981,119.6659851
1.915000081,119.4814301
1.99666667,119.4184418
2.077520847,119.5394058
2.158333302,119.8740997
2.240854025,119.8671951
2.322520971,119.6363754
2.403333187,119.6289139
2.485833168,119.5647964
2.568333387,120.1735077
2.650833368,120.0111237
2.731687307,120.0961075
2.8125,118.2128525
2.89418745,113.5981369
2.974208355,110.1222763
3.05583334,106.5403671
3.136687517,103.8402634
3.217499971,101.7063217
3.298333168,99.52120972
3.37833333,97.93170929
3.459166765,96.50208282
3.540020704,95.66274261
3.623333216,94.37625885
3.704166651,93.18096161
3.785021067,92.24519348
3.865833282,91.28857422
3.945854187,90.60583496
4.026687622,89.88750458
4.10752058,89.15188599
4.190020561,88.39323425
4.270833492,87.96471405
4.351666927,87.53088379
4.432520866,87.2688446
4.513333321,86.4625473
4.59418726,86.06755066
4.67418766,85.91724396
4.755020618,85.33003235
4.835854053,85.14848328
4.918354511,84.73070526
4.999187946,84.64681244
5.080020428,84.33558655
5.160020828,84.05202484
5.242520809,83.79213715
5.322520733,83.41031647
5.405020714,83.04199219
5.485021114,83.08716583
5.565854549,82.87773895
5.646687508,82.32554626
5.727520943,82.4699707
5.807520866,82.46938324
5.888353825,82.01235962
5.96918726,82.1727066
6.050020695,81.60282135
6.13085413,81.59613037
6.211687565,81.20546722
6.291687489,81.43186951
6.372520924,81.22886658
6.453354359,81.32498169
6.534187317,80.81092834
6.614187717,81.20081329
6.694187641,81.07410431
6.775021076,80.75687408
6.855020523,81.2025528
6.935853958,80.65587616
7.016687393,80.47278595
7.097520828,80.27983093
7.177541733,80.44274902
7.258375168,80.07537842
7.339208603,80.34915161
7.420042038,80.26526642
7.500874996,80.10035706
7.58087492,80.03925323
7.661708355,80.42780304
7.742541313,79.58843231
7.822541714,79.97989655
7.903375149,79.87841034
7.983375072,79.92597198
8.064208031,79.78417969
8.144207954,79.5581665
8.225041389,79.78939819
8.305874825,79.76797485
8.385874748,79.53353119
8.466750145,79.67232513
8.547582626,79.92448425
