11,,
Time (min),Intensity (a.u.),
0.004166666884,133.3187408,
0.01250000019,133.5644684,
0.02083333395,134.157486,
0.02916666679,133.4562531,
0.03750000149,133.5123444,
0.04583333433,134.5035706,
0.05416666716,135.2981873,
0.0625,135.8854523,
0.07083333284,136.3857574,
0.07916666567,135.8548126,
0.08749999851,134.2788544,
0.09583333135,134.1086121,
0.1041666642,134.2302399,
0.112499997,134.7453918,
0.1208333299,134.7264557,
0.1291666627,134.2220306,
0.137500003,135.8958282,
0.1458333284,135.1814575,
0.1541666687,135.4475555,
0.162499994,134.4324188,
0.1708333343,134.4288483,
0.1791666597,135.2455139,
0.1875,134.6223755,
0.1958333403,134.7342072,
0.2041666657,135.1640472,
0.212500006,134.7003479,
0.2208333313,135.3540497,
0.2291666716,135.6220551,
0.237499997,134.5827026,
0.2458333373,134.9715576,
0.2541666627,134.4365234,
0.2624999881,135.0752258,
0.2708333433,135.8742218,
0.2791666687,136.2536469,
0.287499994,135.2267456,
0.2958333194,135.7239685,
0.3041666746,135.9716339,
0.3125,136.7413483,
0.3208333254,135.5223236,
0.3291666806,136.5670166,
0.337500006,135.0792847,
0.3458333313,135.4254456,
0.3541666567,135.2913361,
0.3625000119,135.5388184,
0.3708333373,135.7961578,
0.3791666627,136.0352325,
0.3874999881,136.5897675,
0.3958333433,135.6116486,
0.4041666687,136.3295288,
0.412499994,135.7797089,
0.4208333194,136.6493683,
0.4291666746,136.772049,
0.4375,136.2994995,
0.4458333254,135.89711,
0.4541666806,136.2794495,
0.462500006,136.7154236,
0.4708333313,136.7239227,
0.4791666567,136.6443634,
0.4875000119,136.2640533,
0.4958333373,137.789917,
0.5041666627,136.6378784,
0.5124999881,137.1222687,
0.5208333135,137.3508453,
0.5291666389,136.5680084,
0.5375000238,137.1072388,
0.5458333492,136.9989166,
0.5541666746,137.5537567,
0.5625,136.932785,
0.5708333254,138.1417694,
0.5791666508,137.1861877,
0.5874999762,137.6723022,
0.5958333611,137.2330322,
