1,,
Time (min),Intensity (a.u.),
0.0008333333535,25.03299141,
0.002500000177,25.19981194,
0.004166666884,25.25157928,
0.005833333358,24.84717751,
0.007500000298,25.02859306,
0.009166667238,25.28867722,
0.01083333418,24.90666771,
0.01250000019,25.34642792,
0.01416666713,25.06567955,
0.01583333313,24.95236969,
0.01750000194,25.17860794,
0.01916666701,25.16877556,
0.02083333395,25.04562759,
0.02250000089,25.18776512,
0.02416666783,25.10032463,
0.02583333477,24.87223625,
0.02749999985,25.69608307,
0.02916666679,24.99599838,
0.03083333373,25.45960617,
0.03250000253,25.32176781,
0.03416666761,25.46417618,
0.03583333641,25.55725288,
0.03750000149,25.29091263,
0.03916667029,25.39347839,
0.04083333537,24.75983238,
0.04250000045,25.05943108,
0.04416666925,25.05296707,
0.04583333433,25.30730247,
0.04750000313,25.22968483,
0.04916666821,25.01443863,
0.05083333328,24.94883919,
0.05250000209,25.39986229,
0.05416666716,24.97902107,
0.05583333597,24.66361237,
0.05750000104,24.96186066,
0.05916666612,24.9385643,
0.06083333492,25.07772064,
0.0625,25.50222778,
0.06416667253,25.29665947,
0.0658333376,25.62735367,
0.06750000268,25.03001976,
0.06916666776,25.02114868,
0.07083333284,25.16954613,
0.07249999791,25.63916779,
0.07416667044,25.2372551,
0.07583333552,24.95589828,
0.0775000006,25.63542175,
0.07916666567,25.50291824,
0.08083333075,25.17856407,
0.08250000328,25.37030602,
0.08416666836,25.32274628,
0.08583333343,25.3823967,
0.08749999851,24.82866096,
0.08916666359,25.20318604,
0.09083333611,24.93401146,
0.09250000119,25.41445541,
0.09416666627,25.42236137,
0.09583333135,25.01492882,
0.09749999642,25.37789917,
0.09916666895,25.22883415,
0.100833334,25.33611488,
0.1024999991,24.88422775,
0.1041666642,25.59546089,
0.1058333293,25.02561378,
0.1075000018,24.8752861,
0.1091666669,24.71014786,
0.1108333319,24.95008087,
0.112499997,24.91572571,
0.1141666621,24.87366295,
0.1158333346,25.35904694,
0.1174999997,25.27060127,
0.1191666648,24.91767693,
0.1208333299,24.76679802,
0.1224999949,24.85704231,
0.1241666749,25.48399353,
0.1258333325,25.30679321,
0.1274999976,24.67132378,
0.1291666627,25.53829002,
0.1308333278,25.43389702,
0.1325000077,25.31254005,
0.1341666728,25.72223282,
0.1358333379,25.35338593,
0.137500003,25.56646156,
0.1391666681,25.09784508,
0.1408333331,25.1562233,
0.1424999982,24.99925995,
0.1441666782,24.91900444,
0.1458333284,25.19465637,
