1,,
Time (min),Intensity (a.u.),
0.0008333333535,21.2866745,
0.002500000177,21.26363182,
0.004166666884,20.88855362,
0.005833333358,21.36921692,
0.007500000298,20.99188232,
0.009166667238,21.27144814,
0.01083333418,21.53921127,
0.01250000019,21.32228088,
0.01416666713,21.48123169,
0.01583333313,21.94205475,
0.01750000194,21.11505127,
0.01916666701,21.05233002,
0.02083333395,21.00678253,
0.02250000089,21.51936531,
0.02416666783,21.35443497,
0.02583333477,21.55907059,
0.02749999985,21.23374367,
0.02916666679,21.18813324,
0.03083333373,21.12856483,
0.03250000253,21.29629707,
0.03416666761,21.58927155,
0.03583333641,21.07361603,
0.03750000149,21.4002037,
0.03916667029,20.88033676,
0.04083333537,21.26329041,
0.04250000045,21.3072319,
0.04416666925,21.38349533,
0.04583333433,21.03355789,
0.04750000313,21.52824783,
0.04916666821,21.09797096,
0.05083333328,20.94948769,
0.05250000209,21.0311985,
0.05416666716,21.32507133,
0.05583333597,21.40818977,
0.05750000104,21.42478561,
0.05916666612,21.05142593,
0.06083333492,21.09634209,
0.0625,21.32034111,
0.06416667253,21.55451012,
0.0658333376,21.70617867,
0.06750000268,21.33341026,
0.06916666776,21.23023224,
0.07083333284,21.22421455,
0.07249999791,21.50003433,
0.07416667044,21.25724792,
0.07583333552,21.30157661,
0.0775000006,21.03634644,
0.07916666567,21.19246483,
0.08083333075,20.95129967,
0.08250000328,21.27708054,
0.08416666836,21.37568855,
0.08583333343,21.45228958,
0.08749999851,21.2287941,
0.08916666359,21.50400352,
0.09083333611,21.42528343,
0.09250000119,20.97250366,
0.09416666627,21.31839561,
0.09583333135,21.12028313,
0.09749999642,21.21325684,
0.09916666895,21.28259087,
0.100833334,21.25709724,
0.1024999991,20.90778542,
0.1041666642,21.59980774,
0.1058333293,21.77610588,
0.1075000018,21.27832794,
0.1091666669,21.30155373,
0.1108333319,20.88369179,
0.112499997,20.86352348,
0.1141666621,21.48355675,
0.1158333346,21.38930893,
0.1174999997,21.4227829,
0.1191666648,21.24177361,
0.1208333299,21.21033859,
0.1224999949,20.8365612,
0.1241666749,21.30434227,
0.1258333325,21.35157204,
0.1274999976,21.12506485,
0.1291666627,21.45877457,
0.1308333278,21.24030876,
0.1325000077,21.06637383,
0.1341666728,20.90201378,
0.1358333379,21.63485146,
0.137500003,21.34617805,
0.1391666681,21.39212227,
0.1408333331,21.08402061,
0.1424999982,21.14309311,
0.1441666782,21.30913734,
0.1458333284,21.33613205,
0.1475000083,21.26158714,
0.1491666585,21.30079651,
0.1508333385,21.21421432,
0.1525000036,21.27301788,
0.1541666687,21.14042473,
0.1558333337,21.30934715,
0.1574999988,21.18415642,
0.1591666639,21.28965569,
0.1608333439,21.50768089,
0.162499994,21.10846901,
0.164166674,21.30354881,
0.1658333242,21.61354446,
0.1675000042,21.57728386,
0.1691666692,21.20355415,
0.1708333343,21.14615631,
0.1724999994,21.10722923,
0.1741666645,21.19474983,
0.1758333296,21.59022331,
0.1775000095,21.60207176,
0.1791666597,21.19459343,
0.1808333397,21.03667831,
0.1824999899,21.34736633,
0.1841666698,21.59223175,
0.1858333498,21.12357712,
0.1875,21.298563,
0.18916668,21.33472824,
0.1908333302,20.7698288,
0.1925000101,21.48062706,
0.1941666752,21.27204704,
0.1958333403,21.21107101,
0.1975000054,21.17959404,
0.1991666704,21.42996216,
0.2008333355,20.96619225,
0.2025000155,21.81588936,
0.2041666657,21.20067215,
0.2058333457,21.16178894,
0.2074999958,21.7107296,
0.2091666758,21.2520237,
0.2108333409,21.19218445,
0.212500006,20.97361374,
0.214166671,21.11680222,
0.2158333361,21.44680786,
0.2175000012,21.21761513,
0.2191666812,21.22526169,
0.2208333313,20.81635284,
0.2225000113,21.20942116,
0.2241666615,21.54133415,
0.2258333415,21.10488129,
0.2275000066,21.33345985,
0.2291666716,21.64512253,
0.2308333367,21.31223869,
0.2325000018,21.67522812,
0.2341666669,21.1068573,
0.2358333468,21.17404366,
0.237499997,20.92672157,
0.239166677,21.06860161,
0.2408333272,20.94620323,
0.2425000072,21.54578018,
0.2441666722,21.35229301,
0.2458333373,21.51141167,
0.2475000024,21.07339478,
0.2491666675,21.27150536,
0.2508333325,21.16316414,
0.2524999976,20.96149445,
0.2541666627,21.47493362,
0.2558333278,21.34701729,
0.2574999928,21.34777832,
0.2591666579,21.13488197,
0.2608333528,21.43664742,
0.2624999881,21.2891674,
0.264166683,21.21888351,
0.2658333182,21.3205986,
0.2675000131,21.02418709,
0.2691666484,21.23059273,
0.2708333433,21.30273819,
0.2725000083,21.39726639,
0.2741666734,21.45362854,
0.2758333385,21.18119049,
0.2775000036,21.55273056,
0.2791666687,21.4470787,
0.2808333337,21.18181419,
0.2824999988,21.42282486,
0.2841666937,21.06758499,
0.285833329,21.01630211,
0.287499994,21.4638195,
0.2891666591,21.30511093,
0.290833354,21.26396561,
0.2925000191,21.29746246,
0.2941666543,21.24655724,
0.2958333194,21.02002907,
0.2975000143,21.0871315,
0.2991666794,21.06656265,
0.3008333445,21.12415314,
0.3024999797,21.11948204,
0.3041666746,21.56188965,
0.3058333397,21.1188736,
0.3075000048,21.22844124,
0.3091666996,21.11932945,
0.3108333349,21.31204224,
0.3125,21.21450233,
0.3141666651,20.91726303,
0.31583336,21.68082237,
0.317500025,21.61359406,
0.3191666603,21.46709251,
0.3208333254,21.01442528,
0.3225000203,21.54867554,
0.3241666853,21.32511711,
0.3258333504,21.4907608,
0.3274999857,21.25286674,
0.3291666806,21.10411263,
0.3308333457,20.85035133,
0.3325000107,21.00327492,
0.3341666758,21.35732841,
0.3358333409,21.23513985,
0.337500006,21.24524307,
0.339166671,21.40446281,
0.3408333361,21.26536942,
0.342500031,21.03886032,
0.3441666663,20.9596138,
0.3458333313,21.30245972,
0.3474999964,21.44231415,
0.3491666913,21.35004997,
0.3508333564,21.4773941,
0.3524999917,21.35072708,
0.3541666567,21.06237793,
0.3558333516,21.00811386,
0.3575000167,21.35974503,
0.3591666818,20.92297173,
0.360833317,21.24712563,
0.3625000119,21.67384148,
0.364166677,20.8897419,
0.3658333421,20.81863594,
0.3675000072,21.04061127,
0.3691666722,21.5604229,
0.3708333373,21.38800812,
0.3725000024,21.17616844,
0.3741666675,21.47115898,
0.3758333623,21.11746025,
0.3774999976,21.67626572,
0.3791666627,21.07691765,
0.3808333278,21.3206501,
0.3825000226,20.9270401,
0.3841666877,21.02713776,
0.385833323,21.05176926,
0.3874999881,21.1434288,
0.389166683,21.02632141,
0.390833348,21.21063805,
0.3925000131,20.90085793,
0.3941666484,21.18322563,
0.3958333433,21.319561,
0.3975000083,21.43925858,
0.3991666734,21.13446426,
0.4008333385,20.68430328,
0.4025000036,21.37752724,
0.4041666687,21.77243423,
0.4058333337,21.19794273,
0.4074999988,21.51168251,
0.4091666937,20.87498093,
0.410833329,21.21446991,
0.412499994,21.48871231,
0.4141666591,20.75831032,
0.415833354,20.90714836,
0.4175000191,21.52466965,
0.4191666543,21.05838585,
0.4208333194,20.79537582,
0.4225000143,20.96100426,
0.4241666794,21.07748604,
0.4258333445,21.14911461,
0.4274999797,20.97659302,
0.4291666746,21.55791855,
0.4308333397,21.16518593,
0.4325000048,21.36821747,
0.4341666996,20.95223808,
0.4358333349,21.05826569,
0.4375,21.66802979,
0.4391666651,21.45453453,
0.44083336,21.15710068,
0.442500025,21.18686485,
0.4441666603,21.36620712,
0.4458333254,21.39722443,
0.4475000203,21.5392437,
0.4491666853,21.01260567,
0.4508333504,21.07436371,
0.4524999857,21.37925911,
0.4541666806,21.00940514,
0.4558333457,21.14072227,
0.4575000107,20.79242897,
0.4591666758,20.94228745,
0.4608333409,21.44169235,
0.462500006,21.23622131,
0.464166671,20.85690498,
0.4658333361,20.87513161,
0.467500031,21.28878403,
0.4691666663,21.85569382,
0.4708333313,20.90410423,
0.4724999964,21.32149887,
0.4741666913,21.29745865,
0.4758333564,20.96305275,
0.4774999917,21.57628441,
0.4791666567,21.34502029,
0.4808333516,21.4827919,
0.4825000167,21.48526382,
0.4841666818,20.96208763,
0.485833317,21.32402611,
0.4875000119,20.9919014,
0.489166677,20.77882957,
0.4908333421,20.91943741,
0.4925000072,21.13593864,
0.4941666722,20.94909286,
0.4958333373,20.69073105,
0.4975000024,21.09270287,
0.4991666675,21.31060028,
0.5008333325,21.07547951,
0.5024999976,21.19654274,
0.5041666627,20.76327705,
0.5058333278,21.7312088,
0.5074999928,21.51747513,
0.5091666579,21.25504303,
0.510833323,21.04489136,
0.5124999881,21.4154911,
0.5141666532,21.23685265,
0.5158333182,21.18725586,
0.5175000429,20.79785347,
0.5191666484,21.77257347,
0.5208333135,20.85671043,
0.5224999785,21.44470787,
0.5241667032,21.5036087,
0.5258333683,21.31122208,
0.5274999738,21.55583382,
0.5291666389,21.42568588,
0.5308333635,21.11370468,
0.5325000286,21.49198151,
0.5341666341,20.94179726,
0.5358333588,21.3088913,
0.5375000238,21.18096924,
0.5391666889,20.99444962,
0.540833354,21.3350544,
0.5424999595,21.27464104,
0.5441666842,21.65036392,
0.5458333492,20.89913368,
0.5475000143,21.08376312,
0.5491666794,21.14656258,
0.5508333445,21.5158844,
0.5525000095,21.23735619,
0.5541666746,21.05311394,
0.5558333993,21.29097557,
0.5575000048,20.9965477,
0.5591666698,20.98715782,
0.5608333349,20.99707222,
0.5625,20.7530899,
0.5641667247,21.50787163,
0.5658333302,21.28812027,
0.5674999952,21.15007401,
0.5691667199,20.93910789,
0.5708333254,21.29219437,
0.5725000501,21.26876259,
0.5741666555,21.16312027,
0.5758333206,21.03198051,
0.5775000453,21.0422821,
0.5791666508,21.18873024,
0.5808333755,21.2357254,
0.5825000405,21.05545235,
0.584166646,21.8336544,
0.5858333707,21.25832558,
0.5874999762,20.98520279,
0.5891667008,21.00515556,
0.5908333659,20.99498749,
0.5924999714,21.44133568,
0.5941666961,20.78931999,
0.5958333611,21.41625404,
0.5975000262,21.24711418,
0.5991666913,21.52798843,
0.6008332968,21.33989143,
0.6025000215,21.32203674,
0.6041666865,21.18009186,
0.6058333516,21.13061714,
0.6075000167,21.35202217,
0.6091666818,21.51487732,
0.6108333468,21.3192482,
0.6125000119,21.20100975,
0.614166677,21.44726563,
0.6158333421,21.04949951,
0.6175000072,21.12313461,
0.6191666722,20.87881279,
0.6208333373,20.82251167,
0.622500062,21.53258514,
0.6241666675,20.91826057,
0.6258333325,21.02223778,
0.6274999976,21.63873863,
0.6291666627,21.05012894,
0.6308333874,21.20057106,
0.6324999928,21.12464333,
0.6341666579,21.16706276,
0.6358333826,21.45214653,
0.6374999881,21.22831917,
0.6391667128,21.08821297,
0.6408333182,20.68695068,
0.6424999833,21.15144348,
0.644166708,21.37550926,
0.6458333135,21.15523911,
0.6475000381,21.50412369,
0.6491667032,21.10720634,
0.6508333087,21.21681786,
0.6525000334,21.17774582,
0.6541666389,21.08857918,
0.6558333635,21.04366875,
0.6575000286,21.27696991,
0.6591666341,21.1662674,
0.6608333588,21.27709007,
0.6625000238,21.16068077,
0.6641666889,21.42739677,
0.665833354,21.33835983,
0.6674999595,21.18121338,
0.6691666842,21.45879936,
0.6708333492,21.12295341,
0.6725000143,20.93215752,
0.6741666794,21.46411705,
0.6758333445,20.90107155,
0.6775000095,21.20270157,
0.6791666746,21.01190948,
0.6808333993,20.92064667,
0.6825000048,21.4025898,
0.6841666698,21.35717773,
