1,,
Time (min),Intensity (a.u.),
0.0008333333535,300.2198486,
0.002500000177,299.9416199,
0.004166666884,300.2458801,
0.005833333358,300.390686,
0.007500000298,300.0191345,
0.009166667238,298.5451965,
0.01083333418,301.3799744,
0.01250000019,300.3345032,
0.01416666713,302.7457581,
0.01583333313,301.0585327,
0.01750000194,299.7193604,
0.01916666701,299.7362061,
0.02083333395,300.6373596,
0.02250000089,300.2848206,
0.02416666783,298.1546631,
0.02583333477,299.5206604,
0.02749999985,301.7857361,
0.02916666679,300.2786255,
0.03083333373,301.7872009,
0.03250000253,300.2717285,
0.03416666761,300.5914917,
0.03583333641,298.9154053,
0.03750000149,298.9628601,
0.03916667029,299.0194397,
0.04083333537,300.3371887,
0.04250000045,301.8893738,
0.04416666925,299.922821,
0.04583333433,300.9657898,
0.04750000313,300.1076355,
0.04916666821,300.0005798,
0.05083333328,300.1328735,
0.05250000209,298.7186584,
0.05416666716,300.9256897,
0.05583333597,301.310791,
0.05750000104,299.5189819,
0.05916666612,300.818634,
0.06083333492,300.4110718,
0.0625,300.2306213,
0.06416667253,301.5702515,
0.0658333376,300.2797241,
0.06750000268,299.6936035,
0.06916666776,300.8685608,
0.07083333284,300.6947632,
0.07249999791,300.5266724,
0.07416667044,300.9699097,
0.07583333552,299.7878418,
0.0775000006,301.171814,
0.07916666567,299.4334106,
0.08083333075,299.1056213,
0.08250000328,300.375946,
0.08416666836,300.5114136,
0.08583333343,301.0069885,
0.08749999851,299.0938416,
0.08916666359,299.7966919,
0.09083333611,301.2613525,
0.09250000119,298.9309387,
0.09416666627,299.634613,
0.09583333135,298.0831299,
0.09749999642,300.8856812,
0.09916666895,300.4498291,
0.100833334,300.2106934,
0.1024999991,300.8688354,
0.1041666642,301.8964539,
0.1058333293,299.5262146,
0.1075000018,299.2741394,
0.1091666669,301.1702271,
0.1108333319,299.7226563,
0.112499997,301.2175903,
0.1141666621,300.035614,
0.1158333346,299.3076477,
0.1174999997,299.1352844,
0.1191666648,299.0943604,
0.1208333299,297.6106262,
0.1224999949,300.9162292,
0.1241666749,299.890564,
0.1258333325,300.0951538,
0.1274999976,300.9226379,
0.1291666627,300.8976135,
0.1308333278,299.7940979,
0.1325000077,301.4973755,
0.1341666728,298.3710327,
0.1358333379,299.5979919,
0.137500003,299.9695435,
0.1391666681,300.1278076,
0.1408333331,299.676178,
0.1424999982,300.5318604,
0.1441666782,299.0135803,
0.1458333284,299.4642029,
0.1475000083,299.6351624,
0.1491666585,299.1674805,
0.1508333385,299.427124,
0.1525000036,300.3393555,
0.1541666687,300.7429504,
0.1558333337,299.9172363,
0.1574999988,297.3662109,
0.1591666639,299.5631409,
0.1608333439,298.7810974,
0.162499994,300.0827942,
0.164166674,300.1187134,
0.1658333242,300.8735046,
0.1675000042,299.9565125,
0.1691666692,299.6593628,
0.1708333343,298.1551819,
0.1724999994,301.0222778,
0.1741666645,299.5653076,
0.1758333296,298.8785095,
0.1775000095,299.3045349,
0.1791666597,300.57724,
0.1808333397,299.0516968,
0.1824999899,299.9034119,
0.1841666698,299.925415,
0.1858333498,299.011261,
0.1875,301.2583008,
0.18916668,298.2206421,
0.1908333302,298.5439453,
0.1925000101,299.5133057,
0.1941666752,299.0762024,
0.1958333403,299.8658447,
0.1975000054,300.2010498,
0.1991666704,300.1423035,
0.2008333355,298.8964844,
0.2025000155,299.5439148,
0.2041666657,301.7985535,
0.2058333457,300.913147,
0.2074999958,299.5650635,
0.2091666758,300.7608643,
0.2108333409,298.5455933,
0.212500006,297.8309021,
0.214166671,300.2476196,
0.2158333361,299.7462769,
0.2175000012,300.1451721,
0.2191666812,299.3355103,
0.2208333313,300.8915405,
0.2225000113,299.644043,
0.2241666615,300.2069092,
0.2258333415,301.0211182,
0.2275000066,300.0404358,
0.2291666716,300.2050171,
0.2308333367,299.0524292,
0.2325000018,299.1362915,
0.2341666669,300.5384827,
0.2358333468,299.3370667,
0.237499997,299.8246155,
0.239166677,299.2085876,
0.2408333272,299.4697571,
0.2425000072,300.9048767,
0.2441666722,299.7988586,
0.2458333373,300.7946167,
0.2475000024,299.8474731,
0.2491666675,301.3683167,
0.2508333325,299.2839661,
0.2524999976,299.9093628,
0.2541666627,300.1802979,
0.2558333278,300.2421265,
0.2574999928,300.8852539,
0.2591666579,297.9772339,
0.2608333528,300.7830811,
0.2624999881,299.3290405,
0.264166683,299.4057007,
0.2658333182,300.7604675,
0.2675000131,299.7763062,
0.2691666484,300.7511902,
0.2708333433,299.1811218,
0.2725000083,299.3347168,
0.2741666734,299.6941223,
0.2758333385,299.7653809,
0.2775000036,299.4910583,
0.2791666687,300.3056641,
0.2808333337,298.1324463,
0.2824999988,299.7883911,
0.2841666937,298.3659058,
0.285833329,299.9136658,
0.287499994,299.9946289,
0.2891666591,299.557373,
0.290833354,299.9066162,
0.2925000191,300.0569153,
0.2941666543,299.0395203,
0.2958333194,300.1260986,
0.2975000143,301.5107727,
0.2991666794,300.8835144,
0.3008333445,299.6504517,
0.3024999797,299.7953491,
0.3041666746,299.5810852,
0.3058333397,299.6825867,
0.3075000048,299.0767212,
0.3091666996,298.6737366,
0.3108333349,301.3605957,
0.3125,299.2759705,
0.3141666651,300.3145447,
0.31583336,298.2524414,
0.317500025,300.3721924,
0.3191666603,299.3613586,
0.3208333254,299.5639954,
0.3225000203,299.2575073,
0.3241666853,300.2202454,
0.3258333504,301.6610718,
0.3274999857,300.1560059,
0.3291666806,298.8884583,
0.3308333457,301.4790955,
0.3325000107,297.4913025,
0.3341666758,297.9453125,
0.3358333409,301.4082642,
0.337500006,294.5330505,
0.339166671,300.7233582,
0.3408333361,299.3616943,
0.342500031,300.4143982,
0.3441666663,300.6125793,
0.3458333313,299.4689331,
0.3474999964,299.1551514,
0.3491666913,298.1735229,
0.3508333564,299.4292908,
0.3524999917,300.4740295,
0.3541666567,297.6142883,
0.3558333516,300.515564,
0.3575000167,297.341095,
0.3591666818,300.0516052,
0.360833317,297.925415,
0.3625000119,298.4816284,
0.364166677,299.4729614,
0.3658333421,300.8365479,
0.3675000072,299.7690735,
0.3691666722,300.3375244,
0.3708333373,300.2469177,
0.3725000024,300.0557861,
0.3741666675,297.638916,
0.3758333623,297.7349854,
0.3774999976,297.8388977,
0.3791666627,299.3101501,
0.3808333278,299.2228699,
0.3825000226,299.118103,
0.3841666877,299.3699036,
0.385833323,300.8279724,
0.3874999881,299.0153503,
0.389166683,300.6806335,
0.390833348,300.2777405,
0.3925000131,298.2573853,
0.3941666484,300.7338562,
0.3958333433,298.4866333,
0.3975000083,299.6719971,
0.3991666734,297.3989868,
0.4008333385,300.414093,
0.4025000036,299.2663574,
0.4041666687,299.5823059,
0.4058333337,299.6333618,
0.4074999988,299.3126831,
0.4091666937,299.3876038,
0.410833329,298.6384888,
0.412499994,299.5878906,
0.4141666591,299.9630432,
0.415833354,298.5803833,
0.4175000191,300.0198669,
0.4191666543,299.8890991,
0.4208333194,300.2601624,
0.4225000143,298.3908386,
0.4241666794,299.2542419,
0.4258333445,300.0724182,
0.4274999797,299.4726563,
0.4291666746,300.907959,
0.4308333397,299.7850952,
0.4325000048,300.8718872,
0.4341666996,300.7311096,
0.4358333349,297.9569702,
0.4375,298.5739441,
0.4391666651,300.0699463,
0.44083336,299.3673401,
0.442500025,300.9528503,
0.4441666603,299.7112427,
0.4458333254,299.1427612,
0.4475000203,297.6359253,
0.4491666853,299.056427,
0.4508333504,298.0443115,
0.4524999857,298.0463562,
0.4541666806,300.2951355,
0.4558333457,300.1664429,
0.4575000107,299.3733826,
0.4591666758,300.2137451,
0.4608333409,300.8729553,
0.462500006,298.3346558,
0.464166671,299.3184509,
0.4658333361,297.9564819,
0.467500031,298.8604126,
0.4691666663,299.4834595,
0.4708333313,299.6704102,
0.4724999964,300.8609009,
0.4741666913,299.0352478,
0.4758333564,299.6013184,
0.4774999917,300.21698,
0.4791666567,298.3137207,
0.4808333516,297.4446716,
0.4825000167,299.4182434,
0.4841666818,300.8519592,
0.485833317,298.9807129,
0.4875000119,299.4131775,
0.489166677,299.0550537,
0.4908333421,298.8663025,
0.4925000072,297.9259033,
0.4941666722,299.6222534,
0.4958333373,299.0374756,
0.4975000024,298.2678528,
0.4991666675,299.2428894,
0.5008333325,299.5914612,
0.5024999976,300.9968872,
0.5041666627,297.684967,
0.5058333278,299.6384277,
0.5074999928,298.6437683,
0.5091666579,301.5121155,
0.510833323,299.5321045,
0.5124999881,299.1188354,
0.5141666532,299.8087158,
0.5158333182,299.3527222,
0.5175000429,297.8822632,
0.5191666484,300.153717,
0.5208333135,300.5179138,
0.5224999785,300.8970032,
0.5241667032,300.3654175,
0.5258333683,298.6957092,
0.5274999738,298.6286011,
0.5291666389,300.2550049,
0.5308333635,299.2562866,
0.5325000286,298.7752991,
0.5341666341,299.3071899,
0.5358333588,298.7550659,
0.5375000238,298.8135681,
0.5391666889,300.6136475,
0.540833354,298.8123474,
0.5424999595,301.1662292,
0.5441666842,301.8590393,
0.5458333492,298.6746826,
0.5475000143,298.7532043,
0.5491666794,298.4137878,
0.5508333445,298.4935913,
0.5525000095,300.4532471,
0.5541666746,298.3182983,
0.5558333993,297.8796387,
0.5575000048,299.6157227,
0.5591666698,299.8117676,
0.5608333349,298.7161255,
0.5625,298.9699707,
0.5641667247,299.8806763,
0.5658333302,299.2390442,
0.5674999952,298.7402954,
0.5691667199,297.8139038,
0.5708333254,299.1621399,
