1,,
Time (min),Intensity (a.u.),
0.0008333333535,298.4047852,
0.002500000177,298.3867188,
0.004166666884,299.5102844,
0.005833333358,299.6784058,
0.007500000298,300.1220398,
0.009166667238,299.7163086,
0.01083333418,296.6606445,
0.01250000019,299.1853638,
0.01416666713,298.4588623,
0.01583333313,298.2147827,
0.01750000194,298.1548462,
0.01916666701,300.3310852,
0.02083333395,300.030365,
0.02250000089,299.3085938,
0.02416666783,298.1688232,
0.02583333477,298.0643311,
0.02749999985,298.7597961,
0.02916666679,299.1025391,
0.03083333373,297.9448853,
0.03250000253,300.2739868,
0.03416666761,299.6088562,
0.03583333641,300.5838928,
0.03750000149,299.4815063,
0.03916667029,298.9654846,
0.04083333537,298.7492065,
0.04250000045,300.9587097,
0.04416666925,299.5415955,
0.04583333433,298.655426,
0.04750000313,298.6599426,
0.04916666821,299.7626953,
0.05083333328,299.6522217,
0.05250000209,300.2038269,
0.05416666716,300.4418335,
0.05583333597,299.4804993,
0.05750000104,298.4856262,
0.05916666612,298.5416565,
0.06083333492,300.8554993,
0.0625,299.9527588,
0.06416667253,299.8057861,
0.0658333376,300.3511047,
0.06750000268,299.2344971,
0.06916666776,300.6651001,
0.07083333284,301.1987,
0.07249999791,296.9695129,
0.07416667044,299.9653625,
0.07583333552,299.9994202,
0.0775000006,301.4705811,
0.07916666567,300.6210327,
0.08083333075,301.0834656,
0.08250000328,299.5173645,
0.08416666836,298.757843,
0.08583333343,297.5304871,
0.08749999851,297.9042664,
0.08916666359,299.4565125,
0.09083333611,299.5872498,
0.09250000119,298.9892883,
0.09416666627,300.0647278,
0.09583333135,298.6902161,
0.09749999642,299.3380127,
0.09916666895,299.5395508,
0.100833334,297.9060669,
0.1024999991,297.9312134,
0.1041666642,299.0237427,
0.1058333293,299.667511,
0.1075000018,299.2614441,
0.1091666669,299.9570313,
0.1108333319,298.8794556,
0.112499997,298.9517822,
0.1141666621,298.9716492,
0.1158333346,299.1514893,
0.1174999997,299.006134,
0.1191666648,297.708252,
0.1208333299,299.3720703,
0.1224999949,297.5845032,
0.1241666749,299.6811829,
0.1258333325,298.4248047,
0.1274999976,298.5172424,
0.1291666627,299.3063965,
0.1308333278,299.3782959,
0.1325000077,300.9165039,
0.1341666728,299.7715759,
0.1358333379,297.2757568,
0.137500003,298.6793213,
0.1391666681,298.3198547,
0.1408333331,300.0011902,
0.1424999982,299.4673767,
0.1441666782,298.8734436,
0.1458333284,299.3433838,
0.1475000083,299.177002,
0.1491666585,298.329834,
0.1508333385,297.8372192,
0.1525000036,301.8280334,
0.1541666687,298.6489258,
0.1558333337,301.2714844,
0.1574999988,301.3063965,
0.1591666639,300.2615356,
0.1608333439,298.0191956,
0.162499994,303.2279053,
0.164166674,299.6938477,
0.1658333242,298.828186,
0.1675000042,299.6146851,
0.1691666692,298.5951233,
0.1708333343,299.5772095,
0.1724999994,299.6770935,
0.1741666645,299.6104431,
0.1758333296,300.6367188,
0.1775000095,299.5631409,
0.1791666597,298.7760925,
0.1808333397,299.7009583,
0.1824999899,301.2718201,
0.1841666698,300.5740662,
0.1858333498,300.8249817,
0.1875,300.8978882,
0.18916668,301.5455933,
0.1908333302,299.7170105,
0.1925000101,301.2514343,
0.1941666752,301.7373352,
0.1958333403,298.9591675,
0.1975000054,299.7671814,
0.1991666704,300.0577087,
0.2008333355,299.0737915,
0.2025000155,298.602356,
0.2041666657,300.9664612,
0.2058333457,299.6477356,
0.2074999958,299.0584717,
0.2091666758,300.2897339,
0.2108333409,299.6003723,
0.212500006,299.5845642,
0.214166671,299.0696411,
0.2158333361,302.1552734,
0.2175000012,297.6640015,
0.2191666812,300.0480957,
0.2208333313,299.0690613,
0.2225000113,297.962616,
0.2241666615,299.2863159,
0.2258333415,298.1369934,
0.2275000066,299.0772095,
0.2291666716,297.8657837,
0.2308333367,298.309906,
0.2325000018,298.3902283,
0.2341666669,298.4624939,
0.2358333468,297.7515259,
0.237499997,298.8135681,
0.239166677,299.0007629,
0.2408333272,299.0643921,
0.2425000072,297.6095886,
0.2441666722,299.008728,
0.2458333373,299.0634155,
0.2475000024,299.1469116,
0.2491666675,298.9362488,
0.2508333325,299.6725464,
0.2524999976,298.9100037,
0.2541666627,298.6241455,
0.2558333278,296.3860779,
0.2574999928,298.6870422,
0.2591666579,297.9613037,
0.2608333528,298.0341187,
0.2624999881,299.1603394,
0.264166683,298.1060791,
0.2658333182,300.5375671,
0.2675000131,298.968811,
0.2691666484,298.8167725,
0.2708333433,298.5144958,
0.2725000083,298.0679626,
0.2741666734,298.258606,
0.2758333385,296.4995728,
0.2775000036,299.0880127,
0.2791666687,297.9758911,
0.2808333337,299.4621582,
0.2824999988,296.2745972,
0.2841666937,298.8821106,
0.285833329,298.2628174,
0.287499994,297.2066956,
0.2891666591,299.5533752,
0.290833354,297.1647949,
0.2925000191,298.8582153,
0.2941666543,298.4490662,
0.2958333194,298.4024963,
0.2975000143,299.2414856,
0.2991666794,301.31073,
0.3008333445,299.9511719,
0.3024999797,300.0707703,
0.3041666746,298.6623535,
0.3058333397,298.5552673,
0.3075000048,299.135437,
0.3091666996,299.4165955,
0.3108333349,299.9778748,
0.3125,299.828949,
0.3141666651,299.7102966,
0.31583336,303.0012817,
0.317500025,301.5194092,
0.3191666603,300.1452637,
0.3208333254,302.5551758,
0.3225000203,298.3887939,
0.3241666853,298.5672913,
0.3258333504,300.5344849,
0.3274999857,299.0068054,
0.3291666806,298.3018799,
0.3308333457,299.7828369,
0.3325000107,300.1608276,
0.3341666758,301.1480103,
0.3358333409,299.4166565,
0.337500006,298.0232849,
0.339166671,299.1212769,
0.3408333361,301.2175293,
0.342500031,300.7018127,
0.3441666663,300.6152649,
0.3458333313,300.2095642,
0.3474999964,298.8537598,
0.3491666913,297.9311829,
0.3508333564,299.2610779,
0.3524999917,298.4891052,
0.3541666567,301.4457092,
0.3558333516,297.3736572,
0.3575000167,297.8894348,
0.3591666818,298.425293,
0.360833317,298.4463196,
0.3625000119,297.4876709,
0.364166677,299.5509949,
0.3658333421,298.361084,
0.3675000072,297.168335,
0.3691666722,299.3600769,
0.3708333373,298.3931274,
0.3725000024,299.6439819,
0.3741666675,297.918335,
0.3758333623,298.1148987,
0.3774999976,299.0421753,
0.3791666627,299.0272217,
0.3808333278,296.7935181,
0.3825000226,298.6943054,
0.3841666877,299.1925049,
0.385833323,297.048584,
0.3874999881,297.2884216,
0.389166683,297.4090576,
0.390833348,298.1355896,
0.3925000131,297.5819092,
0.3941666484,298.4685364,
0.3958333433,297.6257935,
0.3975000083,299.6498413,
0.3991666734,296.5918884,
0.4008333385,298.348114,
0.4025000036,300.4730225,
0.4041666687,298.8155823,
0.4058333337,299.0302124,
0.4074999988,298.3162231,
0.4091666937,296.9800415,
0.410833329,298.9324036,
0.412499994,298.3380127,
0.4141666591,298.7109375,
0.415833354,299.4777222,
0.4175000191,300.0116272,
0.4191666543,298.7281189,
0.4208333194,297.6188354,
0.4225000143,297.7612915,
0.4241666794,299.5935669,
0.4258333445,299.6220093,
0.4274999797,298.8395386,
0.4291666746,299.191803,
0.4308333397,298.2891235,
0.4325000048,297.8040771,
0.4341666996,300.6384583,
0.4358333349,298.3424072,
0.4375,298.2793274,
0.4391666651,301.4837646,
0.44083336,296.3899841,
0.442500025,299.7729187,
0.4441666603,297.6630249,
0.4458333254,298.8441772,
0.4475000203,294.6307373,
0.4491666853,298.8493958,
0.4508333504,299.800415,
0.4524999857,299.3978882,
0.4541666806,300.588562,
0.4558333457,299.3784485,
0.4575000107,298.9493713,
0.4591666758,301.6836548,
0.4608333409,299.4389954,
0.462500006,301.0805054,
0.464166671,298.655426,
0.4658333361,300.9050293,
0.467500031,300.8985901,
0.4691666663,297.97052,
0.4708333313,298.5054016,
0.4724999964,300.3729248,
0.4741666913,299.9108887,
0.4758333564,299.1658936,
0.4774999917,298.4967651,
0.4791666567,298.9216919,
0.4808333516,298.8461609,
0.4825000167,299.2622986,
0.4841666818,299.0367432,
0.485833317,298.331543,
0.4875000119,299.230072,
0.489166677,298.2693481,
0.4908333421,297.9130554,
0.4925000072,300.8737488,
0.4941666722,298.3952942,
0.4958333373,299.0602417,
0.4975000024,298.1459961,
0.4991666675,297.8533325,
0.5008333325,298.5002747,
0.5024999976,297.5470886,
0.5041666627,296.6157532,
0.5058333278,297.2752075,
0.5074999928,299.3690796,
0.5091666579,298.9719238,
0.510833323,299.3197632,
0.5124999881,296.6291199,
0.5141666532,297.2493286,
0.5158333182,299.0606384,
0.5175000429,299.3921814,
0.5191666484,298.6173401,
0.5208333135,297.2704468,
0.5224999785,297.9703064,
0.5241667032,298.4922485,
0.5258333683,300.0341797,
0.5274999738,297.62677,
0.5291666389,300.6001587,
0.5308333635,297.8682861,
0.5325000286,299.0432129,
0.5341666341,298.6096497,
0.5358333588,298.7660828,
0.5375000238,298.6511536,
0.5391666889,295.3634033,
0.540833354,299.0673523,
0.5424999595,298.8135681,
0.5441666842,297.168457,
0.5458333492,298.130249,
0.5475000143,298.1290283,
0.5491666794,299.4631653,
0.5508333445,297.2471008,
0.5525000095,298.022644,
0.5541666746,299.1884766,
0.5558333993,299.4759521,
0.5575000048,299.6148682,
0.5591666698,298.0177307,
0.5608333349,297.7015381,
0.5625,297.4421387,
0.5641667247,296.9664612,
0.5658333302,297.5463257,
0.5674999952,295.7915649,
0.5691667199,298.0028076,
0.5708333254,299.0210571,
0.5725000501,300.843689,
0.5741666555,301.5817871,
0.5758333206,298.5665894,
0.5775000453,298.5388794,
0.5791666508,298.9382935,
0.5808333755,298.6447449,
0.5825000405,298.1016541,
0.584166646,299.0428772,
0.5858333707,298.317688,
0.5874999762,299.15271,
0.5891667008,298.3421326,
0.5908333659,296.9198303,
0.5924999714,301.8922729,
0.5941666961,300.0857239,
0.5958333611,297.7857361,
0.5975000262,301.4133911,
0.5991666913,299.0241089,
0.6008332968,298.6946411,
0.6025000215,298.8130798,
0.6041666865,297.8936768,
0.6058333516,298.7249146,
0.6075000167,300.9227295,
0.6091666818,299.2284851,
0.6108333468,300.2402039,
0.6125000119,298.7921753,
0.614166677,298.7371826,
0.6158333421,300.7416687,
0.6175000072,297.7852478,
0.6191666722,297.9232483,
0.6208333373,296.690979,
0.622500062,298.5923157,
0.6241666675,299.8289185,
0.6258333325,298.2146301,
0.6274999976,298.0219727,
0.6291666627,298.6070251,
0.6308333874,297.1329346,
0.6324999928,298.5794983,
0.6341666579,297.2246399,
0.6358333826,298.3748779,
0.6374999881,298.1993408,
0.6391667128,298.3204956,
0.6408333182,297.3369446,
0.6424999833,296.3817749,
0.644166708,297.7762451,
0.6458333135,300.903717,
0.6475000381,297.1949463,
0.6491667032,299.0723877,
0.6508333087,298.2979126,
0.6525000334,298.6130371,
0.6541666389,297.9657593,
0.6558333635,298.3325806,
0.6575000286,299.3659668,
0.6591666341,299.72052,
0.6608333588,297.2185059,
0.6625000238,296.8482056,
0.6641666889,297.2762451,
0.665833354,297.7723999,
0.6674999595,297.4230042,
0.6691666842,298.7043762,
0.6708333492,298.6712341,
0.6725000143,299.09729,
0.6741666794,300.7144165,
0.6758333445,297.1677551,
0.6775000095,299.5365295,
0.6791666746,297.9940186,
0.6808333993,297.9259338,
0.6825000048,298.8000793,
0.6841666698,297.8542175,
0.6858333349,298.1620483,
0.6875,298.5818787,
0.6891667247,298.5715637,
0.6908333302,299.6912231,
0.6924999952,299.1047058,
0.6941667199,298.6956787,
0.6958333254,296.5747681,
0.6975000501,298.1271973,
0.6991666555,297.5121155,
0.7008333206,299.0529785,
0.7025000453,299.188446,
0.7041666508,297.7553101,
0.7058333755,298.9114685,
0.7075000405,298.3699341,
0.709166646,296.8064575,
0.7108333707,296.5099792,
0.7124999762,296.270752,
0.7141667008,298.4377747,
0.7158333659,299.5467529,
0.7174999714,296.4009399,
0.7191666961,297.9119568,
0.7208333611,298.5542297,
0.7225000262,298.2501831,
0.7241666913,296.8600159,
0.7258332968,297.6322021,
0.7275000215,301.2006531,
0.7291666865,297.1639099,
0.7308333516,298.2924805,
0.7325000167,298.6020203,
0.7341666818,299.2423706,
0.7358333468,297.2903442,
0.7375000119,297.4394836,
0.739166677,299.2210388,
0.7408333421,299.9266052,
0.7425000072,297.7709045,
0.7441666722,296.9121399,
0.7458333373,299.2721863,
0.747500062,298.0352783,
0.7491666675,299.2295532,
0.7508333325,299.5534363,
0.7524999976,298.45401,
0.7541666627,297.4787903,
0.7558333874,298.1804504,
0.7574999928,300.6647034,
0.7591666579,297.3338623,
0.7608333826,298.8086548,
0.7624999881,300.503418,
0.7641667128,299.5513916,
0.7658333182,297.731842,
0.7674999833,298.039978,
0.769166708,298.6290894,
0.7708333135,300.1735535,
0.7725000381,296.862854,
0.7741667032,299.6134949,
0.7758333087,302.0322266,
0.7775000334,298.4856567,
0.7791666389,298.4266968,
0.7808333635,297.9297485,
0.7825000286,297.7415466,
0.7841666341,299.1481628,
0.7858333588,299.6689758,
0.7875000238,298.3130798,
0.7891666889,297.0760498,
0.790833354,296.66922,
0.7924999595,298.8403625,
0.7941666842,297.8950806,
0.7958333492,298.0483704,
0.7975000143,296.6298218,
0.7991666794,300.0335999,
0.8008333445,299.9538269,
0.8025000095,297.8712769,
0.8041666746,300.355072,
0.8058333993,299.6156616,
0.8075000048,297.4533081,
0.8091666698,298.8874817,
0.8108333349,298.9535522,
0.8125,299.1574402,
0.8141667247,298.321991,
0.8158333302,299.148407,
0.8174999952,300.6321716,
0.8191667199,299.9653015,
0.8208333254,296.9996033,
0.8225000501,297.2415161,
0.8241666555,296.9085693,
0.8258333206,298.8932495,
0.8275000453,296.2891235,
0.8291666508,299.565155,
0.8308333755,298.0056152,
0.8325000405,299.6280212,
0.834166646,297.3922729,
0.8358333707,298.8031311,
0.8374999762,299.1038513,
0.8391667008,298.313446,
0.8408333659,297.062439,
0.8424999714,298.6066589,
0.8441666961,298.1979675,
0.8458333611,296.6126099,
0.8475000262,296.6045837,
0.8491666913,297.8124084,
0.8508332968,296.0402527,
