5a,
Time (min),Intensity (a.u.)
0.000833333,349.3439636
0.0025,347.7956238
0.004166667,348.9119568
0.005833333,350.0900879
0.0075,348.1114197
0.009166667,350.7507935
0.010833334,349.2688293
0.0125,349.5507202
0.014166667,351.1486206
0.015833333,348.1355896
0.017500002,347.9916992
0.019166667,350.106842
0.020833334,348.3053894
0.022500001,347.4203186
0.024166668,348.3600159
0.025833335,347.9598083
0.0275,347.7730713
0.029166667,348.4403992
0.030833334,347.0337219
0.032500003,350.5776672
0.034166668,347.3972778
0.035833336,347.7566528
0.037500001,348.1048279
0.03916667,349.7962646
0.040833335,348.8256531
0.0425,347.4314575
0.044166669,347.699585
0.045833334,346.977356
0.047500003,347.3357544
0.049166668,349.0134583
0.050833333,348.1531067
0.052500002,348.5796814
0.054166667,350.278717
0.055833336,348.4343872
0.057500001,347.9273071
0.059166666,348.6945496
0.060833335,349.5328979
0.0625,347.8308716
0.064166673,348.6366577
0.065833338,348.0486145
0.067500003,348.0761414
0.069166668,346.8525085
0.070833333,346.7931213
0.072499998,347.5150146
0.07416667,346.3643188
0.075833336,350.1918945
0.077500001,347.6965637
0.079166666,347.7458496
0.080833331,348.0626831
0.082500003,346.2912598
0.084166668,346.2973328
0.085833333,348.9922485
0.087499999,350.1177979
0.089166664,348.1517944
0.090833336,348.9505005
0.092500001,346.8800964
0.094166666,347.2006836
0.095833331,347.1307373
0.097499996,347.4373779
0.099166669,348.9000244
0.100833334,348.7845764
0.102499999,348.7340393
0.104166664,350.0201721
0.105833329,348.696167
0.107500002,346.3021545
0.109166667,348.2200928
0.110833332,347.5431519
0.112499997,348.7515564
0.114166662,347.4848633
0.115833335,348.6584778
0.1175,348.3709717
0.119166665,346.9840698
0.12083333,346.7487183
0.122499995,347.2423096
0.124166675,349.8355713
0.125833333,347.3710022
0.127499998,347.5400391
0.129166663,349.8152466
0.130833328,345.888092
0.132500008,347.9526978
0.134166673,349.0555725
0.135833338,348.2885132
0.137500003,346.7281799
0.139166668,348.2047424
0.140833333,346.9386597
0.142499998,346.9850159
0.144166678,348.0614014
0.145833328,348.4078369
0.147500008,347.7791138
0.149166659,348.2113953
0.150833339,348.2450256
0.152500004,348.7006226
0.154166669,348.6187744
0.155833334,347.2386169
0.157499999,348.5638733
0.159166664,346.6332092
0.160833344,347.433136
0.162499994,346.0994263
0.164166674,347.7029724
0.165833324,345.6396484
0.167500004,347.1604614
0.169166669,347.6158447
0.170833334,348.2720032
0.172499999,346.8348999
0.174166665,347.0499573
0.17583333,347.5241089
0.17750001,349.3375549
0.17916666,346.5054626
0.18083334,349.1534119
0.18249999,346.9507751
0.18416667,348.2142944
0.18583335,346.747345
0.1875,347.7505188
0.18916668,347.3898926
0.19083333,347.3786926
0.19250001,347.3745728
0.194166675,346.5805664
0.19583334,348.9780884
0.197500005,347.3433838
0.19916667,347.3081665
0.200833336,347.0698242
0.202500016,347.9533691
0.204166666,348.0754089
0.205833346,350.0264893
0.207499996,348.06604
0.209166676,347.2486572
0.210833341,347.9231262
0.212500006,345.9061584
0.214166671,347.1694946
0.215833336,348.4891663
0.217500001,349.308136
0.219166681,346.7697144
0.220833331,346.7437134
0.222500011,345.9884338
0.224166662,347.4729004
0.225833342,347.4404602
0.227500007,347.4077148
0.229166672,349.9355774
0.230833337,348.7033081
0.232500002,346.6166992
0.234166667,348.0532532
0.235833347,347.034729
0.237499997,347.0733032
0.239166677,346.2747192
0.240833327,346.2450562
0.242500007,349.1717529
0.244166672,348.447937
0.245833337,349.4339905
0.247500002,347.2233582
0.249166668,347.2674866
0.250833333,347.3226318
0.252499998,348.0343933
0.254166663,344.8055725
0.255833328,348.2319031
0.257499993,349.2279053
0.259166658,349.3399353
0.260833353,347.8534851
0.262499988,348.5917358
0.264166683,347.3646545
0.265833318,348.6148987
0.267500013,347.3244934
0.269166648,347.4585571
0.270833343,347.1075134
0.272500008,348.757843
0.274166673,348.4259033
0.275833339,347.5666504
0.277500004,348.8800659
0.279166669,348.8178101
0.280833334,347.7491455
0.282499999,347.8152771
0.284166694,346.1757507
0.285833329,348.362915
0.287499994,347.6030579
0.289166659,348.201416
0.290833354,348.5063171
0.292500019,345.7088928
0.294166654,346.8572388
0.295833319,347.2319031
0.297500014,347.5643311
0.299166679,345.75177
0.300833345,347.09198
0.30249998,348.177063
0.304166675,348.4729309
0.30583334,347.3720703
0.307500005,347.3620605
0.3091667,346.0453491
0.310833335,347.381958
0.3125,348.0394287
0.314166665,347.3588257
0.31583336,348.2570801
0.317500025,348.7726746
0.31916666,347.3000488
0.320833325,346.25177
0.32250002,345.9169617
0.324166685,346.5708618
0.32583335,347.1110535
0.327499986,346.0372925
0.329166681,347.9225769
0.330833346,345.7693481
0.332500011,347.0941772
0.334166676,349.0719604
0.335833341,345.9567871
0.337500006,347.3348083
0.339166671,346.4847412
0.340833336,346.4189148
0.342500031,345.8016052
0.344166666,347.1972656
0.345833331,346.9616089
0.347499996,348.0753174
0.349166691,347.245636
0.350833356,347.0031433
0.352499992,346.3815308
0.354166657,346.7185364
0.355833352,348.2017517
0.357500017,347.6599426
0.359166682,347.0082397
0.360833317,346.8901672
0.362500012,345.7763672
0.364166677,346.4613342
0.365833342,346.6459961
0.367500007,347.9756775
0.369166672,348.0147705
0.370833337,347.5360718
0.372500002,348.3164673
0.374166668,348.2115784
0.375833362,346.7790527
0.377499998,347.7357483
0.379166663,348.3819885
0.380833328,346.8992004
0.382500023,346.952301
0.384166688,346.5700684
0.385833323,348.4140625
0.387499988,348.7211304
0.389166683,346.1325073
0.390833348,347.8433228
0.392500013,347.1916809
0.394166648,348.4647522
0.395833343,347.6655273
0.397500008,347.1209412
0.399166673,348.6505432
0.400833339,347.3042297
0.402500004,347.6072998
0.404166669,346.6229248
0.405833334,347.0751648
0.407499999,346.7349548
0.409166694,348.2190857
0.410833329,347.1871643
0.412499994,348.0183716
0.414166659,347.586792
0.415833354,346.2851563
0.417500019,347.8310852
0.419166654,344.5961609
0.420833319,347.6548157
0.422500014,347.9295044
0.424166679,346.6407776
0.425833345,346.9251099
0.42749998,347.7191162
0.429166675,346.2917175
0.43083334,346.0267029
0.432500005,347.4545593
0.4341667,346.382019
0.435833335,347.947998
0.4375,347.4860229
0.439166665,349.4697876
0.44083336,345.2667847
0.442500025,346.8468933
0.44416666,347.0212708
0.445833325,344.8467102
0.44750002,346.8390198
0.449166685,347.0074463
0.45083335,347.9759827
0.452499986,347.9038086
0.454166681,346.8709412
0.455833346,349.583252
0.457500011,348.2105103
0.459166676,348.2423706
0.460833341,346.1246643
0.462500006,348.5914917
0.464166671,348.0350037
0.465833336,347.0223999
0.467500031,346.1502686
0.469166666,348.1800537
0.470833331,346.8176575
0.472499996,347.1015625
0.474166691,349.0662231
0.475833356,347.5063477
0.477499992,347.0742493
0.479166657,348.1925049
0.480833352,348.8036804
0.482500017,347.4289246
0.484166682,347.1552429
0.485833317,347.6521912
0.487500012,348.0521851
0.489166677,347.1230164
0.490833342,348.6629028
0.492500007,348.2345581
0.494166672,346.3925476
0.495833337,348.7178345
0.497500002,347.2349548
0.499166668,346.4294128
0.500833333,349.4172668
0.502499998,346.6005249
0.504166663,346.6200256
0.505833328,346.8323669
0.507499993,348.7219543
0.509166658,347.776947
0.510833323,345.7320557
0.512499988,346.6549072
0.514166653,347.0652466
0.515833318,347.3045349
0.517500043,345.2709656
0.519166648,347.2049866
0.520833314,347.6228638
0.522499979,348.3338928
0.524166703,348.0044556
0.525833368,348.0042114
0.527499974,348.0336609
0.529166639,346.8466492
0.530833364,346.1932068
0.532500029,347.8066711
0.534166634,345.9916382
0.535833359,348.824585
0.537500024,348.8194275
0.539166689,346.6179504
0.540833354,347.6044312
0.54249996,346.936615
0.544166684,348.8778076
0.545833349,347.7783813
0.547500014,346.9822388
0.549166679,347.3398132
0.550833345,347.5143127
0.55250001,346.8658447
0.554166675,347.5810852
0.555833399,347.4879456
0.557500005,348.0663147
0.55916667,348.7081299
0.560833335,346.7052307
0.5625,345.8901367
0.564166725,347.4964905
0.56583333,348.6576843
0.567499995,349.1361694
0.56916672,347.9296875
0.570833325,348.4375
0.57250005,346.8285522
0.574166656,348.749115
0.575833321,348.2220154
0.577500045,349.0337219
0.579166651,347.4324341
0.580833376,346.2460022
0.582500041,348.5018005
0.584166646,347.9889832
0.585833371,346.1556396
0.587499976,348.5847473
0.589166701,348.0289001
0.590833366,348.8414001
0.592499971,348.5133362
0.594166696,346.432373
0.595833361,347.3048401
0.597500026,348.276947
0.599166691,347.630249
0.600833297,349.0050659
0.602500022,348.4458923
0.604166687,347.3639832
0.605833352,348.6191711
0.607500017,347.5333557
0.609166682,347.8658142
0.610833347,347.803833
0.612500012,348.4563904
0.614166677,347.2182312
0.615833342,346.9706421
0.617500007,348.3610535
0.619166672,347.0804749
0.620833337,347.5450134
0.622500062,348.6411438
0.624166668,348.3401794
0.625833333,348.1182251
0.627499998,346.3063354
0.629166663,346.9767761
0.630833387,347.2534485
0.632499993,349.0316162
0.634166658,349.2518311
0.635833383,348.4644165
0.637499988,346.9282837
0.639166713,346.2398987
0.640833318,347.8154297
0.642499983,346.5773315
0.644166708,347.7271729
0.645833314,348.3806763
0.647500038,346.3127441
0.649166703,349.5635681
0.650833309,347.5360413
0.652500033,348.6849365
0.654166639,349.2836304
0.655833364,347.4273682
0.657500029,349.4870911
0.659166634,345.3740234
0.660833359,346.7956848
0.662500024,347.4292603
0.664166689,347.1678467
0.665833354,347.6442566
0.66749996,347.2769775
0.669166684,347.7053223
0.670833349,347.18573
0.672500014,346.7255249
0.674166679,348.3092346
0.675833345,346.9635315
0.67750001,346.8760986
0.679166675,348.139801
0.680833399,346.3067932
0.682500005,348.8344727
0.68416667,348.3193665
0.685833335,347.5057068
0.6875,346.4742432
0.689166725,346.4446106
0.69083333,346.9989929
0.692499995,347.9865112
0.69416672,347.5663452
0.695833325,344.8419495
0.69750005,347.1308899
0.699166656,347.8403931
0.700833321,346.3365784
0.702500045,349.0704041
0.704166651,345.5663147
0.705833376,349.8693542
0.707500041,349.9889221
0.709166646,346.5653687
0.710833371,347.3627014
0.712499976,347.1985779
0.714166701,347.6392517
