8a,
Time (min),Intensity (a.u.)
0.004166667,130.6664886
0.085000001,131.4277496
0.165895835,131.3318634
0.249229163,131.6018524
0.330062479,131.5029297
0.410895824,131.3610992
0.49172917,131.5983734
0.572562456,131.6072388
0.653395832,131.5677338
0.734229147,131.4887848
0.815062523,131.6434021
0.895895839,131.9501343
0.976729155,131.5965271
1.05756247,131.5531616
1.138395786,131.7559509
1.219229102,131.940155
1.300062537,131.9543304
1.382562518,131.957428
1.465062499,132.0552063
1.545895934,131.971756
1.62672925,132.3878937
1.707562566,132.1674194
1.788395762,131.9536896
1.870895863,132.1274414
1.950895786,131.8468628
2.031729221,132.4260559
2.112562656,132.3251038
2.193395853,132.2718964
2.274229288,132.4715118
2.355062723,132.4474945
2.437562466,132.0795288
2.517562628,132.3633881
2.599229097,132.3789825
2.679229259,132.4833221
2.760062456,132.678833
2.840895891,132.7364197
2.921729326,132.247879
3.002562523,132.6764526
3.083395958,132.5969391
3.163395882,132.4628448
3.244229078,133.0841522
3.325062513,132.8829041
3.40589571,133.1716919
3.486729145,132.8928986
3.566729307,133.098175
3.647562504,132.5996704
3.728395939,132.8221436
3.809229374,132.7900085
3.890062571,132.9858246
3.972562313,133.1828766
4.052562237,133.2615204
4.133395672,133.1178894
4.214229107,133.2602692
4.295062065,133.2938385
4.3758955,133.0593567
4.455895901,132.970932
4.536728859,133.0223083
4.616896152,133.4995117
4.696896076,133.5065155
4.777729511,133.1131897
4.858562946,133.1024017
4.939395428,133.0319824
5.019458294,133.7431641
5.100250244,139.4048462
5.181083202,143.5918579
5.261916637,146.744812
5.342750072,149.0184631
5.422749996,151.0241394
5.503583431,153.6171875
5.584416866,155.2709351
5.664416313,156.3119812
5.745249748,158.4993744
5.825250149,159.469574
5.906083107,160.9859161
5.986083508,161.5119781
6.066916943,162.4974213
6.146916866,163.457016
6.227750301,165.3023682
6.308624744,165.1097565
6.389458179,165.9340057
6.470291615,166.8418579
6.550291538,167.4768982
6.631124973,168.0446625
6.711958408,168.8070984
6.792791843,169.4404297
6.873625278,170.6051331
6.953625202,171.2243195
7.033624649,171.1055298
7.114458084,171.4617004
7.194458485,171.862381
7.275291443,172.3824005
7.355291843,172.3954163
7.436125278,172.9896851
7.516958237,173.3638458
7.597812176,173.9107819
7.678645611,174.3587189
7.758645535,175.0235901
7.83947897,174.9758606
7.920312405,175.4466858
8.001146317,175.1880493
8.081979752,175.8417358
8.161978722,175.9313507
8.24289608,176.3904877
8.322875023,176.2271423
8.405396461,176.5734711
8.485375404,176.8500366
8.566207886,177.0425262
8.646208763,177.743103
8.729541779,177.4313049
8.810396194,177.8280182
8.891207695,177.7706299
8.972896576,178.317749
9.053708076,177.9490967
9.135396004,178.6313782
9.216207504,178.4913177
9.299541473,178.6596527
9.380395889,178.7537384
9.462040901,178.4999695
9.542895317,179.109848
9.623707771,179.1156769
9.70454216,179.081665
9.785396576,180.2124329
9.868708611,179.4498749
9.949541092,179.6509705
10.03239536,179.5792236
10.11322975,179.9429779
10.19654179,179.9265442
10.27739525,180.1941528
10.35820866,180.0526123
10.43906212,180.1280823
10.52237511,180.2046967
10.60320854,180.4213715
10.68406296,180.6504974
10.76489544,181.1609192
10.84572983,181.1357422
10.92658329,181.8265533
11.00737476,180.7881622
11.08822918,180.8023834
11.16906261,180.7012024
11.24989605,181.4714355
11.3307085,181.2753296
11.41156197,181.0903168
11.49237442,181.4489746
11.57322884,182.2857513
11.65406322,181.0528107
11.73489571,181.950119
11.81570816,181.6633911
11.89656258,181.8210449
11.97737503,181.9752808
12.05822945,181.6438904
12.1390419,181.5114594
12.21989536,182.1820526
12.30072975,182.1854553
12.38156223,181.4773865
12.46239662,182.3548889
12.54489517,182.2402954
12.62489605,182.1351318
12.70572948,182.3053894
12.78656197,182.0200806
12.86739635,182.5063171
12.94822884,182.8981018
13.03072929,182.7845917
13.11156178,182.4581451
13.19156265,182.7143097
13.27239609,182.0595703
13.35322857,182.9617615
13.43322945,182.5734406
13.51406288,182.5025635
13.59489536,182.8249207
13.67745876,182.6354218
13.75739574,182.9863129
13.83822918,182.7621307
13.91906261,183.311142
13.99989605,183.0779266
14.08072948,183.1016083
14.16322899,182.7440033
14.24406242,183.1514587
14.32406235,183.197113
14.40489578,182.5995483
14.48572922,183.0895996
14.56656265,183.0513458
14.64739609,182.8261261
14.72739601,183.6838226
14.80822945,182.6907654
14.88822937,183.3426056
14.96906185,183.4172974
