8b,
Time (min),Intensity (a.u.)
0.044166669,108.3261032
0.125833333,108.4462967
0.206729174,108.6554718
0.289229184,108.6091766
0.3700625,109.0042419
0.451729178,108.7255402
0.532562494,108.7355728
0.61339581,108.6737137
0.694229186,108.8666458
0.775062501,108.634613
0.855895817,108.6364822
0.936729193,108.8211823
1.017562509,108.6932678
1.098395824,108.346344
1.178395867,108.6152954
1.259229183,108.8662949
1.340041637,108.7445679
1.42256248,108.3255386
1.505062461,108.8005066
1.585895777,108.8768616
1.66670835,108.9404297
1.747541666,108.8266983
1.828395844,108.7993546
1.910895824,109.0832672
1.991729259,108.8612595
2.072541714,108.9273758
2.153395891,108.9937744
2.233395815,108.8248749
2.314229012,108.9067993
2.395062447,108.7951431
2.477562428,109.2139893
2.558395863,109.0840836
2.639229059,109.1515961
2.720062494,108.9014893
2.800895929,109.1441803
2.881729126,109.5817337
2.962562561,109.139183
3.042562723,109.2445221
3.123395681,109.1770325
3.204229116,109.3625336
3.284229279,109.3482819
3.365062475,109.4062347
3.44589591,109.3111954
3.526729107,109.0551453
3.607583284,109.3679657
3.688395977,109.0915298
3.768395662,109.0956039
3.849229097,109.1962814
3.930062532,109.0707626
4.012562752,109.1991653
4.09339571,109.1613541
4.174229145,109.4170227
4.25506258,109.5119019
4.335062504,109.1463776
4.415895462,109.273613
4.495895863,109.2874451
4.576729298,109.3271255
4.656896114,109.3426208
4.737729549,109.2557068
4.817728996,109.2808456
4.898562431,109.4889908
4.979416847,109.0761642
5.060249805,109.1928864
5.141083241,109.6672211
5.22106266,109.4320831
5.301916599,109.2464218
5.382750034,104.5983047
5.463583469,114.9681854
5.544416904,117.4033585
5.624416828,119.7480392
5.705250263,121.0978851
5.78524971,122.7808456
5.865250111,125.0247345
5.946083546,125.6836319
6.026083469,126.9417877
6.106916904,128.3741608
6.18775034,129.3263855
6.268583298,130.404953
6.348625183,131.0962677
6.429458141,131.801239
6.510291576,132.3734894
6.591125011,132.8113403
6.671958447,134.045517
6.75195837,134.6018829
6.832791805,134.9053192
6.91362524,135.5690308
6.993624687,136.1932678
7.074458122,136.4022827
7.154458046,137.1654663
7.234458447,137.276413
7.315291882,137.4837646
7.39612484,138.2017212
7.476958275,138.7434845
7.556979179,138.6146393
7.637812138,138.9558258
7.718645573,139.0891724
7.799479008,139.4053345
7.880312443,140.0442352
7.960312366,140.1356506
8.041146278,140.6772766
8.122041702,140.4595337
8.202875137,141.1520386
8.282875061,141.5048981
8.362895966,141.2653656
8.445375443,141.3517914
8.526208878,142.4617462
8.606207848,142.2694855
8.687041283,141.9876251
8.76954174,142.443985
8.851208687,142.5139618
8.932041168,142.533905
9.013708115,142.5877228
9.09454155,143.6969757
9.175395966,143.5464783
9.257040977,143.1432953
9.33956337,143.3712158
9.421208382,143.5601501
9.502041817,143.9867249
9.582896233,143.9952087
9.664541245,143.8024597
9.74539566,143.7921448
9.826208115,144.0245514
9.908708572,143.907959
9.9903965,144.4315186
10.07322884,144.2738647
10.15404129,144.5312653
10.23656178,144.2454681
10.31739616,144.9235077
10.39906216,144.7060852
10.47989559,144.9055176
10.56237507,145.122406
10.64406204,144.8202362
10.72489643,145.2144928
10.80570889,145.1430054
10.88656235,145.5666809
10.96739578,145.3457794
11.04822922,145.9936829
11.12906265,145.4411469
11.20989609,145.4588623
11.29070854,145.8603668
11.37156296,145.8624115
11.45237541,145.8741913
11.53320789,145.6322632
11.61406231,145.7196808
11.69489574,145.3536835
11.7757082,145.465271
11.85656261,146.1673889
11.93737507,146.2877045
12.01822948,146.2194061
12.09904194,146.4750977
12.17906284,146.369339
12.26072884,146.4294739
12.34072876,145.8635712
12.42156315,146.5706635
12.5023756,146.3227997
12.58489609,146.1159058
12.66572857,146.4507141
12.74656296,146.133194
12.82739544,146.3054047
12.90739536,146.4987488
12.98822975,146.8345642
13.07072926,146.7944641
13.15156269,146.6190491
13.23239517,146.2851257
13.31322956,146.4375
13.39322948,146.9598083
13.47406197,146.7460327
13.55489635,146.8542023
13.63489628,147.0913544
13.71739578,146.4891205
13.79822922,146.5104065
13.87906265,147.0563354
13.95989609,146.5267029
14.03989601,146.9966583
14.12072945,146.991272
14.20322895,146.6194458
14.28406239,146.6785431
14.36489582,146.9643555
14.44572926,147.140564
14.52656269,147.0021057
14.60656261,146.4636536
14.68739605,147.4966125
14.76739597,147.1008759
14.84822941,147.3099365
14.92822838,147.7920074
15.00906277,147.2735748
