8,,
Time (min),Intensity (a.u.),
0.004166666884,22.8914547,
0.01250000019,23.17019844,
0.02083333395,23.07637405,
0.02916666679,23.05873299,
0.03750000149,23.1423378,
0.04583333433,23.08255386,
0.05416666716,23.17908669,
0.0625,23.02478218,
0.07083333284,23.10732651,
0.07916666567,23.14334488,
0.08749999851,23.22639275,
0.09583333135,23.08125877,
0.1041666642,23.28682327,
0.112499997,23.28032875,
0.1208333299,23.01987267,
0.1291666627,23.13407135,
0.137500003,23.03094864,
0.1458333284,23.18141365,
0.1541666687,23.06102753,
0.162499994,23.12121391,
0.1708333343,23.33344841,
0.1791666597,23.30358505,
0.1875,23.28744507,
0.1958333403,23.18935204,
0.2041666657,23.24876213,
0.212500006,23.18417358,
0.2208333313,23.28093338,
0.2291666716,23.2297287,
0.237499997,23.07045555,
0.2458333373,23.15247345,
0.2541666627,23.01170349,
0.2624999881,23.29746056,
0.2708333433,23.13324547,
0.2791666687,23.13252258,
0.287499994,22.9445343,
0.2958333194,23.2196312,
0.3041666746,23.23754501,
0.3125,22.95634651,
0.3208333254,23.28442192,
0.3291666806,23.12106514,
0.337500006,23.2982502,
0.3458333313,23.28891182,
0.3541666567,23.30149269,
0.3625000119,23.38204956,
0.3708333373,23.31010246,
0.3791666627,23.68683815,
0.3874999881,23.46268082,
0.3958333433,23.43680382,
0.4041666687,23.67367554,
0.412499994,23.32723045,
0.4208333194,23.20906067,
0.4291666746,23.36660576,
0.4375,23.42827034,
0.4458333254,23.36521912,
0.4541666806,23.0817318,
0.462500006,23.12462616,
0.4708333313,23.32353973,
0.4791666567,23.27164078,
0.4875000119,23.498312,
0.4958333373,23.52116776,
0.5041666627,23.34897232,
0.5124999881,23.58749771,
0.5208333135,23.24509048,
0.5291666389,23.48542023,
0.5375000238,23.17093849,
0.5458333492,23.32260513,
0.5541666746,23.12265396,
0.5625,23.28277588,
0.5708333254,23.37569427,
0.5791666508,23.44815254,
0.5874999762,23.33377266,
0.5958333611,23.50457191,
0.6041666865,23.33926392,
0.6125000119,23.43720055,
0.6208333373,23.29863548,
0.6291666627,23.38651848,
0.6374999881,23.31207085,
0.6458333135,23.24703979,
0.6541666389,23.33671188,
0.6625000238,23.44175911,
0.6708333492,23.26627159,
0.6791666746,23.32859421,
0.6875,23.15397072,
0.6958333254,23.22080994,
0.7041666508,23.29943657,
0.7124999762,23.38944054,
0.7208333611,23.30854225,
0.7291666865,23.17935371,
0.7375000119,23.0651474,
0.7458333373,23.1805191,
0.7541666627,23.17301178,
0.7624999881,23.27474022,
0.7708333135,23.09093857,
0.7791666389,23.12595749,
0.7875000238,23.12591171,
0.7958333492,23.27435875,
0.8041666746,23.27600479,
0.8125,23.32952309,
0.8208333254,23.45801353,
0.8291666508,23.50793457,
0.8374999762,23.38689232,
0.8458333611,23.42742348,
0.8541666865,23.36789513,
0.8625000119,23.31866074,
0.8708333373,23.21160316,
0.8791666627,23.55985451,
0.8874999881,23.48485947,
0.8958333135,23.41035461,
0.9041666389,23.16332817,
0.9125000238,23.34056091,
0.9208333492,23.35599899,
0.9291666746,23.49080276,
0.9375,23.45875931,
0.9458333254,23.27527046,
0.9541666508,23.29080582,
0.9624999762,23.48228264,
0.9708333611,23.28543282,
0.9791666865,23.32186317,
0.9875000119,23.39918709,
0.9958333373,23.48492241,
1.004166722,23.53022766,
1.012500048,23.27873802,
1.020833373,23.54883957,
1.029166698,23.14261818,
1.037500024,23.14710426,
1.045833349,23.28257179,
1.054166675,23.29151154,
1.0625,23.26710129,
1.070833325,23.20114136,
1.079166651,23.340065,
1.087499976,23.37754631,
1.095833302,23.3471241,
1.104166627,23.14854431,
1.112499952,23.29772568,
1.120833278,23.35368919,
1.129166722,23.3138504,
1.137500048,23.33185196,
1.145833373,23.27355957,
1.154166698,23.33677483,
1.162500024,23.18493271,
1.170833349,23.35685921,
1.179166675,23.44046021,
1.1875,23.32887268,
1.195833325,23.19726563,
1.204166651,23.3626976,
1.212499976,23.43072128,
1.220833302,23.29126167,
1.229166627,23.37838745,
1.237499952,23.38231277,
1.245833278,23.43201256,
1.254166722,23.46231079,
1.262500048,23.33446312,
