1,,
Time (min),Intensity (a.u.),
0.0008333333535,345.0934143,
0.002500000177,345.8790588,
0.004166666884,347.5271912,
0.005833333358,345.5751038,
0.007500000298,346.7000732,
0.009166667238,346.8453674,
0.01083333418,345.0706482,
0.01250000019,347.2969971,
0.01416666713,344.4696655,
0.01583333313,345.5075378,
0.01750000194,345.3492432,
0.01916666701,346.4055176,
0.02083333395,345.1227722,
0.02250000089,345.8956299,
0.02416666783,345.6958923,
0.02583333477,343.6403809,
0.02749999985,344.8139038,
0.02916666679,345.9708862,
0.03083333373,346.1698914,
0.03250000253,346.1510925,
0.03416666761,345.5174255,
0.03583333641,345.15625,
0.03750000149,345.6325073,
0.03916667029,346.1761475,
0.04083333537,344.8686523,
0.04250000045,346.2359009,
0.04416666925,346.0631714,
0.04583333433,345.972168,
0.04750000313,345.5359802,
0.04916666821,347.412323,
0.05083333328,344.8015747,
0.05250000209,346.7461853,
0.05416666716,343.3927612,
0.05583333597,344.330719,
0.05750000104,346.3960266,
0.05916666612,345.7923889,
0.06083333492,345.7924805,
0.0625,347.14328,
0.06416667253,345.9010315,
0.0658333376,345.0049744,
0.06750000268,345.859436,
0.06916666776,342.6234741,
0.07083333284,345.495636,
0.07249999791,345.4400024,
0.07416667044,346.2055054,
0.07583333552,345.895752,
0.0775000006,348.0455017,
0.07916666567,346.5706482,
0.08083333075,345.5823059,
0.08250000328,346.2117615,
0.08416666836,346.0657349,
0.08583333343,344.7785034,
0.08749999851,343.6160889,
0.08916666359,346.1868286,
0.09083333611,346.2936096,
0.09250000119,344.7706604,
0.09416666627,345.9804382,
0.09583333135,345.1625061,
0.09749999642,344.3573608,
0.09916666895,345.4117432,
0.100833334,343.9934998,
0.1024999991,347.506073,
0.1041666642,345.9542542,
0.1058333293,346.1510925,
0.1075000018,345.8365173,
0.1091666669,344.8519287,
0.1108333319,344.8027039,
0.112499997,346.9616394,
0.1141666621,346.0565491,
0.1158333346,345.3788147,
0.1174999997,346.4171753,
0.1191666648,344.784729,
0.1208333299,345.7893066,
0.1224999949,346.3410034,
0.1241666749,344.8416748,
0.1258333325,345.2974548,
0.1274999976,344.9418945,
0.1291666627,345.7986145,
0.1308333278,347.6012573,
0.1325000077,344.8586731,
0.1341666728,343.8065491,
0.1358333379,346.701355,
0.137500003,346.1465149,
0.1391666681,345.3823547,
0.1408333331,345.9724731,
0.1424999982,345.3103638,
0.1441666782,345.1777649,
0.1458333284,344.8127441,
0.1475000083,345.0553894,
0.1491666585,344.6200562,
0.1508333385,346.3326721,
0.1525000036,346.3154602,
0.1541666687,344.6112671,
0.1558333337,346.0643921,
0.1574999988,347.9745178,
0.1591666639,344.2331543,
0.1608333439,344.7632751,
0.162499994,345.2878418,
0.164166674,346.4725037,
0.1658333242,344.1015625,
0.1675000042,345.1645203,
0.1691666692,346.2427368,
0.1708333343,345.3963623,
0.1724999994,343.7494202,
0.1741666645,345.2384338,
0.1758333296,344.6317749,
0.1775000095,346.1373596,
0.1791666597,345.3073425,
0.1808333397,346.9065247,
0.1824999899,344.7289124,
0.1841666698,346.0774841,
0.1858333498,347.639679,
0.1875,347.1704407,
0.18916668,344.0528564,
0.1908333302,344.4429932,
0.1925000101,344.657074,
0.1941666752,345.7251282,
0.1958333403,346.1300049,
0.1975000054,344.2950745,
0.1991666704,343.9442749,
0.2008333355,343.7513123,
0.2025000155,345.3194885,
0.2041666657,344.4379272,
0.2058333457,345.8387451,
0.2074999958,346.9528809,
0.2091666758,343.5132446,
0.2108333409,344.1358643,
0.212500006,344.9057312,
0.214166671,344.350708,
0.2158333361,343.8677673,
0.2175000012,346.6990051,
0.2191666812,345.4744263,
0.2208333313,344.3887939,
0.2225000113,343.5758667,
0.2241666615,343.4208374,
0.2258333415,345.1360779,
0.2275000066,347.6886597,
0.2291666716,342.5354919,
0.2308333367,344.1611328,
0.2325000018,342.6590881,
0.2341666669,344.9036255,
0.2358333468,345.3396606,
0.237499997,345.6214905,
0.239166677,345.4987793,
0.2408333272,344.6496887,
0.2425000072,345.8545532,
0.2441666722,345.1844177,
0.2458333373,343.6209412,
0.2475000024,344.3013306,
0.2491666675,345.2437744,
0.2508333325,345.2588806,
0.2524999976,344.7683105,
0.2541666627,343.2958679,
0.2558333278,344.7819214,
0.2574999928,344.8649292,
0.2591666579,343.2964783,
0.2608333528,343.3502502,
0.2624999881,347.2068481,
0.264166683,345.6449585,
0.2658333182,345.756958,
0.2675000131,344.6428528,
0.2691666484,345.1608276,
0.2708333433,343.9386292,
0.2725000083,344.2103882,
0.2741666734,343.7954712,
0.2758333385,342.939209,
0.2775000036,346.3479004,
0.2791666687,343.5796204,
0.2808333337,344.8092957,
0.2824999988,343.463501,
0.2841666937,344.1375122,
0.285833329,342.5571289,
0.287499994,345.3348999,
0.2891666591,345.7681885,
0.290833354,344.828186,
0.2925000191,345.2208862,
0.2941666543,343.0471802,
0.2958333194,342.8692322,
0.2975000143,342.9235229,
0.2991666794,345.6870422,
0.3008333445,344.7532959,
0.3024999797,341.5580139,
0.3041666746,344.6947937,
0.3058333397,342.9950867,
0.3075000048,345.5231934,
0.3091666996,345.5968933,
0.3108333349,344.2702332,
0.3125,345.5789795,
0.3141666651,345.2232666,
0.31583336,343.290863,
0.317500025,345.353302,
0.3191666603,346.3596497,
0.3208333254,344.6960754,
0.3225000203,345.5629272,
0.3241666853,342.6765137,
0.3258333504,346.4952393,
0.3274999857,342.9183655,
0.3291666806,343.0769653,
0.3308333457,343.1859436,
0.3325000107,344.4822083,
0.3341666758,345.0668945,
0.3358333409,344.7348328,
0.337500006,344.5595093,
0.339166671,341.939209,
0.3408333361,343.6959534,
0.342500031,342.2955627,
0.3441666663,343.1859436,
0.3458333313,343.1495056,
0.3474999964,344.0033875,
0.3491666913,342.329834,
0.3508333564,344.6586914,
0.3524999917,344.4400635,
0.3541666567,343.4614258,
0.3558333516,343.3283997,
0.3575000167,343.4204102,
0.3591666818,341.818634,
0.360833317,344.4231262,
0.3625000119,342.304657,
0.364166677,345.4550781,
0.3658333421,345.3213806,
0.3675000072,344.6127319,
0.3691666722,344.2049255,
0.3708333373,344.9472656,
0.3725000024,341.2840576,
0.3741666675,343.9176941,
0.3758333623,344.4514465,
0.3774999976,343.7896729,
0.3791666627,346.1158142,
0.3808333278,344.5070496,
0.3825000226,343.6783142,
0.3841666877,344.4473877,
0.385833323,344.5310364,
0.3874999881,345.2955933,
0.389166683,343.3961487,
0.390833348,343.5545044,
0.3925000131,343.650177,
0.3941666484,345.6364441,
0.3958333433,344.0654907,
0.3975000083,345.4985962,
0.3991666734,343.4386902,
0.4008333385,343.4950562,
0.4025000036,344.9174194,
0.4041666687,343.365387,
0.4058333337,343.7642212,
0.4074999988,343.484436,
0.4091666937,342.9208984,
0.410833329,344.6260986,
0.412499994,345.0330505,
0.4141666591,344.3031006,
0.415833354,344.5279236,
0.4175000191,343.7896423,
0.4191666543,343.1125488,
0.4208333194,344.7822266,
0.4225000143,344.9648438,
0.4241666794,342.9672546,
0.4258333445,342.7791138,
0.4274999797,343.3200378,
0.4291666746,343.0249023,
0.4308333397,343.2710571,
0.4325000048,344.9897461,
0.4341666996,344.4628296,
0.4358333349,343.0570984,
0.4375,345.7540588,
0.4391666651,344.0129089,
0.44083336,341.9886169,
0.442500025,342.6920166,
0.4441666603,342.974884,
0.4458333254,345.0033264,
0.4475000203,344.0496216,
0.4491666853,342.9802856,
0.4508333504,342.8019714,
0.4524999857,342.4390869,
0.4541666806,345.0765686,
0.4558333457,344.5384216,
0.4575000107,341.7619019,
0.4591666758,343.4003601,
0.4608333409,343.3409119,
0.462500006,342.4651794,
0.464166671,343.3807068,
0.4658333361,343.3284912,
0.467500031,344.0489502,
0.4691666663,345.3876648,
0.4708333313,344.3545837,
0.4724999964,343.4506226,
0.4741666913,344.0005493,
0.4758333564,341.3218384,
0.4774999917,343.3980713,
0.4791666567,344.8124695,
0.4808333516,343.2284851,
0.4825000167,344.625946,
0.4841666818,343.1213684,
0.485833317,341.8745728,
0.4875000119,342.3833313,
0.489166677,344.1999512,
0.4908333421,344.0788879,
0.4925000072,344.5326538,
0.4941666722,344.3044739,
0.4958333373,342.7380371,
0.4975000024,343.7542725,
0.4991666675,341.8822021,
0.5008333325,342.5074158,
0.5024999976,344.0405579,
0.5041666627,342.5914917,
0.5058333278,342.1661377,
0.5074999928,341.8027344,
0.5091666579,343.836731,
0.510833323,343.8917847,
0.5124999881,344.0671692,
0.5141666532,341.7434998,
0.5158333182,339.8250427,
0.5175000429,341.6556702,
0.5191666484,342.2672424,
0.5208333135,342.7289429,
0.5224999785,342.1790771,
0.5241667032,344.4673157,
0.5258333683,344.9452515,
0.5274999738,342.9992676,
0.5291666389,343.1700745,
0.5308333635,342.6381836,
0.5325000286,343.2001648,
0.5341666341,344.6459656,
0.5358333588,341.6279602,
0.5375000238,342.7023621,
0.5391666889,343.1734009,
0.540833354,340.4684448,
0.5424999595,341.3718567,
0.5441666842,341.3389893,
0.5458333492,343.1269531,
0.5475000143,342.6339111,
0.5491666794,344.1050415,
0.5508333445,344.6454163,
0.5525000095,342.6460571,
0.5541666746,344.1001587,
0.5558333993,343.528656,
0.5575000048,344.1908264,
0.5591666698,344.4538879,
0.5608333349,343.4571228,
0.5625,344.7740173,
0.5641667247,343.6187439,
0.5658333302,343.4678955,
0.5674999952,343.4526367,
0.5691667199,343.5597839,
0.5708333254,343.3863831,
0.5725000501,340.6939697,
0.5741666555,343.0184631,
0.5758333206,342.7003784,
0.5775000453,342.6960754,
0.5791666508,342.4258118,
0.5808333755,343.1362305,
0.5825000405,345.3859558,
0.584166646,343.3067017,
0.5858333707,342.6286926,
0.5874999762,346.6010437,
0.5891667008,341.8014832,
0.5908333659,344.7940979,
0.5924999714,346.2728577,
0.5941666961,344.2818604,
0.5958333611,341.4008789,
0.5975000262,344.3699036,
0.5991666913,343.3478699,
0.6008332968,343.3909302,
0.6025000215,343.37323,
0.6041666865,342.2117615,
0.6058333516,343.4952087,
0.6075000167,342.9719543,
0.6091666818,343.8822327,
0.6108333468,343.1107178,
0.6125000119,340.875,
0.614166677,342.8276978,
0.6158333421,344.3572388,
0.6175000072,340.7237244,
0.6191666722,343.7686157,
0.6208333373,345.2268982,
0.622500062,343.070282,
0.6241666675,345.7677307,
0.6258333325,342.4778442,
0.6274999976,343.2440796,
0.6291666627,341.4317322,
0.6308333874,342.741333,
0.6324999928,340.8378296,
0.6341666579,344.3841858,
0.6358333826,343.5063782,
0.6374999881,344.5469971,
0.6391667128,342.2269592,
0.6408333182,342.6767273,
0.6424999833,341.6162109,
0.644166708,342.8904419,
0.6458333135,344.2774658,
0.6475000381,344.6505737,
0.6491667032,344.4201965,
0.6508333087,344.2409668,
0.6525000334,343.5228577,
0.6541666389,342.4492493,
0.6558333635,343.4743347,
