1,,
Time (min),Intensity (a.u.),
0.0008333333535,262.0431519,
0.002500000177,263.3634644,
0.004166666884,262.1004639,
0.005833333358,263.4516296,
0.007500000298,263.8912354,
0.009166667238,262.5650024,
0.01083333418,262.9170837,
0.01250000019,264.7144165,
0.01416666713,262.449585,
0.01583333313,263.0988464,
0.01750000194,263.7006836,
0.01916666701,263.7903748,
0.02083333395,264.48172,
0.02250000089,263.5652771,
0.02416666783,264.5888977,
0.02583333477,264.4646301,
0.02749999985,265.240387,
0.02916666679,263.2280884,
0.03083333373,263.5594177,
0.03250000253,265.7782593,
0.03416666761,263.7954102,
0.03583333641,266.012085,
0.03750000149,263.8252258,
0.03916667029,265.5863342,
0.04083333537,265.7707825,
0.04250000045,263.8832092,
0.04416666925,264.3219604,
0.04583333433,266.4598999,
0.04750000313,264.2411804,
0.04916666821,264.8552551,
0.05083333328,265.0959473,
0.05250000209,263.8418579,
0.05416666716,265.5594788,
0.05583333597,265.0800476,
0.05750000104,263.8019104,
0.05916666612,263.8322144,
0.06083333492,263.586853,
0.0625,262.1734924,
0.06416667253,263.9627991,
0.0658333376,263.6356506,
0.06750000268,266.1231384,
0.06916666776,264.3881226,
0.07083333284,263.3908081,
0.07249999791,266.41745,
0.07416667044,265.5572815,
0.07583333552,263.1536865,
0.0775000006,266.0856018,
0.07916666567,265.1080017,
0.08083333075,265.2076416,
0.08250000328,264.8289185,
0.08416666836,263.5915833,
0.08583333343,262.732666,
0.08749999851,263.1166382,
0.08916666359,262.4468689,
0.09083333611,263.4859009,
0.09250000119,264.7769165,
0.09416666627,265.363678,
0.09583333135,264.2624817,
0.09749999642,263.5032959,
0.09916666895,263.4920349,
0.100833334,264.9681702,
0.1024999991,264.2999573,
0.1041666642,266.7731018,
0.1058333293,264.6478271,
0.1075000018,264.8141785,
0.1091666669,265.1640625,
0.1108333319,265.2436523,
0.112499997,263.6807251,
0.1141666621,263.446991,
0.1158333346,266.4958801,
0.1174999997,264.8226318,
0.1191666648,261.8626099,
0.1208333299,263.757019,
0.1224999949,264.4783936,
0.1241666749,265.1513062,
0.1258333325,265.1172485,
0.1274999976,264.3102417,
0.1291666627,264.9240723,
0.1308333278,264.1805725,
0.1325000077,266.1403809,
0.1341666728,263.7341309,
0.1358333379,263.0330505,
0.137500003,264.7838135,
0.1391666681,264.7760925,
0.1408333331,262.4239197,
0.1424999982,262.5066223,
0.1441666782,264.4461975,
0.1458333284,263.5638733,
0.1475000083,263.4655457,
0.1491666585,264.0054626,
0.1508333385,265.3648071,
0.1525000036,264.1356506,
0.1541666687,264.4332581,
0.1558333337,263.4706726,
0.1574999988,264.0036316,
0.1591666639,264.3762512,
0.1608333439,262.2408142,
0.162499994,263.4870911,
0.164166674,265.0475159,
0.1658333242,264.3259277,
0.1675000042,265.0933838,
0.1691666692,265.7964172,
0.1708333343,265.1374207,
0.1724999994,264.0740051,
0.1741666645,266.3364258,
0.1758333296,265.2208557,
0.1775000095,266.784729,
0.1791666597,264.6553955,
0.1808333397,268.407074,
0.1824999899,265.4446411,
0.1841666698,264.5849304,
