1,,
Time (min),Intensity (a.u.),
0.0008333333535,127.4890137,
0.002500000177,125.9334946,
0.004166666884,126.8944168,
0.005833333358,127.7425766,
0.007500000298,126.9010925,
0.009166667238,126.1897125,
0.01083333418,127.3976898,
0.01250000019,127.8006897,
0.01416666713,126.9952393,
0.01583333313,126.5595703,
0.01750000194,127.3066711,
0.01916666701,127.0310593,
0.02083333395,127.4492416,
0.02250000089,127.6313629,
0.02416666783,127.5524368,
0.02583333477,126.6122284,
0.02749999985,126.9212189,
0.02916666679,127.3732605,
0.03083333373,128.0850677,
0.03250000253,128.2631836,
0.03416666761,127.7051544,
0.03583333641,127.4475021,
0.03750000149,128.0741882,
0.03916667029,127.4270706,
0.04083333537,127.2903366,
0.04250000045,126.7829514,
0.04416666925,128.0536194,
0.04583333433,128.1900787,
0.04750000313,127.4783478,
0.04916666821,128.1540985,
0.05083333328,126.9679184,
0.05250000209,127.1978455,
0.05416666716,126.7182693,
0.05583333597,127.1335297,
0.05750000104,127.3392258,
0.05916666612,127.5894775,
0.06083333492,127.7358093,
0.0625,128.0856781,
0.06416667253,127.7109222,
0.0658333376,127.469223,
0.06750000268,126.6755753,
0.06916666776,126.6256714,
0.07083333284,127.211731,
0.07249999791,127.221405,
0.07416667044,127.3619537,
0.07583333552,127.8461685,
0.0775000006,128.1244812,
0.07916666567,127.4953003,
0.08083333075,127.8697281,
0.08250000328,127.4384689,
0.08416666836,128.2025299,
0.08583333343,127.5513611,
0.08749999851,126.7949371,
0.08916666359,127.9837341,
0.09083333611,126.4873123,
0.09250000119,127.2777634,
0.09416666627,127.9789047,
0.09583333135,127.8623505,
0.09749999642,126.5502014,
0.09916666895,127.0260773,
0.100833334,127.3115158,
0.1024999991,127.2887573,
0.1041666642,127.3112183,
0.1058333293,127.5911179,
0.1075000018,126.8442001,
0.1091666669,126.9740753,
0.1108333319,128.7802887,
0.112499997,127.2777176,
0.1141666621,126.9098053,
0.1158333346,126.967308,
0.1174999997,127.3679123,
0.1191666648,127.2604446,
0.1208333299,126.8774567,
0.1224999949,126.7179871,
0.1241666749,127.4855118,
0.1258333325,127.1059494,
0.1274999976,127.2124634,
0.1291666627,127.2382431,
0.1308333278,127.7665024,
0.1325000077,127.8895874,
0.1341666728,126.7778244,
0.1358333379,126.3161163,
0.137500003,126.2596817,
0.1391666681,127.222908,
0.1408333331,126.8248978,
0.1424999982,126.8918228,
0.1441666782,127.0633774,
0.1458333284,127.4600296,
0.1475000083,128.6504974,
0.1491666585,127.6085815,
0.1508333385,127.2881012,
0.1525000036,127.3756943,
0.1541666687,126.6754303,
0.1558333337,127.1791458,
0.1574999988,127.5828934,
0.1591666639,127.7970505,
0.1608333439,127.1689224,
0.162499994,126.5747681,
0.164166674,128.4056396,
0.1658333242,127.2005463,
0.1675000042,126.8743744,
0.1691666692,127.5281296,
0.1708333343,127.6739502,
0.1724999994,127.3447266,
0.1741666645,127.1328354,
0.1758333296,127.2633209,
0.1775000095,125.845192,
0.1791666597,126.5068665,
0.1808333397,127.0910339,
0.1824999899,128.5309296,
0.1841666698,126.2285233,
0.1858333498,126.9034576,
0.1875,126.600502,
0.18916668,127.7703018,
