1,,
Time (min),Intensity (a.u.),
0.0008333333535,50.2232399,
0.002500000177,49.94666672,
0.004166666884,49.82233047,
0.005833333358,49.40284729,
0.007500000298,50.47826004,
0.009166667238,49.44046783,
0.01083333418,50.47281265,
0.01250000019,50.07167435,
0.01416666713,50.29532623,
0.01583333313,49.46542358,
0.01750000194,50.18864059,
0.01916666701,49.9909935,
0.02083333395,50.35763168,
0.02250000089,49.62005615,
0.02416666783,49.93181992,
0.02583333477,49.28827667,
0.02749999985,49.01332474,
0.02916666679,50.17449951,
0.03083333373,50.20769119,
0.03250000253,49.67748642,
0.03416666761,50.08188629,
0.03583333641,49.75545883,
0.03750000149,49.20106506,
0.03916667029,49.46760178,
0.04083333537,49.71981049,
0.04250000045,50.41828918,
0.04416666925,50.15385818,
0.04583333433,49.7960701,
0.04750000313,49.66666031,
0.04916666821,50.77589417,
0.05083333328,49.67691803,
0.05250000209,49.82446671,
0.05416666716,49.83020401,
0.05583333597,50.12653351,
0.05750000104,49.45230865,
0.05916666612,49.88428879,
0.06083333492,50.48300934,
0.0625,50.28368759,
0.06416667253,49.60437775,
0.0658333376,50.50426483,
0.06750000268,50.05431366,
0.06916666776,50.35747147,
0.07083333284,50.08100128,
0.07249999791,50.04946136,
0.07416667044,49.69398499,
0.07583333552,50.54432678,
0.0775000006,49.4489975,
0.07916666567,49.48466873,
0.08083333075,49.83342743,
0.08250000328,49.29564667,
0.08416666836,49.77194977,
0.08583333343,49.65174484,
0.08749999851,49.42965698,
0.08916666359,49.77225494,
0.09083333611,49.54473114,
0.09250000119,50.20228958,
0.09416666627,49.12203598,
0.09583333135,50.30360794,
0.09749999642,50.23612213,
0.09916666895,50.5982132,
0.100833334,49.93051529,
0.1024999991,49.95368958,
0.1041666642,49.90994263,
0.1058333293,50.19044876,
0.1075000018,49.51358032,
0.1091666669,49.67969513,
0.1108333319,50.03834152,
0.112499997,49.8678627,
0.1141666621,49.60325623,
0.1158333346,49.56431961,
0.1174999997,49.43968964,
0.1191666648,49.45576477,
0.1208333299,49.99496078,
0.1224999949,49.96905518,
0.1241666749,49.80168533,
0.1258333325,49.52472305,
0.1274999976,49.49373627,
0.1291666627,49.370327,
0.1308333278,50.4526062,
0.1325000077,49.76330185,
0.1341666728,49.98983002,
0.1358333379,50.19543457,
0.137500003,49.90642548,
0.1391666681,49.74818802,
0.1408333331,50.31241989,
0.1424999982,49.94194031,
0.1441666782,49.39572525,
0.1458333284,50.06929016,
0.1475000083,48.70854568,
0.1491666585,50.76990128,
0.1508333385,50.03520584,
0.1525000036,49.757164,
0.1541666687,50.0381813,
0.1558333337,49.68711472,
0.1574999988,49.73124695,
0.1591666639,48.99359894,
0.1608333439,49.73620605,
0.162499994,49.62785339,
0.164166674,49.75749969,
0.1658333242,49.98735809,
0.1675000042,49.84057999,
0.1691666692,50.33759308,
0.1708333343,49.32094193,
0.1724999994,49.75266647,
0.1741666645,50.45713043,
0.1758333296,49.68544388,
0.1775000095,49.8414917,
0.1791666597,49.51257324,
0.1808333397,50.11282349,
0.1824999899,49.92671204,
0.1841666698,49.64742661,
0.1858333498,49.70280838,
0.1875,49.97518539,
0.18916668,49.63351059,
0.1908333302,49.89721298,
0.1925000101,49.34486008,
0.1941666752,49.818573,
0.1958333403,50.12335968,
0.1975000054,50.0691452,
0.1991666704,49.55241013,
0.2008333355,49.78398514,
0.2025000155,49.94155884,
0.2041666657,50.30264282,
0.2058333457,49.96881104,
0.2074999958,49.68332672,
0.2091666758,49.63943481,
0.2108333409,49.61054993,
0.212500006,49.64564514,
0.214166671,49.61194611,
