1,,
Time (min),Intensity (a.u.),
0.0008333333535,206.0996399,
0.002500000177,205.9478455,
0.004166666884,205.5072937,
0.005833333358,205.8113708,
0.007500000298,204.906601,
0.009166667238,205.7027435,
0.01083333418,205.9234161,
0.01250000019,205.2214661,
0.01416666713,205.9970551,
0.01583333313,205.2042084,
0.01750000194,207.1253662,
0.01916666701,205.1938629,
0.02083333395,206.5550537,
0.02250000089,207.0184784,
0.02416666783,204.7146606,
0.02583333477,205.8216553,
0.02749999985,206.350235,
0.02916666679,205.9435577,
0.03083333373,204.9042206,
0.03250000253,206.1227264,
0.03416666761,204.4049377,
0.03583333641,204.8983002,
0.03750000149,205.8743591,
0.03916667029,204.4127808,
0.04083333537,205.7912292,
0.04250000045,207.0730591,
0.04416666925,204.9522705,
0.04583333433,207.7171021,
0.04750000313,206.5244293,
0.04916666821,206.3878326,
0.05083333328,206.3789368,
0.05250000209,206.1194916,
0.05416666716,205.793045,
0.05583333597,206.2526398,
0.05750000104,206.1319733,
0.05916666612,205.0811768,
0.06083333492,206.0088348,
0.0625,205.173584,
0.06416667253,205.1996613,
0.0658333376,205.4669495,
0.06750000268,206.1095581,
0.06916666776,205.4117126,
0.07083333284,206.4346771,
0.07249999791,205.7703857,
0.07416667044,205.9173737,
0.07583333552,206.2966309,
0.0775000006,206.4034119,
0.07916666567,206.7013702,
0.08083333075,205.4796143,
0.08250000328,205.4629364,
0.08416666836,205.8409576,
0.08583333343,205.7679749,
0.08749999851,204.573822,
0.08916666359,205.8160248,
0.09083333611,205.851059,
0.09250000119,204.9993134,
0.09416666627,205.4489594,
0.09583333135,205.0270386,
0.09749999642,206.6543427,
0.09916666895,205.9805298,
0.100833334,204.6010132,
0.1024999991,205.1991272,
0.1041666642,205.281311,
0.1058333293,204.6758728,
0.1075000018,206.597702,
0.1091666669,206.3942413,
0.1108333319,206.0589142,
0.112499997,206.3351593,
0.1141666621,205.6363525,
0.1158333346,205.6212006,
0.1174999997,203.7391357,
0.1191666648,205.0288086,
0.1208333299,206.2688599,
0.1224999949,205.8849792,
0.1241666749,205.2901764,
0.1258333325,205.8229828,
0.1274999976,206.1078186,
0.1291666627,205.6937866,
0.1308333278,205.5059967,
0.1325000077,205.3166504,
0.1341666728,204.2183685,
0.1358333379,206.4687042,
0.137500003,206.5052795,
0.1391666681,206.5979614,
0.1408333331,205.4346924,
0.1424999982,205.0886536,
0.1441666782,205.5761871,
0.1458333284,205.5444336,
0.1475000083,205.9077606,
0.1491666585,204.5997009,
0.1508333385,206.2601013,
0.1525000036,205.0422821,
0.1541666687,204.8025055,
0.1558333337,205.2814789,
0.1574999988,204.6032104,
0.1591666639,205.4405365,
0.1608333439,205.5387421,
0.162499994,204.8136902,
0.164166674,205.4851074,
0.1658333242,205.5130615,
0.1675000042,204.8683472,
0.1691666692,205.0134277,
0.1708333343,206.4570313,
0.1724999994,205.1568298,
0.1741666645,206.2923279,
0.1758333296,205.355072,
0.1775000095,205.5520935,
0.1791666597,205.5633698,
0.1808333397,206.7088013,
