1,,
Time (min),Intensity (a.u.),
0.0008333333535,225.3709412,
0.002500000177,225.848587,
0.004166666884,226.085434,
0.005833333358,225.2995148,
0.007500000298,225.4139557,
0.009166667238,223.7603607,
0.01083333418,224.7013702,
0.01250000019,224.4187164,
0.01416666713,225.8695068,
0.01583333313,225.427948,
0.01750000194,225.5522614,
0.01916666701,227.0212097,
0.02083333395,228.4649048,
0.02250000089,226.2245483,
0.02416666783,224.6428375,
0.02583333477,225.2587738,
0.02749999985,225.4241943,
0.02916666679,225.2470398,
0.03083333373,224.6202545,
0.03250000253,226.9266357,
0.03416666761,226.6414795,
0.03583333641,225.1435547,
0.03750000149,225.9702606,
0.03916667029,225.4710693,
0.04083333537,223.681778,
0.04250000045,228.1567688,
0.04416666925,226.293457,
0.04583333433,226.8209839,
0.04750000313,227.2574615,
0.04916666821,224.3753967,
0.05083333328,224.8434143,
0.05250000209,225.5355377,
0.05416666716,225.3988953,
0.05583333597,225.2936554,
0.05750000104,226.4572601,
0.05916666612,223.9849091,
0.06083333492,225.4104004,
0.0625,225.4991302,
0.06416667253,225.2305298,
0.0658333376,225.4071503,
0.06750000268,225.5843201,
0.06916666776,226.3060608,
0.07083333284,226.8825073,
0.07249999791,225.759079,
0.07416667044,224.5237274,
0.07583333552,224.7989655,
0.0775000006,224.2792358,
0.07916666567,225.4996338,
0.08083333075,227.1617279,
0.08250000328,223.1788025,
0.08416666836,226.2197418,
0.08583333343,224.5302887,
0.08749999851,226.2380219,
0.08916666359,225.1549225,
0.09083333611,225.375473,
0.09250000119,225.5118713,
0.09416666627,225.0123901,
0.09583333135,224.8132782,
0.09749999642,224.8066559,
0.09916666895,226.1767273,
0.100833334,224.5507355,
0.1024999991,225.5800781,
0.1041666642,225.282196,
0.1058333293,226.3501129,
0.1075000018,224.8204803,
0.1091666669,223.791275,
0.1108333319,225.8235931,
0.112499997,225.3933868,
0.1141666621,226.2796631,
0.1158333346,224.1496735,
0.1174999997,225.242691,
0.1191666648,227.5733337,
0.1208333299,226.3227997,
0.1224999949,224.4134064,
0.1241666749,226.6656342,
0.1258333325,225.8035431,
0.1274999976,226.417038,
0.1291666627,226.2831879,
0.1308333278,225.5476227,
0.1325000077,223.8137054,
0.1341666728,227.4866638,
0.1358333379,224.8483887,
0.137500003,225.4769745,
0.1391666681,225.8656616,
0.1408333331,224.8768921,
0.1424999982,224.8798676,
0.1441666782,223.693573,
0.1458333284,225.3305206,
0.1475000083,225.1676178,
0.1491666585,226.4417572,
0.1508333385,225.7001953,
0.1525000036,225.0699158,
0.1541666687,224.5361023,
0.1558333337,224.7747192,
0.1574999988,225.2793121,
0.1591666639,223.4592743,
0.1608333439,226.2440796,
0.162499994,225.6976318,
0.164166674,225.8314667,
0.1658333242,226.0240784,
0.1675000042,224.6761475,
0.1691666692,224.988678,
0.1708333343,226.4674683,
0.1724999994,225.8422241,
0.1741666645,225.4183044,
0.1758333296,226.0130005,
0.1775000095,225.229126,
0.1791666597,226.6365204,
0.1808333397,225.6899109,
0.1824999899,226.0449219,
0.1841666698,225.4538422,
0.1858333498,224.9687805,
0.1875,226.358551,
0.18916668,225.8416138,
0.1908333302,226.2850342,
0.1925000101,226.2902527,
0.1941666752,225.3852692,
0.1958333403,226.0865021,
0.1975000054,224.0502625,
0.1991666704,225.7932892,
0.2008333355,224.9339905,
0.2025000155,225.5595856,
0.2041666657,224.5977325,
0.2058333457,225.7729187,
0.2074999958,225.6512299,
0.2091666758,226.5116882,
0.2108333409,225.9904633,
0.212500006,223.7854156,
0.214166671,224.0839539,
0.2158333361,225.8174744,
0.2175000012,226.3566895,
0.2191666812,226.7479858,
0.2208333313,226.8696747,
0.2225000113,224.7514801,
0.2241666615,225.0480957,
0.2258333415,226.0362244,
0.2275000066,223.3956757,
0.2291666716,225.4209595,
0.2308333367,225.0674438,
0.2325000018,224.8439636,
0.2341666669,227.037674,
0.2358333468,225.5136719,
0.237499997,224.2848663,
0.239166677,225.2281189,
0.2408333272,225.1761627,
0.2425000072,224.8416443,
0.2441666722,224.8144989,
0.2458333373,223.6588898,
0.2475000024,225.1129456,
0.2491666675,224.5925293,
0.2508333325,225.6064911,
0.2524999976,223.6164246,
0.2541666627,225.3024139,
0.2558333278,225.5891418,
0.2574999928,225.2606506,
0.2591666579,226.3035889,
0.2608333528,225.750473,
0.2624999881,225.6672211,
0.264166683,226.3001251,
0.2658333182,223.6360779,
0.2675000131,226.0682068,
0.2691666484,225.4545441,
0.2708333433,224.0809937,
0.2725000083,225.773056,
0.2741666734,224.8449249,
0.2758333385,225.0735779,
0.2775000036,224.3766632,
0.2791666687,225.0788879,
0.2808333337,225.6533813,
0.2824999988,225.2717133,
0.2841666937,224.7009888,
0.285833329,224.7671661,
0.287499994,224.9360199,
0.2891666591,224.8600769,
0.290833354,225.1744537,
0.2925000191,224.3078613,
0.2941666543,224.9090729,
0.2958333194,226.2772522,
0.2975000143,226.328125,
0.2991666794,225.7420197,
0.3008333445,225.3217163,
0.3024999797,225.5548248,
0.3041666746,225.5527649,
0.3058333397,225.2397614,
0.3075000048,225.5531006,
0.3091666996,224.6437836,
0.3108333349,225.3697815,
0.3125,223.947876,
0.3141666651,225.9833984,
0.31583336,224.8621216,
0.317500025,225.0973969,
0.3191666603,224.244812,
0.3208333254,225.0063782,
0.3225000203,226.6030731,
0.3241666853,224.1413574,
0.3258333504,227.9691162,
0.3274999857,226.0543365,
0.3291666806,225.9151154,
0.3308333457,225.4112091,
0.3325000107,224.6030273,
0.3341666758,224.9502411,
0.3358333409,225.4572449,
0.337500006,225.8891602,
0.339166671,225.535965,
0.3408333361,225.4430084,
0.342500031,225.0176697,
0.3441666663,226.5256805,
0.3458333313,226.352478,
0.3474999964,226.237381,
0.3491666913,226.491684,
0.3508333564,225.8743134,
0.3524999917,224.7470551,
0.3541666567,226.8406525,
0.3558333516,224.1244049,
0.3575000167,224.2280884,
0.3591666818,226.3986969,
0.360833317,226.0134735,
0.3625000119,225.3956451,
0.364166677,224.412384,
0.3658333421,226.093277,
0.3675000072,227.4253693,
0.3691666722,225.6444397,
0.3708333373,224.2670746,
0.3725000024,225.4569855,
0.3741666675,225.7207336,
0.3758333623,226.3966217,
