1,,
Time (min),Intensity (a.u.),
0.0008333333535,27.2712822,
0.002500000177,27.0538826,
0.004166666884,27.20582962,
0.005833333358,27.25555992,
0.007500000298,27.25048256,
0.009166667238,26.92854691,
0.01083333418,26.93055916,
0.01250000019,27.21916962,
0.01416666713,27.04440498,
0.01583333313,27.07339859,
0.01750000194,27.41474724,
0.01916666701,27.16789436,
0.02083333395,27.17072105,
0.02250000089,26.97866821,
0.02416666783,27.16529465,
0.02583333477,27.63352585,
0.02749999985,26.96727753,
0.02916666679,27.0747776,
0.03083333373,27.09113121,
0.03250000253,27.29089737,
0.03416666761,27.00226021,
0.03583333641,27.1902771,
0.03750000149,27.16475677,
0.03916667029,27.22733307,
0.04083333537,27.09991455,
0.04250000045,26.93031311,
0.04416666925,26.88461113,
0.04583333433,27.33193207,
0.04750000313,27.27670097,
0.04916666821,27.31332016,
0.05083333328,26.97393417,
0.05250000209,27.14847374,
0.05416666716,27.58940506,
0.05583333597,27.03108406,
0.05750000104,26.90327072,
0.05916666612,27.28227806,
0.06083333492,27.52178383,
0.0625,27.34941101,
0.06416667253,26.93189049,
0.0658333376,27.3192234,
0.06750000268,27.71311378,
0.06916666776,26.88595772,
0.07083333284,27.11315918,
0.07249999791,26.99617004,
0.07416667044,26.82190895,
0.07583333552,27.18246651,
0.0775000006,27.31341362,
0.07916666567,27.46307945,
0.08083333075,27.23041725,
0.08250000328,27.01276588,
0.08416666836,26.92890167,
0.08583333343,27.33983612,
0.08749999851,27.21664619,
0.08916666359,26.43769073,
0.09083333611,27.19820023,
0.09250000119,26.84835243,
0.09416666627,26.90139198,
0.09583333135,27.49696922,
0.09749999642,27.45736694,
0.09916666895,27.5159626,
0.100833334,27.16508865,
0.1024999991,27.79413986,
0.1041666642,27.07520866,
0.1058333293,27.46621513,
0.1075000018,26.56862068,
0.1091666669,27.27659416,
0.1108333319,27.17857552,
0.112499997,27.22358513,
0.1141666621,27.39344215,
0.1158333346,27.6774826,
0.1174999997,27.67927361,
0.1191666648,26.46683502,
0.1208333299,27.04127312,
0.1224999949,27.27140427,
0.1241666749,27.40781593,
0.1258333325,27.16505051,
0.1274999976,27.70604897,
0.1291666627,27.4294529,
0.1308333278,26.63045311,
0.1325000077,27.16261864,
0.1341666728,27.00024033,
0.1358333379,26.96572685,
0.137500003,27.02982521,
0.1391666681,27.1838398,
0.1408333331,27.29778481,
0.1424999982,27.37018013,
0.1441666782,27.10485458,
0.1458333284,27.80890465,
0.1475000083,27.23618317,
0.1491666585,27.21243286,
0.1508333385,27.1989212,
0.1525000036,27.36029434,
0.1541666687,27.16113663,
0.1558333337,27.45025063,
0.1574999988,27.13892555,
0.1591666639,27.26412392,
0.1608333439,27.35267067,
0.162499994,26.86395073,
0.164166674,27.06192589,
0.1658333242,27.49325562,
0.1675000042,27.72117615,
0.1691666692,27.24737358,
0.1708333343,27.67035294,
0.1724999994,27.36237907,
0.1741666645,27.7210865,
0.1758333296,26.91855049,
0.1775000095,27.36709595,
0.1791666597,27.07229805,
0.1808333397,27.36832047,
0.1824999899,27.00899887,
0.1841666698,27.55692101,
0.1858333498,27.37734413,
0.1875,27.70270157,
0.18916668,27.36586571,
0.1908333302,26.98253441,
0.1925000101,26.93561745,
0.1941666752,27.47202873,
0.1958333403,26.80401039,
0.1975000054,26.94286728,
0.1991666704,27.41395378,
0.2008333355,27.16913986,
0.2025000155,27.17948341,
0.2041666657,27.02652931,
0.2058333457,27.06462288,
0.2074999958,27.03654861,
0.2091666758,27.63627434,
0.2108333409,27.58055115,
0.212500006,27.16184235,
0.214166671,27.38301277,
0.2158333361,27.33756638,
0.2175000012,27.40536118,
0.2191666812,27.33625412,
0.2208333313,27.19307327,
0.2225000113,27.45240784,
0.2241666615,27.29175377,
0.2258333415,27.50935173,
0.2275000066,27.41528702,
0.2291666716,26.86312866,
0.2308333367,27.49147034,
0.2325000018,27.56994438,
0.2341666669,27.17992973,
0.2358333468,27.39939117,
0.237499997,27.24018288,
0.239166677,26.95463753,
0.2408333272,27.24876404,
0.2425000072,27.471632,
0.2441666722,27.17408371,
0.2458333373,27.5843811,
0.2475000024,27.20883179,
0.2491666675,27.14377213,
0.2508333325,27.30983925,
0.2524999976,27.20848274,
0.2541666627,26.85464859,
0.2558333278,27.80755043,
0.2574999928,26.89103889,
0.2591666579,27.05318069,
0.2608333528,26.99042892,
0.2624999881,27.36023712,
0.264166683,27.52243042,
0.2658333182,27.16104889,
0.2675000131,27.10079002,
0.2691666484,27.55853462,
0.2708333433,27.00682831,
0.2725000083,27.03914642,
0.2741666734,27.13223267,
0.2758333385,27.51785278,
0.2775000036,27.54427528,
0.2791666687,27.37883186,
0.2808333337,27.44092751,
0.2824999988,27.13646317,
0.2841666937,27.07445908,
0.285833329,27.28408623,
0.287499994,27.42931938,
0.2891666591,27.35494423,
0.290833354,27.01457405,
0.2925000191,26.81826591,
0.2941666543,26.97449875,
0.2958333194,27.37561607,
0.2975000143,27.74998283,
0.2991666794,26.97344589,
0.3008333445,27.49360085,
0.3024999797,27.05204773,
0.3041666746,27.46129608,
0.3058333397,27.18572617,
0.3075000048,27.99717522,
0.3091666996,27.05979156,
0.3108333349,27.43343163,
0.3125,26.95856285,
0.3141666651,27.56814003,
0.31583336,27.27373886,
0.317500025,27.23565865,
0.3191666603,26.73045349,
0.3208333254,27.35383224,
0.3225000203,26.96072578,
0.3241666853,27.14818954,
0.3258333504,27.26698494,
0.3274999857,26.8453083,
0.3291666806,26.9482708,
0.3308333457,27.12649155,
0.3325000107,27.17285156,
0.3341666758,26.83341408,
0.3358333409,26.99683189,
0.337500006,26.93193436,
0.339166671,26.76250839,
0.3408333361,27.46679688,
0.342500031,27.47349358,
0.3441666663,27.49900246,
0.3458333313,26.97205734,
0.3474999964,27.37446976,
0.3491666913,27.55237007,
0.3508333564,27.24888039,
0.3524999917,27.20257378,
0.3541666567,27.13579178,
0.3558333516,27.80916786,
0.3575000167,27.44732666,
0.3591666818,27.1451149,
0.360833317,27.68827057,
0.3625000119,27.14968681,
0.364166677,27.08223152,
0.3658333421,26.98270416,
0.3675000072,27.16897774,
0.3691666722,27.26189041,
0.3708333373,27.62736511,
0.3725000024,27.56464195,
0.3741666675,27.37701416,
0.3758333623,27.51417732,
0.3774999976,26.9983902,
0.3791666627,27.10559464,
0.3808333278,27.56828499,
0.3825000226,27.50393295,
0.3841666877,27.34582138,
0.385833323,27.40510368,
0.3874999881,27.31906128,
0.389166683,26.78867722,
0.390833348,27.02290916,
0.3925000131,27.14818573,
0.3941666484,27.37612915,
0.3958333433,27.14674377,
0.3975000083,27.13223267,
0.3991666734,27.14079666,
0.4008333385,27.49557686,
0.4025000036,27.1123333,
0.4041666687,27.14209938,
0.4058333337,26.83432198,
0.4074999988,27.31835556,
0.4091666937,27.27039146,
0.410833329,27.4761982,
0.412499994,27.32173729,
0.4141666591,26.58791542,
0.415833354,27.78510857,
0.4175000191,27.34091759,
0.4191666543,27.38449287,
0.4208333194,26.89815712,
0.4225000143,27.48449135,
0.4241666794,27.04100037,
0.4258333445,27.08191109,
0.4274999797,26.76148415,
0.4291666746,26.66128349,
0.4308333397,27.0572567,
0.4325000048,26.93377876,
0.4341666996,26.84251976,
0.4358333349,26.79813385,
0.4375,27.42144775,
0.4391666651,27.31628609,
0.44083336,27.44967461,
0.442500025,27.56985474,
0.4441666603,27.33987999,
0.4458333254,26.78500557,
0.4475000203,27.34604836,
0.4491666853,26.85976982,
0.4508333504,27.2608757,
0.4524999857,26.95343399,
0.4541666806,26.97792244,
0.4558333457,27.07905579,
0.4575000107,27.04061508,
0.4591666758,27.15595436,
0.4608333409,27.57399559,
0.462500006,27.69228745,
0.464166671,26.96191406,
0.4658333361,26.95038986,
0.467500031,27.06352615,
0.4691666663,27.75150871,
0.4708333313,27.17530441,
0.4724999964,27.25764275,
0.4741666913,26.82097626,
0.4758333564,26.90772629,
0.4774999917,26.87798119,
0.4791666567,27.39316368,
0.4808333516,27.26185799,
0.4825000167,27.33878136,
0.4841666818,27.12304497,
0.485833317,27.43846703,
0.4875000119,27.38228226,
0.489166677,27.66726494,
