1,,2,,3,
Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.)
0.000833333,5.377686501,0.034166668,4.605255127,0.067500003,4.766907692
0.12083333,5.205507755,0.155000001,4.568884373,0.188333333,4.600985527
0.24172917,5.092767715,0.275062501,4.549849033,0.308395833,4.691410542
0.364229173,5.102287769,0.397562504,4.725195885,0.430895835,4.405286312
0.486729175,5.094183922,0.520062506,4.821159363,0.553395867,4.320665359
0.606729209,5.005059719,0.640062511,4.694352627,0.673395872,4.479242325
0.726729155,5.064094543,0.760062456,4.813550949,0.793395817,4.746465206
0.846729159,4.875584602,0.880895793,4.552214622,0.914229155,4.656935215
0.967562497,5.044081688,1.000895858,4.688883781,1.034229159,4.67765522
1.087562561,5.232650757,1.120895863,4.587458134,1.155062437,4.684094429
1.210062504,5.0036273,1.243395925,4.549673557,1.276750088,4.410170078
1.33008337,4.870149136,1.364250064,4.546775341,1.397583365,4.592234612
1.45175004,4.916689396,1.485083342,4.628922939,1.518416762,4.604373932
1.57433331,4.966958046,1.607583404,4.773714066,1.641749978,4.632966042
1.696750045,5.097320557,1.730083346,4.648682117,1.763416648,4.820343971
1.81674993,4.852086544,1.85097909,4.666386604,1.885145783,4.628447056
1.938499928,5.103880882,1.971812487,4.432116032,2.005145788,4.407169342
2.060979128,4.915171623,2.094312429,4.51866293,2.127666712,4.45443821
2.180979252,5.023588657,2.214312553,4.644477367,2.248479128,4.400872707
2.303479195,5.13504076,2.337645769,4.659058571,2.370979071,4.503307819
2.425166607,4.925688267,2.459312439,4.636425972,2.493499994,4.636522293
2.547666788,5.025186539,2.580979109,4.741760254,2.615166664,4.66036129
2.670979023,5.035575867,2.705166578,4.753595352,2.738479137,4.633931637
2.794312477,5.049456596,2.828500032,4.853861809,2.861833334,4.578473091
2.917666674,4.854485989,2.951812506,4.720498562,2.985166788,4.455349922
3.039312601,4.79181242,3.073500156,4.813102722,3.106833458,4.631971359
3.160979271,4.906166553,3.195166826,4.609262943,3.228479147,4.494437218
3.284312487,5.096276283,3.317666531,4.687319756,3.351812601,4.496308327
3.405979156,4.94617939,3.439312458,4.572537899,3.473479271,4.613770008
3.527666807,4.948766232,3.561000109,4.706818581,3.595166683,4.458692074
3.650979042,4.792962074,3.684312344,4.547298431,3.718479156,4.691730022
3.771833181,5.161588192,3.805979252,4.472851276,3.839333296,4.683146954
3.895145893,5.028876305,3.92933321,4.674217701,3.962645769,4.64218998
4.018479347,5.16610527,4.051833153,4.747558117,4.085978985,4.504995346
4.139333248,4.99789238,4.17347908,4.78771925,4.207666874,4.503918171
4.261000156,4.995491982,4.295145512,4.668494701,4.329333305,4.588459015
4.382645607,5.005493641,4.416833401,4.54630518,4.450979233,4.847494602
4.504333496,5.132861614,4.538479328,4.651922226,4.572666645,4.532195091
4.625978947,4.752371311,4.660146236,4.699230671,4.693499565,4.664133549
4.746812344,4.880237579,4.78099966,4.678211689,4.815145969,4.428135395
4.868499756,4.853684902,4.902646065,4.545927525,4.93599987,4.310370922
4.991812706,4.943856239,6.950999737,6.879524231,6.984333515,6.490526676
7.039332867,7.046705246,7.072666645,6.769346237,7.105999947,6.549666405
7.160166264,7.100811958,7.193499565,6.846217155,7.226832867,6.382809639
7.282666683,7.146265984,7.315999985,6.632048607,7.349333286,6.447386742
7.404333591,7.415234566,7.437666893,6.730475903,7.471000195,6.430440426
7.526833057,7.24066782,7.560166359,6.714204788,7.59349966,6.217206955
7.64683342,7.146101475,7.680166721,6.799681187,7.714333057,6.643103123
7.767666817,7.152858257,7.801833153,6.707964897,7.835166454,6.426587105
7.888499737,7.405532837,7.921833515,7.181078911,7.955999851,6.631426811
8.01099968,7.537206173,8.044333458,7.362230301,8.078520775,6.631781578
8.131833076,7.52038765,8.165999413,6.726347446,8.199333191,6.502186298
8.252666473,7.41211462,8.286832809,6.962124825,8.320166588,6.556376457
8.375166893,7.533105373,8.408499718,6.931850433,8.441833496,6.578343391
8.495166779,7.524261951,8.528499603,7.163210392,8.561833382,6.683258533
8.615166664,7.493949413,8.648499489,7.360595703,8.682666779,6.855090618
8.737667084,7.565020561,8.770999908,7.184193611,8.804333687,6.837224483
8.857666969,7.5680089,8.891854286,7.1504426,8.925167084,6.67178297
8.978520393,7.482151031,9.011854172,7.240044117,9.045186996,6.806005001
9.101021767,7.975040913,9.134354591,7.210146427,9.16768837,6.701975822
9.221020699,7.84235239,9.255187988,7.395766735,9.288521767,7.05529213
9.344395638,7.581910133,9.377687454,7.425697803,9.411021233,6.942430496
9.464354515,7.742523193,9.49768734,7.325760365,9.53185463,6.993343353
9.585187912,7.559800625,9.618520737,7.483001232,9.651854515,6.988474846
9.706021309,7.626131535,9.739354134,7.367072105,9.772687912,6.988336563
9.826021194,7.77791214,9.859354973,7.146960258,9.892687798,6.785964489
9.948562622,7.783622265,9.981854439,7.248451233,10.01518726,6.995393276
10.0685215,7.718247414,10.10185432,7.842606068,10.13602066,7.045871735
10.19102097,7.728142738,10.22435379,7.537008762,10.25856209,7.014232159
10.31189537,7.975152493,10.34522915,7.590013981,10.37856197,7.095367908
10.43439579,8.040764809,10.46772861,7.539755821,10.50106239,7.056035042
10.55691624,8.034117699,10.59022903,7.376600742,10.62439537,7.154080391
10.67772961,7.957818031,10.71189594,7.319919586,10.74522877,6.992400169
10.798563,8.00606823,10.83272934,7.559278488,10.86606216,7.086793423
10.92106247,7.844746113,10.95439529,7.65702343,10.98772907,7.317281723
11.04106236,7.784098625,11.07439613,7.429474831,11.10772896,6.951199055
11.16106224,7.877716064,11.19439602,7.541738033,11.22856236,7.16242218
11.28356266,8.158887863,11.31689548,7.463651657,11.35022926,6.944188595
11.40356255,7.97339344,11.43772888,7.397276878,11.47108364,7.122550964
11.52441692,8.316526413,11.5577507,7.623679161,11.59108353,7.448453903
11.64691639,7.813814163,11.68025017,7.896704674,11.71358299,7.244222164
11.76691723,8.200616837,11.80108356,7.280284882,11.83441639,7.134235859
11.89024925,7.933012962,11.92358303,7.567275047,11.95691586,7.451117516
12.01025009,8.056382179,12.04441643,7.830378532,12.07774925,7.353298664
12.13108349,7.86420536,12.16447926,7.75169611,12.19864559,7.409724712
12.2536459,7.961889744,12.2869997,7.678832054,12.3203125,7.25313139
12.37531185,8.06637764,12.40864563,7.706623554,12.44281197,7.274452686
12.49781322,8.047252655,12.53114605,7.804735184,12.56531239,7.364099979
12.61864662,7.90559864,12.65281296,7.999320507,12.68614578,7.215518475
12.74200058,8.133115768,12.77614498,7.925795555,12.81031322,7.361035347
12.86450005,8.246538162,12.89781284,7.948436737,12.93200016,7.307023048
12.98781204,7.905234814,13.02114582,7.758196831,13.05531216,7.291065693
13.11114597,8.129105568,13.14449978,7.844704151,13.17864609,7.536341667
13.23449993,8.215763092,13.26781178,7.783813953,13.30200005,7.404769897
13.35531235,8.443758965,13.3895216,8.008422852,13.42283344,7.728050709
13.47864628,8.453296661,13.5128336,7.914846897,13.54614544,7.345434666
13.60197926,8.31490612,13.63614559,7.756980419,13.66947937,7.243822575
13.72364616,8.062604904,13.75783253,8.052135468,13.79200077,7.537458897
13.84531212,8.102861404,13.87950039,7.89934206,13.91364574,7.369597435
13.96700001,8.437570572,14.00114536,7.768495083,14.03450012,7.467376232
14.09031296,8.144845963,14.12364578,7.99623394,14.15781212,7.411204338
14.21364498,8.388442993,14.24699974,7.704563141,14.28114605,7.248614788
14.33450031,8.247843742,14.36866665,7.887634277,14.40281296,7.475483894
14.45616627,8.21614933,14.49031258,7.737882614,14.52366638,7.576494217
14.57947922,8.414568901,14.61366653,7.872814178,14.64697838,7.526390076
14.70283318,8.353048325,14.736166,7.933386803,14.77031231,7.214529991
14.82616711,8.21188736,14.85947895,7.832165718,14.89364624,7.701788425
14.94697857,8.633868217,14.98114586,8.274001122,15.01533318,7.556539059
15.06864643,8.551645279,15.10283279,7.955119133,15.13614559,7.472985744
15.19033337,8.598026276,15.22364616,7.852407932,15.25697899,7.472693443
15.31283379,8.399236679,15.34614563,7.924279213,15.38031197,7.55386734
15.43533325,8.417100906,15.46947956,8.063829422,15.50283337,7.669290066
15.55864525,8.288471222,15.59200001,8.401016235,15.62614536,8.03530407
15.68197918,8.401972771,15.71531296,7.920839787,15.74947929,7.401746273
15.8028326,8.598073006,15.83697891,8.256381035,15.87033272,7.620751858
15.92364597,8.538563728,15.95783329,8.047122002,15.99197865,7.993979454
16.046978,8.595485687,16.08031273,8.169865608,16.11447906,7.615764618
16.16947937,8.298679352,16.20364571,8.226356506,16.23697853,7.69786787
16.29199982,8.606751442,16.32533455,7.851517677,16.359478,7.522006989
16.41448021,8.602624893,16.44783401,8.086021423,16.48197937,7.598083019
