1,,
Time (min),Intensity (a.u.),
0.0008333333535,56.82936096,
0.002500000177,57.55463791,
0.004166666884,57.03675079,
0.005833333358,56.96005249,
0.007500000298,56.48941422,
0.009166667238,56.89295578,
0.01083333418,57.52080154,
0.01250000019,57.26254272,
0.01416666713,56.90037537,
0.01583333313,57.59217834,
0.01750000194,56.88676071,
0.01916666701,57.28975677,
0.02083333395,57.12602234,
0.02250000089,56.69608307,
0.02416666783,57.39989471,
0.02583333477,57.78936005,
0.02749999985,57.67703247,
0.02916666679,56.93269348,
0.03083333373,57.25753021,
0.03250000253,57.19927979,
0.03416666761,56.63619232,
0.03583333641,57.35786438,
0.03750000149,57.70730591,
0.03916667029,57.07252884,
0.04083333537,57.11462021,
0.04250000045,57.29234695,
0.04416666925,56.72059631,
0.04583333433,57.43799973,
0.04750000313,57.41292572,
0.04916666821,57.12047577,
0.05083333328,57.64391708,
0.05250000209,57.3896637,
0.05416666716,57.45262146,
0.05583333597,57.04750061,
0.05750000104,57.00941849,
0.05916666612,56.80444717,
0.06083333492,57.56075668,
0.0625,57.04769135,
0.06416667253,56.75975418,
0.0658333376,57.02270126,
0.06750000268,57.32495499,
0.06916666776,57.52745438,
0.07083333284,56.87457657,
0.07249999791,56.94785309,
0.07416667044,56.81025314,
0.07583333552,57.24090576,
0.0775000006,57.74303055,
0.07916666567,57.58652115,
0.08083333075,57.75311279,
0.08250000328,57.80617905,
0.08416666836,57.05406189,
0.08583333343,56.8967247,
0.08749999851,56.90061188,
0.08916666359,57.50664902,
0.09083333611,57.61336517,
0.09250000119,56.86801147,
0.09416666627,57.07429504,
0.09583333135,58.09814835,
0.09749999642,56.87022781,
0.09916666895,56.93835449,
0.100833334,57.09168625,
0.1024999991,57.02888489,
0.1041666642,57.03499603,
0.1058333293,57.68104553,
0.1075000018,56.75122452,
0.1091666669,57.38304901,
0.1108333319,57.45855713,
0.112499997,57.20874786,
0.1141666621,57.07868195,
0.1158333346,56.85475159,
0.1174999997,57.07717133,
0.1191666648,57.76376724,
0.1208333299,57.17192841,
0.1224999949,56.76392365,
0.1241666749,57.44434738,
0.1258333325,56.82216263,
0.1274999976,56.67182541,
0.1291666627,57.42924881,
0.1308333278,56.90084839,
0.1325000077,57.66381836,
0.1341666728,57.96730042,
0.1358333379,57.49111176,
0.137500003,57.22341156,
0.1391666681,57.84597778,
0.1408333331,57.69446945,
0.1424999982,57.5560379,
0.1441666782,57.2732048,
0.1458333284,57.92377853,
0.1475000083,57.13379288,
0.1491666585,57.35692978,
0.1508333385,57.63516998,
0.1525000036,57.23112488,
0.1541666687,57.06685638,
0.1558333337,58.0585022,
0.1574999988,56.88007736,
0.1591666639,56.78010941,
0.1608333439,57.86987305,
0.162499994,57.05539703,
0.164166674,56.87653351,
0.1658333242,57.0254097,
0.1675000042,57.42627335,
0.1691666692,57.18662643,
0.1708333343,57.69276428,
0.1724999994,57.47535324,
0.1741666645,57.04986191,
0.1758333296,56.45137024,
0.1775000095,57.10512161,
0.1791666597,56.85804749,
0.1808333397,57.067173,
0.1824999899,57.19433975,
0.1841666698,56.9500351,
0.1858333498,56.79507065,
0.1875,57.42938614,
0.18916668,57.27926636,
0.1908333302,57.29391098,
0.1925000101,57.56080627,
0.1941666752,57.5322113,
0.1958333403,58.0752449,
0.1975000054,56.86670685,
0.1991666704,57.39293671,
0.2008333355,56.98588562,
0.2025000155,56.93387222,
0.2041666657,57.08642578,
0.2058333457,57.26639938,
0.2074999958,57.00670242,
0.2091666758,57.29692078,
0.2108333409,57.09915161,
0.212500006,58.15991211,
0.214166671,56.57360077,
0.2158333361,57.55139923,
0.2175000012,57.49944687,
0.2191666812,57.23697281,
0.2208333313,57.51994324,
0.2225000113,57.43512726,
0.2241666615,57.64526367,
0.2258333415,57.27391434,
0.2275000066,57.14958191,
0.2291666716,57.3903923,
0.2308333367,57.43118286,
0.2325000018,57.05151367,
0.2341666669,57.57133102,
0.2358333468,57.13034821,
0.237499997,57.27757645,
0.239166677,57.35446167,
0.2408333272,57.31474304,
0.2425000072,57.25678253,
0.2441666722,56.75935745,
0.2458333373,56.88818741,
0.2475000024,56.23603439,
0.2491666675,57.36036301,
0.2508333325,57.23694229,
0.2524999976,57.08654404,
0.2541666627,57.86720276,
0.2558333278,58.08277893,
0.2574999928,57.30441666,
0.2591666579,57.69291687,
0.2608333528,57.77724075,
0.2624999881,56.88053894,
0.264166683,56.98499298,
0.2658333182,57.4056015,
0.2675000131,57.19131088,
0.2691666484,57.99471283,
0.2708333433,56.91632843,
0.2725000083,57.65388107,
0.2741666734,56.44694901,
0.2758333385,57.04256821,
0.2775000036,57.52997589,
0.2791666687,56.83267975,
0.2808333337,57.3310051,
0.2824999988,56.72635651,
0.2841666937,57.38568878,
0.285833329,57.758461,
0.287499994,57.43697357,
0.2891666591,57.6852684,
0.290833354,56.56594467,
0.2925000191,57.33307266,
0.2941666543,56.76654816,
0.2958333194,57.60334015,
0.2975000143,57.27965546,
0.2991666794,57.76893616,
0.3008333445,56.96251678,
0.3024999797,57.12652588,
0.3041666746,57.3670578,
0.3058333397,57.48073578,
0.3075000048,57.69854736,
0.3091666996,57.6182518,
0.3108333349,56.67676163,
0.3125,57.63866425,
0.3141666651,56.83959579,
0.31583336,57.26079941,
0.317500025,57.39156342,
0.3191666603,56.8151741,
0.3208333254,57.38796234,
0.3225000203,56.95176315,
