1,,
Time (min),Intensity (a.u.),
0.0008333333535,48.18787766,
0.002500000177,49.19225693,
0.004166666884,48.14687347,
0.005833333358,48.80945206,
0.007500000298,49.22057724,
0.009166667238,49.10793686,
0.01083333418,48.66174316,
0.01250000019,48.40555191,
0.01416666713,48.62737274,
0.01583333313,48.61524963,
0.01750000194,48.94309998,
0.01916666701,48.84934998,
0.02083333395,48.74334335,
0.02250000089,48.73017502,
0.02416666783,48.643013,
0.02583333477,48.73804474,
0.02749999985,49.16307449,
0.02916666679,48.70952606,
0.03083333373,48.67054749,
0.03250000253,49.04981613,
0.03416666761,48.7387886,
0.03583333641,49.12977219,
0.03750000149,48.72109985,
0.03916667029,48.68739319,
0.04083333537,48.29656982,
0.04250000045,47.83879471,
0.04416666925,49.23945618,
0.04583333433,47.99650574,
0.04750000313,48.60585785,
0.04916666821,48.23363495,
0.05083333328,48.53940964,
0.05250000209,48.32217026,
0.05416666716,48.57936478,
0.05583333597,48.61618423,
0.05750000104,49.16729736,
0.05916666612,48.44953156,
0.06083333492,48.09742355,
0.0625,48.9891777,
0.06416667253,48.74263,
0.0658333376,48.28382492,
0.06750000268,48.27005386,
0.06916666776,48.18046188,
0.07083333284,48.97627258,
0.07249999791,48.82132339,
0.07416667044,48.3403511,
0.07583333552,48.85122681,
0.0775000006,48.67653656,
0.07916666567,48.94335938,
0.08083333075,48.52454758,
0.08250000328,47.80282974,
0.08416666836,48.53537369,
0.08583333343,48.55721664,
0.08749999851,48.60362244,
0.08916666359,48.4091568,
0.09083333611,48.69320297,
0.09250000119,48.89470673,
0.09416666627,48.40145493,
0.09583333135,48.87522888,
0.09749999642,48.44694901,
0.09916666895,48.55927277,
0.100833334,48.70518112,
0.1024999991,48.32908249,
0.1041666642,49.34745407,
0.1058333293,48.22694016,
0.1075000018,48.85539246,
0.1091666669,48.61136246,
0.1108333319,48.17901993,
0.112499997,48.54270554,
0.1141666621,48.87440109,
0.1158333346,48.34480286,
0.1174999997,48.54380798,
0.1191666648,48.43056107,
0.1208333299,48.70534134,
0.1224999949,49.00496292,
0.1241666749,48.99706268,
0.1258333325,48.48694992,
0.1274999976,47.69217682,
0.1291666627,48.65958786,
0.1308333278,48.57734299,
0.1325000077,48.72911072,
0.1341666728,48.44683838,
0.1358333379,48.6307106,
0.137500003,48.17061615,
0.1391666681,48.4653511,
0.1408333331,48.40479279,
0.1424999982,48.57934952,
0.1441666782,48.21001434,
0.1458333284,48.10874176,
0.1475000083,48.61959076,
0.1491666585,48.49516678,
0.1508333385,49.11914444,
0.1525000036,48.34807968,
0.1541666687,48.84757614,
0.1558333337,48.65111923,
0.1574999988,48.68820953,
0.1591666639,48.52673721,
0.1608333439,48.23470306,
0.162499994,48.53908157,
0.164166674,48.61728287,
0.1658333242,48.31085587,
0.1675000042,48.95901489,
0.1691666692,48.03587723,
0.1708333343,48.67647171,
0.1724999994,48.29933929,
0.1741666645,48.10054398,
0.1758333296,48.5126915,
0.1775000095,48.91456604,
0.1791666597,48.41577148,
0.1808333397,48.23775482,
0.1824999899,48.9948082,
0.1841666698,49.23033905,
0.1858333498,48.80324936,
0.1875,49.61301041,
0.18916668,48.44358063,
0.1908333302,48.53422546,
0.1925000101,48.51675797,
0.1941666752,48.35368729,
0.1958333403,48.4484787,
0.1975000054,48.24520874,
0.1991666704,48.76751709,
0.2008333355,48.73120499,
0.2025000155,47.78385162,
0.2041666657,48.80803299,
0.2058333457,48.44089127,
0.2074999958,48.58422852,
0.2091666758,48.63004684,
0.2108333409,48.51727676,
0.212500006,48.92847443,
0.214166671,48.30173111,
0.2158333361,48.98181915,
0.2175000012,48.63854218,
0.2191666812,48.66619492,
0.2208333313,48.18852997,
0.2225000113,48.15795135,
0.2241666615,48.96671295,
0.2258333415,48.96147919,
0.2275000066,48.56309891,
0.2291666716,48.00374985,
0.2308333367,48.26256943,
0.2325000018,49.33896637,
0.2341666669,49.20976257,
0.2358333468,48.19392776,
0.237499997,48.51148987,
0.239166677,48.31899643,
0.2408333272,48.36807251,
0.2425000072,48.2844696,
0.2441666722,49.43029404,
0.2458333373,48.72886276,
0.2475000024,48.80665588,
0.2491666675,48.36735153,
0.2508333325,48.32503128,
0.2524999976,49.20227814,
0.2541666627,48.52972412,
0.2558333278,48.52637482,
0.2574999928,48.65363312,
0.2591666579,48.57268524,
0.2608333528,48.46033096,
